AREA;REGIONE;PROVINCIA;2021_CodCom;NTN 2021 fino a 50 mq;NTN  2021 50 -| 85 mq;NTN 2021 85 -| 115 mq;NTN  2021 115 -| 145 mq;NTN  2021 oltre 145 mq;NTN 2021
Nord Ovest;Lombardia;LO;B961;1;0;5,2;3,5;5;14,7
Centro;Toscana;FI;B962;40,5;176,51;194,21;67,49;66,39;545,1
Sud;Campania;CE;B963;76,25;144,38;174,54;204,84;281,06;881,07
Nord Est;Veneto;TV;B965;2;29;36;32,5;32;131,5
Sud;Calabria;RC;B966;0;0;0;1;1;2
Nord Est;Emilia-Romagna;RE;B967;5;25,75;16,47;24,75;26,16;98,13
Sud;Calabria;KR;B968;0;4;1;1;0;6
Nord Est;Emilia-Romagna;BO;B969;0;16,5;15,44;15,25;14,5;61,69
Nord Ovest;Lombardia;BG;B971;3;18,5;13,5;10,5;14;59,5
Nord Ovest;Lombardia;CO;B974;3;9;3,02;2;7;24,02
Nord Ovest;Lombardia;CO;B977;3;20;18,5;15;20,5;77
Nord Ovest;Lombardia;BG;B978;0;4,17;7;2,67;8,41;22,25
Centro;Toscana;MS;B979;0;3,5;4,17;8;4;19,67
Sud;Campania;NA;B980;2,97;6;2,96;3;2;16,93
Nord Est;Emilia-Romagna;RA;B982;0;6,5;4,5;8,1;10,25;29,35
Centro;Toscana;SI;B984;0;11;15,14;4,08;13;43,22
Sud;Abruzzo;CH;B985;1;3;5,5;7;11,33;27,83
Nord Ovest;Lombardia;VA;B987;2;23,4;12,83;11;17,5;66,73
Nord Ovest;Lombardia;PV;B988;9,5;48;38,22;27,78;28,5;152
Nord Ovest;Lombardia;MI;B989;1;23;20,5;14,67;19,17;78,34
Sud;Campania;NA;B990;47,01;126,06;168,26;131,08;66,55;538,96
Nord Ovest;Piemonte;AT;B991;0;1;1;4;17;23
Nord Ovest;Lombardia;SO;B993;30,5;37,03;5;0,4;1;73,93
Nord Est;Friuli- Venezia Giulia;UD;B994;0;1;2;5;11,5;19,5
Nord Ovest;Lombardia;LC;B996;4,75;11;18,5;14;15,39;63,64
Sud;Campania;AV;B997;0;1;1,5;4;2;8,5
Sud;Puglia;BA;B998;20;106,33;62;43,92;55,46;287,71
Nord Ovest;Lombardia;VA;B999;1;0,67;0;2;1;4,67
Sud;Calabria;CS;C002;19,5;59,56;48,3;36,14;31,72;195,22
Nord Ovest;Lombardia;MI;C003;24;122,67;125,54;54,17;37;363,38
Nord Ovest;Lombardia;VA;C004;6,42;67,11;84,89;45,5;60,17;264,09
Isole;Sicilia;SR;C006;1;0;1;2;0;4
Nord Ovest;Lombardia;BG;C007;0;0;1,5;1,5;0;3
Nord Ovest;Lombardia;MI;C013;17;69,68;49,52;14,75;5,83;156,78
Nord Ovest;Lombardia;MI;C014;23;70,8;60,34;32,5;32,33;218,97
Nord Ovest;Lombardia;CO;C020;4,67;17,03;25,77;11;12,5;70,97
Nord Ovest;Piemonte;AT;C022;1;0;2;1;7;11
Nord Ovest;Lombardia;LC;C024;2;28,5;3;1;0;34,5
Nord Ovest;Piemonte;AL;C027;1;5;8,5;5,11;17,17;36,78
Nord Ovest;Piemonte;AL;C030;4,5;8;7,5;2;6;28
Nord Ovest;Lombardia;MI;C033;0;5;7,5;8;17;37,5
Centro;Lazio;FR;C034;32,61;70,58;78,03;58,72;68,28;308,22
Nord Est;Veneto;VI;C037;1;43;50,5;46,5;50,48;191,48
Nord Ovest;Lombardia;PV;C038;5;34,5;20,5;13,17;22,33;95,5
Sud;Abruzzo;TE;C040;0;1;0;0;0;1
Nord Est;Veneto;VR;C041;0;3,66;6;5,5;20,67;35,83
Centro;Toscana;LI;C044;16;105,02;66,56;29,67;38,25;255,5
Nord Ovest;Piemonte;TO;C045;1;3;6;7,01;17,5;34,51
Nord Ovest;Piemonte;CN;C046;5;6;7;5;10;33
Nord Ovest;Piemonte;AT;C047;1;6;8;3,5;7,5;26
Nord Ovest;Piemonte;TO;C048;0;2,5;10;4;6;22,5
Nord Ovest;Piemonte;AT;C049;3;7;13;5;17,5;45,5
Nord Ovest;Lombardia;PV;C050;1;1;1,67;2;9;14,67
Isole;Sicilia;ME;C051;6;7;2,05;3;2,75;20,8
Nord Ovest;Lombardia;MI;C052;8;28;39,83;18,83;27,83;122,49
Nord Ovest;Lombardia;PV;C053;1;19;19,5;11,58;26,98;78,06
Nord Ovest;Lombardia;BS;C055;0;23,5;36,67;22,33;43,16;125,66
Nord Est;Veneto;VI;C056;0;3;6;5;12,5;26,5
Nord Est;Veneto;PD;C057;0,5;1;6,5;1;16,17;25,17
Sud;Campania;AV;C058;1;1,5;1;1;2;6,5
Nord Ovest;Lombardia;MN;C059;1;7;13;6;18,67;45,67
Centro;Marche;AN;C060;2;11,5;17,5;12;5,38;48,38
Nord Ovest;Liguria;SV;C063;1;1;1;0;0;3
Nord Ovest;Piemonte;AT;C064;0;0;2;1;3;6
Nord Est;Emilia-Romagna;RA;C065;7;33,58;34,5;14,33;34,4;123,81
Sud;Molise;CB;C066;3,5;4;4,5;3;1;16
Isole;Sicilia;PA;C067;4,15;15,08;13,91;14,92;14,08;62,14
Sud;Campania;SA;C069;1;3;2,5;1;3;10,5
Centro;Marche;AP;C070;0;1;3,5;4;5,67;14,17
Nord Ovest;Lombardia;BS;C072;2;22;17,33;11,33;14,86;67,52
Nord Est;Veneto;TV;C073;0;5;2;1;17,83;25,83
Isole;Sicilia;PA;C074;9,78;17;36,2;35,95;27,22;126,15
Nord Est;Emilia-Romagna;BO;C075;2,26;15,02;22,59;9,67;15,5;65,04
Nord Ovest;Lombardia;MN;C076;0;8,5;12;9,33;19;48,83
Nord Est;Veneto;VR;C078;9;66;84;43;43,5;245,5
Nord Ovest;Lombardia;BG;C079;3;23;39,15;26,82;23,83;115,8
Nord Est;Emilia-Romagna;RN;C080;2;3;3;0;2,5;10,5
Nord Ovest;Piemonte;CN;C081;3;8;2;0;2,88;15,88
Sud;Molise;IS;C082;1;1,5;0;0;0;2,5
Sud;Abruzzo;AQ;C083;2;12,91;4;1;2;21,91
Centro;Toscana;GR;C085;7,67;21;24,25;13;13,5;79,42
Nord Est;Emilia-Romagna;BO;C086;1;2;8;3,5;5;19,5
Nord Ovest;Lombardia;CR;C089;0;0;0;0,5;0,92;1,42
Sud;Abruzzo;AQ;C090;0;2;0;1,83;1,5;5,33
Isole;Sicilia;CT;C091;4,25;10,67;5;4;4;27,92
Centro;Marche;AP;C093;2;9,67;24,33;30;10,06;76,06
Isole;Sicilia;ME;C094;0;1;1;0;1;3
Sud;Abruzzo;AQ;C096;36,65;81;39;16,5;7,5;180,65
Sud;Campania;CE;C097;0;0;0;1;0;1
Centro;Lazio;RI;C098;0;4;1,78;0;0;5,78
Centro;Marche;AN;C100;6;30,22;42;51,93;35,72;165,87
Centro;Toscana;FI;C101;10,83;68,83;84,17;47,76;32,25;243,84
Centro;Toscana;AR;C102;1;1;4,6;2,5;4,5;13,6
Centro;Lazio;LT;C104;0,67;3,67;4;2,67;8;19,01
Sud;Campania;AV;C105;0;3;3;3,83;5,53;15,36
Sud;Campania;BN;C106;3,07;3,07;1;0,08;2,08;9,3
Nord Est;Emilia-Romagna;MO;C107;35;202,42;140,5;60,5;84,83;523,25
Sud;Calabria;CS;C108;2;5;22;15;22,57;66,57
Nord Ovest;Liguria;IM;C110;0;1;2;0;1;4
Nord Est;Veneto;TV;C111;23,83;71,49;108,44;86,38;130,95;421,09
Centro;Toscana;PI;C113;1,57;33,34;37,17;34,86;46,5;153,44
Sud;Abruzzo;CH;C114;0;10;12,5;3;5;30,5
Nord Ovest;Lombardia;CR;C115;1;0;1;1;3;6
Centro;Lazio;RM;C116;8;46,31;23;14;12,5;103,81
Centro;Umbria;TR;C117;1;3,5;2;3;7;16,5
Nord Ovest;Lombardia;MN;C118;3;29;17;27,5;67,07;143,57
Nord Est;Veneto;VI;C119;2;11;18,28;9;19,75;60,03
Sud;Basilicata;PZ;C120;1;3;2;1,25;1;8,25
Nord Est;Emilia-Romagna;BO;C121;2;21,64;13,14;10,17;21;67,95
Nord Est;Veneto;RO;C122;0;3;1;2;8;14
Sud;Abruzzo;CH;C123;0;1;1;2;0;4
Sud;Campania;SA;C125;9,5;70,66;40,67;14;20,75;155,58
Sud;Abruzzo;AQ;C126;1;2,5;1;2,5;0;7
Nord Ovest;Piemonte;AT;C127;1;14;11;7;25;58
Sud;Abruzzo;TE;C128;1;4;1;11;11;28
Sud;Campania;NA;C129;35,62;98,98;123,66;91,06;45,5;394,82
Isole;Sicilia;TP;C130;36,88;68,3;38,74;42,67;48,14;234,73
Nord Ovest;Piemonte;TO;C133;3;22;37,5;17,5;36,67;116,67
Sud;Puglia;BA;C134;31,73;59,72;80,84;66;60;298,29
Isole;Sicilia;PA;C135;2,67;6;6;3;6;23,67
Sud;Puglia;TA;C136;16,75;67;73,87;78,25;41;276,87
Nord Ovest;Piemonte;AL;C137;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;C139;17;67,14;85,25;32,83;29,75;231,97
Nord Est;Emilia-Romagna;RE;C141;13;64;67,27;44;49,92;238,19
Nord Ovest;Piemonte;AL;C142;0;1;0;0;1,5;2,5
Nord Ovest;Liguria;IM;C143;4;6,5;6;1;2;19,5
Nord Est;Emilia-Romagna;PC;C145;5;10,25;19;11;37,39;82,64
Centro;Toscana;GR;C147;2;10,17;7;5;7;31,17
Nord Ovest;Piemonte;AL;C148;0;14,33;17,83;10;25;67,16
Nord Ovest;Piemonte;NO;C149;1;1;1;0;0;3
Centro;Marche;AN;C152;0;0;4,67;2,5;6;13,17
Nord Ovest;Lombardia;CR;C153;5;20,5;32,17;30,39;23,16;111,22
Nord Ovest;Piemonte;AT;C154;0;0;1;1;6;8
Nord Ovest;Piemonte;BI;C155;0;0;7;0;3;10
Nord Ovest;Piemonte;AL;C156;1;0;1;0;3;5
Nord Ovest;Lombardia;PV;C157;0;1;7,5;4,25;4,25;17
Nord Ovest;Piemonte;AL;C158;3;7;7;3;9,42;29,42
Nord Ovest;Piemonte;AL;C160;0;1;0;0;6,67;7,67
Nord Ovest;Piemonte;AT;C161;0;0;0;1;2;3
Nord Ovest;Piemonte;AL;C162;0;1,05;3;3;10,17;17,22
Nord Ovest;Piemonte;CN;C165;0;3;4;2;4;13
Nord Ovest;Piemonte;NO;C166;12;52,8;49,11;37,75;42,83;194,49
Nord Ovest;Piemonte;CN;C167;1;0;1;0;5;7
Sud;Abruzzo;TE;C169;0;1;1;2;0;4
Centro;Toscana;SI;C172;0;10;15;5;9;39
Nord Ovest;Piemonte;CN;C173;0;0;2;3;7;12
Centro;Toscana;PI;C174;3;10,5;9;4;10;36,5
Sud;Molise;CB;C175;1;0,83;1;0;0;2,83
Nord Ovest;Piemonte;CN;C176;0;1;2;1;2;6
Centro;Lazio;FR;C177;1;0;4;5;4;14
Sud;Campania;CE;C178;1;1;1,5;1,5;1;6
Nord Ovest;Lombardia;VA;C181;1,5;16,5;6,5;5,67;12,5;42,67
Nord Ovest;Lombardia;PV;C184;0;1;4;3;4,5;12,5
Nord Est;Emilia-Romagna;BO;C185;5;48;27,5;21,39;17,26;119,15
Nord Ovest;Lombardia;SO;C186;0;2,67;0,67;1,33;3;7,67
Nord Ovest;Lombardia;LC;C187;0;3;5;0;7,17;15,17
Sud;Campania;NA;C188;8;17;17,5;15,65;7;65,15
Nord Est;Veneto;TV;C190;0;3,85;10,97;6;28,05;48,87
Nord Ovest;Lombardia;MN;C195;4;17;16;13,67;23,25;73,92
Sud;Molise;CB;C197;2;4;6;2;2;16
Sud;Puglia;FG;C198;4,5;11,5;6;1;3;26
Sud;Basilicata;PZ;C199;1;1;0;3;0;5
Sud;Molise;IS;C200;0;0;0;0;0;0
Sud;Basilicata;PZ;C201;0;1;1;2;1;5
Sud;Puglia;FG;C202;4,92;6,5;2,81;1;1;16,23
Centro;Lazio;RM;C203;11;24,67;21;5,83;5,34;67,84
Nord Est;Emilia-Romagna;BO;C204;17,55;97,5;92,15;25;33,6;265,8
Nord Ovest;Piemonte;CN;C205;3;4;2;1;0,5;10,5
Nord Ovest;Lombardia;CO;C206;0;1;3;3;5;12
Nord Est;Veneto;RO;C207;1,26;5;19;11,17;22,6;59,03
Nord Ovest;Lombardia;BS;C208;12;57,17;38,83;25;29,5;162,5
Sud;Basilicata;PZ;C209;6;4;2;1;0;13
Isole;Sicilia;ME;C210;1;3;5;3;2;14
Sud;Campania;CE;C211;1;2,67;1;3;2,67;10,34
Nord Ovest;Lombardia;PV;C213;2;2;3;1;3,17;11,17
Nord Ovest;Piemonte;CN;C214;0;1;0;0;0;1
Nord Est;Veneto;RO;C215;0;6;7;6;17,67;36,67
Nord Est;Friuli- Venezia Giulia;PN;C217;0;1,5;1;3;12;17,5
Nord Est;Emilia-Romagna;RE;C218;1;16;32,34;10,5;37,5;97,34
Nord Est;Emilia-Romagna;RE;C219;8;44,33;42,58;22,75;34,25;151,91
Nord Ovest;Lombardia;CO;C220;0;0,5;2;0;1;3,5
Sud;Puglia;FG;C222;1;0;3;1;3;8
Centro;Lazio;FR;C223;1;0;0;2,44;2,22;5,66
Centro;Lazio;RI;C224;1;2;2,67;1;2,25;8,92
Nord Est;Veneto;VR;C225;11;98;63,75;41,5;37,89;252,14
Nord Ovest;Piemonte;AT;C226;0;1;2;6;5,63;14,63
Centro;Toscana;SI;C227;8;40;27,5;15;19,45;109,95
Nord Ovest;Lombardia;LO;C228;1;1;2;2;7,39;13,39
Nord Ovest;Piemonte;AL;C229;0;1;1;3;10,5;15,5
Nord Ovest;Piemonte;AT;C230;0;5;3;4;6,83;18,83
Sud;Campania;SA;C231;1;3,67;6;4;3;17,67
Nord Ovest;Piemonte;AT;C232;2,75;9,66;6,66;7,16;24;50,23
Sud;Campania;SA;C235;0;0;1;1;1;3
Centro;Toscana;LU;C236;0;4,25;10,25;7,92;11,5;33,92
Centro;Lazio;RM;C237;4,75;20,17;24,5;19,75;30;99,17
Nord Ovest;Liguria;SP;C240;4,17;14;32;16,17;20,33;86,67
Nord Ovest;Piemonte;TO;C241;2;1;0;3;3;9
Nord Est;Emilia-Romagna;MO;C242;3;73,15;80,59;29,34;39,63;225,71
Nord Ovest;Piemonte;AL;C243;2;6;6,75;6,68;17,83;39,26
Centro;Toscana;PI;C244;1;16,5;9;4;11,41;41,91
Sud;Campania;BN;C245;0;2;1;2,17;2;7,17
Sud;Molise;IS;C246;2;3,05;3;2;1,67;11,72
Sud;Molise;IS;C247;0;0;0;0;0;0
Centro;Marche;AN;C248;2;11;14,67;8;12,5;48,17
Sud;Campania;BN;C250;0;1;2;2;0,5;5,5
Centro;Marche;MC;C251;0;6;12,5;13,4;6,5;38,4
Centro;Umbria;PG;C252;1;3;2;6;7,66;19,66
Nord Ovest;Piemonte;AT;C253;0;0;0;1,33;2,5;3,83
Nord Ovest;Lombardia;BG;C255;0;11;9,5;2;8,5;31
Sud;Campania;SA;C259;9,61;27,94;37,83;37,16;37,58;150,12
Nord Est;Emilia-Romagna;PC;C261;7;54,5;58,17;39,27;49,83;208,77
Sud;Campania;SA;C262;3;6;1;1;3;14
Centro;Toscana;AR;C263;5,66;2,5;10;4,67;10,33;33,16
Nord Est;Emilia-Romagna;BO;C265;10;93,3;105,8;55,73;75,95;340,78
Centro;Lazio;RM;C266;2;4;1;2;1;10
Centro;Marche;MC;C267;0;1;0;0;0;1
Centro;Lazio;RI;C268;3,5;3;2,22;1,33;5;15,05
Centro;Lazio;VT;C269;8;10;6;6,63;5;35,63
Sud;Molise;IS;C270;1;1;2;1;1,5;6,5
Sud;Basilicata;PZ;C271;4;3;2;1;0,33;10,33
Isole;Sardegna;SS;C272;37,78;64,78;26,5;8,28;9;146,34
Nord Ovest;Lombardia;VA;C273;1;3;5;2;1;12
Nord Ovest;Piemonte;AL;C274;0;0;0;0;3;3
Isole;Sicilia;AG;C275;5;12,5;16,75;19;11,5;64,75
Nord Ovest;Liguria;SV;C276;0;0;2;0;1;3
Sud;Abruzzo;AQ;C278;0;0;0;0;0;0
Sud;Abruzzo;AQ;C279;0;1;1;0;1;3
Sud;Campania;BN;C280;0;0;0;0;3;3
Nord Ovest;Valle d'Aosta;AO;C282;4;9;6;3;4;26
Sud;Campania;AV;C283;5;5;5;5;1,33;21,33
Sud;Campania;BN;C284;0;3;0;0;2;5
Sud;Calabria;RC;C285;6;24;6,83;8;6;50,83
Isole;Sicilia;TP;C286;25,5;64,05;69,71;66,5;68,25;294,01
Nord Est;Emilia-Romagna;MO;C287;11;35,5;39,5;29,11;29,75;144,86
Nord Est;Emilia-Romagna;PC;C288;2;10,5;20,5;17,17;28,05;78,22
Centro;Umbria;TR;C289;1;4;12;5;2;24
Nord Ovest;Lombardia;CR;C290;0;0;0;1;0;1
Sud;Campania;CE;C291;19;149,55;154,58;133,95;132,16;589,24
Nord Est;Emilia-Romagna;BO;C292;6;105,25;118,51;42,5;43,73;315,99
Nord Ovest;Lombardia;BS;C293;7;45,5;61;31,84;37,42;182,76
Nord Ovest;Valle d'Aosta;AO;C294;8,29;25,34;4,5;4;4;46,13
Nord Est;Emilia-Romagna;BO;C296;4;18,67;15;20,5;22,19;80,36
Isole;Sicilia;CT;C297;1;12;10;7;11,39;41,39
Sud;Abruzzo;CH;C298;0;2,5;2,25;2;4,5;11,25
Nord Ovest;Lombardia;VA;C300;4;19;32,72;18;16,33;90,05
Sud;Calabria;CS;C301;0;4;1;6;3;14
Nord Ovest;Liguria;GE;C302;1,33;5;8;6;4,5;24,83
Centro;Toscana;LU;C303;2,25;4,5;3,5;6,5;7,2;23,95
Nord Ovest;Lombardia;LO;C304;3,17;7;11,33;5,34;11,33;38,17
Sud;Campania;SA;C306;0;4;3;1;2;10
Nord Ovest;Piemonte;TO;C307;4;27;18,33;12;49,6;110,93
Sud;Abruzzo;PE;C308;1;3;0;1;0;5
Centro;Umbria;PG;C309;12;56,1;64,63;40,34;65,75;238,82
Centro;Toscana;GR;C310;40;96,58;63,27;33,37;32,99;266,21
Sud;Abruzzo;TE;C311;1;1;3;3;6;14
Nord Ovest;Lombardia;MN;C312;11;71;98,27;60,5;82,92;323,69
Centro;Toscana;SI;C313;4,67;18;6,5;3,75;12;44,92
Nord Ovest;Piemonte;CN;C314;0,75;2;0;1;1;4,75
Centro;Lazio;VT;C315;5;7,33;6;2;5;25,33
Sud;Abruzzo;TE;C316;2;3;4,25;0;5,5;14,75
Nord Ovest;Piemonte;CN;C317;1;1;0;0,5;8,31;10,81
Centro;Toscana;AR;C318;1;2;10;2,76;5,01;20,77
Centro;Toscana;AR;C319;5;27;32,79;25,83;51,83;142,45
Centro;Marche;AP;C321;1;3,17;2,23;4,5;4,33;15,23
Sud;Abruzzo;TE;C322;1;2;6;2;4;15
Nord Ovest;Piemonte;CN;C323;0;0;0,5;3;2;5,5
Nord Ovest;Lombardia;BG;C324;19,53;82,17;57;20,67;20,17;199,54
Nord Ovest;Lombardia;SO;C325;1;5,16;1,5;3;6;16,66
Nord Est;Friuli- Venezia Giulia;UD;C327;0;5;10;5;19;39
Nord Ovest;Lombardia;LO;C329;1;10;16,38;16;7;50,38
Nord Ovest;Lombardia;BS;C330;2,67;3;4;2;4,76;16,43
Centro;Marche;AP;C331;0,5;1,5;7,34;5,5;8,5;23,34
Nord Ovest;Lombardia;BS;C332;1,75;18,75;24,19;33,42;33,59;111,7
Sud;Puglia;LE;C334;1;2;5;1;3;12
Sud;Puglia;LE;C335;1;1;4;1;8,72;15,72
Sud;Puglia;LE;C336;11;15,71;20,66;15;14,66;77,03
Nord Ovest;Lombardia;BG;C337;3;3,84;6;6,5;2;21,34
Centro;Lazio;FR;C338;2;9;3,5;4;7,5;26
Nord Est;Emilia-Romagna;FO;C339;12;21,5;17,5;15,33;22;88,33
Centro;Lazio;FR;C340;0;2;3;2,5;5;12,5
Isole;Sicilia;AG;C341;2;7;7;3;1;20
Isole;Sicilia;EN;C342;11,77;47,32;52,94;43,91;42,08;198,02
Nord Ovest;Lombardia;VA;C343;3;17,5;18;11;15,66;65,16
Isole;Sicilia;PA;C344;2;4;2;1;2;11
Sud;Basilicata;PZ;C345;3;3;0;0;0;6
Sud;Molise;CB;C346;2;2;0;0;5;9
Isole;Sicilia;ME;C347;0;1;0;2,2;5;8,2
Sud;Calabria;CS;C348;0;0;0;0;0;0
Sud;Calabria;CS;C349;8,75;21;39;33;31,5;133,25
Isole;Sicilia;CT;C351;457,22;832,05;941,56;737,76;561,66;3530,25
Sud;Calabria;CZ;C352;74,07;203,99;209,21;173,08;119,56;779,91
Isole;Sicilia;EN;C353;4,34;4;5,86;1,8;3;19
Sud;Abruzzo;PE;C354;1;0;0;0;5;6
Isole;Sicilia;AG;C356;17,89;22,09;9,2;8,75;6,8;64,73
Nord Est;Emilia-Romagna;RN;C357;34;103,5;56,44;31,59;30,5;256,03
Sud;Campania;BN;C359;0;3;3;2;4;12
Nord Ovest;Lombardia;PV;C360;3;20;33,33;19;28,11;103,44
Sud;Campania;SA;C361;24,16;90,97;62,03;83,43;62,2;322,79
Nord Ovest;Piemonte;BI;C363;2;11;19,17;9,67;16;57,84
Nord Ovest;Piemonte;NO;C364;0;0;3;1;2;6
Nord Ovest;Piemonte;NO;C365;0;0;1;0;2;3
Nord Ovest;Piemonte;TO;C369;0;2;8;7;19,5;36,5
Nord Est;Veneto;VR;C370;12;31,67;38,67;9,5;16,83;108,67
Nord Ovest;Piemonte;CN;C375;1;1;3;0;0;5
Nord Ovest;Piemonte;CN;C376;1;13;6,5;10;16;46,5
Sud;Puglia;LE;C377;3;24;30,3;33;39,51;129,81
Nord Ovest;Piemonte;NO;C378;0;0;2,67;3;13,33;19
Nord Ovest;Lombardia;CO;C381;1,37;0,5;0;0,5;0;2,37
Nord Ovest;Lombardia;VA;C382;1;21;21,25;13,5;19,53;76,28
Nord Est;Veneto;VE;C383;4,75;27,5;40,67;26,34;29,84;129,1
Nord Est;Veneto;TV;C384;3,05;12;12;2;11,83;40,88
Nord Est;Friuli- Venezia Giulia;PN;C385;1;3;3,5;1;4;12,5
Nord Ovest;Piemonte;AL;C387;0;2;0;0;2,33;4,33
Nord Est;Veneto;VE;C388;218,03;899,18;290,2;108,4;87,29;1603,1
Nord Est;Friuli- Venezia Giulia;UD;C389;0;0;1;1;1;3
Centro;Lazio;RM;C390;4;42,34;28,5;18;26,3;119,14
Nord Ovest;Lombardia;LO;C394;1;8;8,5;7;7;31,5
Nord Ovest;Lombardia;MI;C395;8,25;57;53,5;18,75;17,89;155,39
Nord Ovest;Lombardia;BG;C396;1;29,67;27,5;16,5;16;90,67
Nord Est;Emilia-Romagna;MO;C398;0;18,5;19;18,83;32,08;88,41
Nord Ovest;Piemonte;TO;C404;3;9,5;14,83;5,72;33,29;66,34
Nord Est;Emilia-Romagna;RE;C405;1;26,21;49,25;27,67;30,84;134,97
Nord Ovest;Lombardia;MN;C406;0;4;4,3;4,84;18,5;31,64
Centro;Toscana;AR;C407;3;47,67;45,27;23,84;27,2;146,98
Nord Ovest;Lombardia;BS;C408;1;14;22,5;17;36,01;90,51
Nord Ovest;Lombardia;VA;C409;1;3;2;0;1;7
Nord Ovest;Lombardia;BG;C410;0;1;7,5;5,88;4,99;19,37
Nord Est;Veneto;VR;C412;0;5;4;0,5;10,51;20,01
Centro;Lazio;FR;C413;7,5;12,5;28,38;20,67;34,33;103,38
Nord Ovest;Lombardia;PV;C414;2;1;3;2;1;9
Centro;Toscana;LI;C415;65,25;205,06;125,05;64,33;54,43;514,12
Nord Ovest;Lombardia;BS;C417;0;5;2;4;1;12
Nord Ovest;Lombardia;SO;C418;0,25;0,5;0;2;3;5,75
Isole;Sicilia;PA;C420;0,5;0,5;1;3;1;6
Isole;Sicilia;PA;C421;33,9;62,06;30,55;31;24,63;182,14
Nord Est;Veneto;VE;C422;1;23;17;15,5;21,5;78
Sud;Puglia;BR;C424;98,91;60,98;67,08;44,41;30,83;302,21
Sud;Abruzzo;AQ;C426;6;16,5;12,83;8;5,75;49,08
Sud;Abruzzo;CH;C428;1;0;1;2;2;6
Sud;Puglia;FG;C429;1;2,5;3;2;0;8,5
Sud;Calabria;CS;C430;2;1;3,07;1;2;9,07
Nord Ovest;Piemonte;AL;C432;0;0;0;0;6;6
Nord Ovest;Lombardia;CR;C435;0;1;0;0;3;4
Sud;Puglia;BA;C436;4;7;34;22;9;76
Sud;Calabria;CS;C437;0;1;0;0;1;2
Nord Ovest;Piemonte;AT;C438;0;3;2;2;9;16
Nord Ovest;Lombardia;BS;C439;2;12;7,89;13;33,33;68,22
Nord Ovest;Piemonte;AT;C440;0;0;1;1;1;3
Nord Ovest;Piemonte;CN;C441;0;1;0;1;0;2
Sud;Puglia;FG;C442;0;0;0;0;0;0
Nord Ovest;Liguria;SV;C443;11;48,53;25,5;8,08;12,5;105,61
Sud;Campania;SA;C444;1;2;2;0;1,6;6,6
Centro;Lazio;VT;C446;0;4,25;2;1;3,5;10,75
Centro;Lazio;VT;C447;1;2;5;2;1,33;11,33
Sud;Puglia;BR;C448;1;8;8,96;7;10,5;35,46
Sud;Abruzzo;TE;C449;1;3,5;1;1;5;11,5
Sud;Calabria;CZ;C453;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;C456;2;7;5;2;16,5;32,5
Nord Ovest;Lombardia;BG;C457;3;14;16;15,75;24,6;73,35
Nord Est;Veneto;BL;C458;4;22,5;12,5;4;1;44
Nord Ovest;Lombardia;BG;C459;2,5;10;15;12,17;18,5;58,17
Nord Est;Veneto;RO;C461;0;1;0;1;8;10
Nord Ovest;Liguria;SV;C463;1;3;24;5;7,5;40,5
Nord Ovest;Piemonte;CN;C466;2;28,5;34,67;16;20,67;101,84
Nord Est;Emilia-Romagna;FE;C469;16;146,17;174,67;75,87;94,4;507,11
Sud;Campania;SA;C470;7,5;23,5;19,38;8,33;10,94;69,65
Isole;Sicilia;EN;C471;8,62;6,5;9,34;3;4;31,46
Sud;Calabria;CZ;C472;0;4;1;0,75;0;5,75
Sud;Abruzzo;PE;C474;3,84;14;21,75;16;22,92;78,51
Sud;Campania;BN;C476;11,66;9;4;5,78;9,78;40,22
Nord Ovest;Piemonte;VB;C478;1;4;5;3;4;17
Centro;Lazio;FR;C479;2;7;7;10,2;8,25;34,45
Isole;Sicilia;EN;C480;1;3;1,83;1;1;7,83
Nord Ovest;Liguria;GE;C481;0;21;14,5;11,5;7;54
Nord Ovest;Lombardia;CO;C482;0;2;2,92;2,5;3,5;10,92
Nord Ovest;Piemonte;NO;C483;2;27,66;32,89;15,83;22;100,38
Nord Ovest;Lombardia;PV;C484;0,5;10;18;4;5;37,5
Sud;Campania;SA;C485;0;3,5;3;4;4;14,5
Sud;Molise;CB;C486;0;4;6;2;6;18
Nord Ovest;Piemonte;TO;C487;0;2;6;1;7;16
Sud;Molise;CB;C488;1;0;0;0;1,5;2,5
Sud;Calabria;CS;C489;2,5;6;1;1;1;11,5
Sud;Abruzzo;AQ;C492;1;2,5;1;3;3;10,5
Nord Ovest;Lombardia;SO;C493;2;5;4;1;1;13
Nord Est;Friuli- Venezia Giulia;UD;C494;0;1,5;1,5;0;1;4
Sud;Campania;NA;C495;5;25,75;41,47;21,71;11,72;105,65
Isole;Sicilia;PA;C496;1;3,75;9,67;4;4;22,42
Nord Ovest;Piemonte;TO;C497;6;18;11;6,5;9;50,5
Nord Est;Veneto;VR;C498;5,5;37,17;59,31;50,33;109,08;261,39
Nord Est;Veneto;RO;C500;2;4;10,67;14;19,22;49,89
Nord Ovest;Lombardia;MN;C502;2;3;6;5;9,75;25,75
Nord Ovest;Piemonte;AL;C503;0;0;1;3;5;9
Nord Ovest;Piemonte;CN;C504;0;0;3;2;6;11
Nord Ovest;Piemonte;TO;C505;1;4;5;4;0;14
