AREA;Regione;prov;2021_CodCom;NTN_2021_Uffici;NTN_2021_Negozi_Lab;NTN_2021_Depositi_Comm_Autorimesse;NTN_2021_TCO_B04;NTN_2021_TCO_D02;NTN_2021_TCO_D05;NTN_2021_TCO_D08;NTN_2021_PRO;NTN_2021_AGR;;
Centro;Lazio;FR;A054;0;0;2,17;0;0;0;0;0;0;;
Sud;Puglia;BA;A055;1;6;34,5;0;0;0;0;1,03;1;;
Isole;Sicilia;CT;A056;3;5,25;63,15;0;0;0;0;2;0;;
Nord Ovest;Lombardia;BG;A057;0;0;0;0;0;0;0;2;0;;
Nord Ovest;Lombardia;BG;A058;0;0;3;0;0;0;0;0;0;;
Nord Est;Veneto;RO;A059;15;17,17;34,63;0;0;0;2;2;0,5;;
Nord Ovest;Lombardia;BS;A060;1;4,67;12,11;0;0;0;0;1,04;0;;
Nord Est;Veneto;VR;A061;4;7;11,83;0;0;0;5;2;0;;
Centro;Lazio;RM;A062;0;0,08;5,34;0;0;0;0;0;0;;
Sud;Campania;NA;A064;2;22,54;55,94;0;0;0;3;0;0;;
Sud;Calabria;RC;A065;0;0;0,2;0;0;0;0;0;0;;
Nord Est;Emilia-Romagna;PC;A067;0;2;13,25;0;0;0;0;1;8,4;;
Sud;Campania;NA;A068;0;1,5;8,99;0;0;0;0;0;0;;
Isole;Sardegna;SS;A069;0;0;0,75;0;0;0;0;1;0;;
Isole;Sicilia;EN;A070;0;4;15;0;0;0;0;0;1;;
Centro;Toscana;PT;A071;1,33;13,5;16;0;0;0;1;5,25;0;;
Nord Ovest;Piemonte;AT;A072;0;0;4,99;0;0;0;0;0;2;;
Nord Ovest;Piemonte;TO;A074;0;0;12;0;0;0;0;0;0,5;;
Nord Est;Veneto;PD;A075;0;3;4;0;0;0;0;3;0;;
Nord Ovest;Lombardia;CR;A076;0;1;4;0;0;0;0;1;0;;
Sud;Calabria;RC;A077;0;0;0;0;0;0;0;0;0;;
Sud;Molise;IS;A080;1;0,8;9,66;0;0;0;0;0;0;;
Centro;Lazio;FR;A081;1;2;7;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BS;A082;0;2;14,71;0;0;0;0;3,59;0;;
Nord Est;Veneto;BL;A083;0;2;8,28;0;0;0;0;0;0;;
Centro;Lazio;RM;A084;0;0;6;0;0;0;0;0;0;;
Nord Ovest;Lombardia;VA;A085;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Lombardia;MI;A087;4;11,67;23;0;0;0;3;16,13;0;;
Nord Ovest;Piemonte;NO;A088;0;0;3,5;0;0;0;1;3;0;;
Isole;Sicilia;AG;A089;8,67;29,1;78,46;0;0;1;8,24;2;0;;
Sud;Campania;SA;A091;5;20;30,14;0;3;0;1;1;0;;
Centro;Marche;AN;A092;0;0;10,38;0;0;0;0;0;0;;
Nord Est;Veneto;VI;A093;0;1;4;0;0;0;0;2;0;;
Nord Ovest;Valle d'Aosta;AO;A094;0;4;6,33;0;0;0;1;1;0;;
Nord Ovest;Lombardia;MI;A096;1;1;3,5;0;0;0;0;0;0;;
Isole;Sardegna;OR;A097;0;0;1;0;0;0;0;0;0;;
Isole;Sicilia;EN;A098;0;0,22;9;0;0;0;0;0;0;;
Sud;Abruzzo;AQ;A100;0;0;7,73;0;0;0;0;1;0;;
Sud;Campania;AV;A101;0;0,11;9,22;0;0;0;0;1;0;;
Sud;Calabria;CS;A102;0;1;1;0;0;0;0;0;0;;
Sud;Calabria;CS;A105;0;0;1;0;0;0;0;0;0;;
Sud;Campania;CE;A106;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Piemonte;BI;A107;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Valle d'Aosta;AO;A108;0;0;7,5;0;0;0;0;0,5;1;;
Nord Ovest;Piemonte;TO;A109;0;1;7;0;0;0;2;0;0;;
Sud;Campania;BN;A110;0;2;8;0;0;0;0;0;0;;
Nord Ovest;Liguria;IM;A111;0;1;2;0;0;0;0;0;0;;
Nord Ovest;Lombardia;LC;A112;1;2,33;5,67;0;0;0;0;3;0;;
Nord Ovest;Piemonte;CN;A113;0;0;4;0;0;0;0;0;0;;
Isole;Sardegna;SS;A115;0;2;0;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;A117;0;0;4;0;1;0;0;0;0;;
Nord Ovest;Lombardia;PV;A118;0;1;6;0;0;0;0;2,15;0;;
Nord Ovest;Piemonte;VC;A119;0;0;1;0;0;0;0;0;0;;
Sud;Abruzzo;PE;A120;0;2;2;0;0;0;0;0;0;;
Nord Est;Veneto;BL;A121;0;1;5,84;0;0;0;0;0;0;;
Nord Ovest;Liguria;SV;A122;1;11;11,39;0;35;0;2;1;0;;
Centro;Lazio;FR;A123;1;9;16;0;0;0;0;6;0;;
Nord Ovest;Piemonte;CN;A124;22;21,13;67,69;0;0;0;6;7;2;;
Sud;Abruzzo;TE;A125;1;10;10,58;0;0;0;1;1;0;;
Isole;Sardegna;OR;A126;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Lombardia;MI;A127;2;9;6;0;0;0;0;8,24;1;;
Sud;Campania;SA;A128;1;3;9,5;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;A129;1,25;3;11,78;0;0;0;0;13,59;0;;
Nord Ovest;Piemonte;VC;A130;0;0;2;0;0;0;0;0;0,33;;
Sud;Basilicata;PZ;A131;0;0;5,5;0;0;0;0;0;0;;
Centro;Lazio;RM;A132;4,33;27,83;51,67;0;0;1;1;9;0;;
Nord Ovest;Lombardia;PV;A134;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;SO;A135;0;0;3;0;0;0;0;0;0;;
Nord Est;Veneto;VR;A137;1;0;12,8;0;0;0;0;1;2,59;;
Nord Est;Emilia-Romagna;PR;A138;0;0;14,5;0;0;0;0;1;2,66;;
Nord Ovest;Piemonte;CN;A139;0;0;3;0;0;0;0;0;0;;
Nord Ovest;Lombardia;CO;A143;2;5;12,67;0;0;0;1;3;0;;
Nord Ovest;Liguria;SV;A145;7;16;35,17;0;0;0;7,5;7;1;;
Nord Ovest;Piemonte;AL;A146;0;0;5;0;0;0;0;0;0;;
Sud;Puglia;BA;A149;0;5,5;13,5;0;0;0;0;1;1;;
Sud;Puglia;FG;A150;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;CO;A153;0;0;4,67;0;0;0;0;1,11;0;;
Nord Est;Veneto;VI;A154;0;0;8,72;0;1;0;0;1;1;;
Sud;Calabria;CZ;A155;0;0;2;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;A157;0;0;3,25;0;0;0;0;0;1;;
Nord Ovest;Lombardia;MI;A159;2;2;5,82;0;0;0;0;2;0;;
Sud;Calabria;CS;A160;0;0;3;0;0;0;0;0;0;;
Nord Est;Veneto;PD;A161;10,5;14,47;26,38;0;0;0;2;1,52;0;;
Nord Est;Emilia-Romagna;RE;A162;0;4,33;15,5;1;0;0;1;3;1;;
Nord Ovest;Lombardia;BG;A163;9;9,5;41,12;1;0;0;4;5,02;0;;
Nord Ovest;Lombardia;CO;A164;0;1;1,2;0;0;1;0;3;0;;
Nord Ovest;Liguria;SV;A165;0;4;3,05;0;0;0;0,5;0,17;0;;
Nord Ovest;Liguria;SV;A166;0;9;14,5;0;0;0;1;3,61;0;;
Nord Ovest;Lombardia;VA;A167;1;0;2;0;0;1;3;6,09;0;;
Nord Ovest;Lombardia;PV;A171;0;0;3;0;0;0;0;1;1;;
Nord Ovest;Lombardia;SO;A172;0;0;30,84;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AT;A173;0;0;3;0;0;0;0;0;0;;
Nord Ovest;Lombardia;PV;A175;0;0;6,5;0;0;0;1;2,5;0;;
Isole;Sicilia;TP;A176;2;32,93;86,22;0;2;0;0,35;3,34;0;;
Isole;Sicilia;ME;A177;0;0;1;0;0;0;0;0;0;;
Isole;Sardegna;OR;A180;0;2;2;0;0;0;0;0;0;;
Isole;Sicilia;AG;A181;0;0;8,45;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AL;A182;20,67;63,5;101,47;1;0;2;4;19,03;6;;
Sud;Calabria;CS;A183;0;0;3,67;0;0;0;0;0;0;;
Sud;Puglia;LE;A184;0;1,17;11,13;0;0;0;0;3;0;;
Sud;Puglia;LE;A185;1;3;8,5;0;0;0;0;0;0;;
Sud;Campania;SA;A186;0;0;0;0;0;0;0;0;0;;
Sud;Abruzzo;AQ;A187;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BS;A188;0;1;2;0;0;0;0;6;1;;
Nord Ovest;Piemonte;AL;A189;0;0;5;0;0;0;0;0;0;;
Nord Est;Emilia-Romagna;RA;A191;2;7;19,33;0;0;0;4;4;2,5;;
Isole;Sardegna;SS;A192;4,5;27;76,18;0;0;0;1;5;2,5;;
Nord Ovest;Lombardia;BG;A193;0;0;2,17;0;0;0;0;0;0;;
Isole;Sicilia;ME;A194;0;0;2;0;0;0;0;0;0;;
Isole;Sicilia;PA;A195;0;0;7;0;0;0;0;0;0;;
Sud;Basilicata;MT;A196;0;0;7,22;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AL;A197;0;0;5;0;0;0;0;0;0;;
Nord Ovest;Piemonte;VC;A198;0;0;6;0;0;0;0;1;0;;
Sud;Campania;CE;A200;1;1;4,5;0;0;0;0;7;0;;
Isole;Sicilia;ME;A201;1;1,75;2,5;0;0;0;0;0;0;;
Isole;Sicilia;PA;A202;1;0;6,66;0;0;0;0;0;0;;
Isole;Sicilia;PA;A203;0;1;1;0;0;0;0;0;0;;
Isole;Sardegna;OR;A204;0;0;0;0;0;1;0;0;0;;
Nord Ovest;Valle d'Aosta;AO;A205;0;0;1;0;0;0;0;0;0;;
Nord Est;Veneto;BL;A206;0;3;6,5;0;0;0;1;0;0;;
Centro;Umbria;TR;A207;0;0;3;0;0;0;0;0;0;;
Sud;Puglia;LE;A208;0;0;7;0;0;0;0;0;0;;
Centro;Lazio;RM;A210;0;0;6,33;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;A214;5;5;7,17;0;0;0;0;5,21;0;;
Nord Ovest;Lombardia;BG;A215;1;5;5;0;0;0;1;0;0;;
Nord Ovest;Lombardia;BG;A216;0;4,05;13;0;0;0;1;5;0;;
Nord Ovest;Lombardia;BG;A217;0;3;14,45;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;A218;0;1,5;13,3;0;0;0;0;0;0;;
Nord Est;Veneto;VI;A220;0;0;2,33;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;A221;0;0,67;1;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;A222;0;6;25,25;0;0;0;1;8;0;;
Nord Est;Emilia-Romagna;PC;A223;0;2,5;18,5;0;0;0;0;3;2;;
Nord Ovest;Lombardia;CO;A224;0;0,25;1,78;0;0;0;0;0;0;;
Sud;Puglia;BA;A225;23,67;60,61;152,22;0;0;0;3;19;7;;
Nord Ovest;Liguria;SV;A226;0;3;4;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AL;A227;0;0;4;0;0;0;0;2;1;;
Sud;Campania;AV;A228;0;0;2;0;0;0;0;0;0;;
Isole;Sicilia;PA;A229;0;2;9;0;0;0;0;1;0;;
Sud;Campania;SA;A230;0;8,5;14,3;0;0;0;0;0;1;;
Nord Est;Veneto;VI;A231;4;9;14,89;0;0;0;0;8;0;;
Centro;Marche;AP;A233;1;2;5;0;0;0;0;1;0;;
Sud;Calabria;CS;A234;0;0;0;0;0;0;0;0;0;;
Sud;Abruzzo;CH;A235;0;0;4;0;0;0;0;0;0;;
Nord Est;Veneto;VI;A236;0;0;10;0;0;0;0;0;0;;
Nord Est;Veneto;TV;A237;0;17;12,16;0;0;0;1;4;0;;
Nord Ovest;Piemonte;CN;A238;0;0;2;0;0;0;0;0;0;;
Isole;Sicilia;PA;A239;0;1,33;11,66;0;0;0;0;0;0;;
Sud;Calabria;CS;A240;0;4;1;0;0;0;0;0;2;;
Centro;Toscana;LU;A241;12,5;5;20,62;0;0;0;1;5;0;;
Centro;Umbria;TR;A242;0;1;2;0;0;0;0;0;0,25;;
Sud;Campania;CE;A243;0;5;8,82;0;0;0;0;1;0;;
Centro;Lazio;FR;A244;0;2;3,4;0;1;0;0;0;0;;
Nord Ovest;Piemonte;AL;A245;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;A246;11;10;23,07;0;0;0;1;9,24;0;;
Nord Ovest;Lombardia;CO;A249;0;3;2,8;0;0;0;0;2;1;;
Sud;Campania;SA;A251;0;1,43;3;0;0;0;0;0;0;;
Centro;Marche;AP;A252;0;2,33;13,5;0;0;0;0;0;0;;
Sud;Calabria;CS;A253;0,3;5,8;11,14;0;0;0;2;0;0;;
Nord Est;Friuli- Venezia Giulia;UD;A254;0;2;2;0;1;0;0;5;0;;
Sud;Calabria;CZ;A255;0;1;3;0;0;0;0;0;0;;
Centro;Lazio;FR;A256;0;4;4;0;0;0;0;0;0;;
Sud;Calabria;CZ;A257;0;1;1;0;0;0;0;0;0;;
Centro;Lazio;RI;A258;0;0;5,5;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;A259;0;1;3;0;0;0;0;0,29;0;;
Nord Ovest;Liguria;SP;A261;0;0;5,14;0;0;0;0;1;0;;
Centro;Umbria;TR;A262;1;5;21,92;0;0;0;1;0;1,42;;
Sud;Calabria;CS;A263;0;0;3;0;0;0;0;0;0;;
Nord Ovest;Piemonte;NO;A264;0;0;2;0;0;0;0;1;0;;
Sud;Campania;BN;A265;0;0;1;0;0;0;0;0;0;;
Nord Est;Friuli- Venezia Giulia;UD;A267;0;0;1;0;0;0;0;1;0;;
Sud;Campania;NA;A268;0;0;2;0;0;0;0;0;0;;
Centro;Lazio;FR;A269;1;22;18,5;0;8;0;5;27;0;;
Sud;Abruzzo;TE;A270;0;1;7,11;0;0;0;0;10;1;;
Centro;Marche;AN;A271;45,17;79,74;117,3;0;0;0;20;14,16;7,25;;
Sud;Calabria;CZ;A272;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Lombardia;SO;A273;0;2;0,19;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;A275;0;0;8,33;0;0;0;0;1;0;;
Nord Ovest;Liguria;SV;A278;2;10;23,83;0;1;0;2,01;1;1;;
Nord Ovest;Piemonte;BI;A280;0;2;8;0;0;0;0;3;0;;
Sud;Puglia;LE;A281;0;0;12;0;0;0;0;0;1;;
Nord Ovest;Piemonte;TO;A282;0;0;3,33;0;0;0;0;0;0;;
Nord Est;Friuli- Venezia Giulia;PN;A283;0;0;1;0;0;0;0;0;0;;
Sud;Campania;AV;A284;0;1;4,84;0;0;0;0;0;0;;
Sud;Puglia;BA;A285;4;52,7;165,73;0;0;1;1;22,07;0;;
Isole;Sardegna;SS;A287;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BS;A288;0;0;6;0;0;0;0;0;0;;
Nord Ovest;Lombardia;VA;A290;0;4;10,5;0;0;0;0;2;0;;
Centro;Toscana;AR;A291;0;2;16,9;0;0;0;0;0,37;0;;
Nord Est;Veneto;VR;A292;0;1,34;5;0;0;0;0;2;0;;
Nord Ovest;Lombardia;BS;A293;0;0;4,5;0;0;0;0;1;0;;
Sud;Campania;SA;A294;2;28,5;25,12;0;0;0;11;5;0;;
Nord Ovest;Piemonte;TO;A295;0;0;4;0;0;0;0;0;0;;
Nord Est;Veneto;PD;A296;0;6;5;0;0;0;0;0;0;;
Centro;Lazio;RM;A297;1;3;23,49;0;0;0;0;0;1;;
Nord Ovest;Lombardia;CR;A299;0;0;5;0;0;0;0;0;1;;
Nord Ovest;Piemonte;AT;A300;0;0;8;0;0;0;0;1;0;;
Nord Ovest;Lombardia;LC;A301;0;0;4;0;0;0;0;2,04;0;;
Nord Est;Veneto;VE;A302;0;0;5,39;0;0;0;0;11;0;;
Sud;Calabria;RC;A303;0;0;2,66;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;A304;0;4;6;0;0;0;0;1;0;;
Nord Ovest;Valle d'Aosta;AO;A305;1;1;2,08;0;3;0;0;0;0;;
Nord Ovest;Valle d'Aosta;AO;A308;0;0;0,32;0;0;0;0;0;0;;
Centro;Lazio;RM;A309;0;0;0;0;0;0;0;0;0;;
Centro;Lazio;FR;A310;2;5,01;1,44;0;6,17;0;1;0,01;0;;
Nord Ovest;Piemonte;AT;A312;0;0;3;0;0;0;0;0;0;;
Isole;Sicilia;ME;A313;0;0;3;0;0;0;0;0;0;;
Sud;Calabria;RC;A314;0;0;1,38;0;0;0;0;0;0;;
Centro;Lazio;RI;A315;0;1;4,25;0;0;0;0,25;0;0;;
Nord Ovest;Piemonte;VB;A317;0;0;3,17;0;0;0;0;0;0;;
Sud;Abruzzo;AQ;A318;0;1;2;0;0;0;0;0;0;;
Nord Ovest;Lombardia;CO;A319;0;1;2;0;0;0;0;1;2;;
Sud;Puglia;FG;A320;0;0;5,34;0;0;0;0;0;0;;
Sud;Basilicata;PZ;A321;0;0;12;0;0;0;0;0;0;;
Centro;Lazio;RM;A323;1;33,17;67,09;0;2;1;0;2;0;;
Nord Est;Emilia-Romagna;BO;A324;2;7;11,55;0;0;0;4;10;6,83;;
Nord Ovest;Piemonte;VB;A325;0;0;1,33;0;0;0;0;0;0;;
Nord Ovest;Valle d'Aosta;AO;A326;7;26,47;35,73;0;0;1;2;5;4;;
Centro;Marche;PS;A327;0;2;1,84;0;0;0;0;0;0;;
Sud;Campania;BN;A328;1;4,94;7,16;0;0;0;0;1;1;;
Centro;Marche;MC;A329;0;1;3,5;0;0;0;0;0;0;;
Sud;Campania;BN;A330;0;1;0,25;0;0;0;0;1;0;;
Nord Ovest;Lombardia;CO;A333;0;2;10,42;0;0;0;0;0;0;;
Centro;Marche;MC;A334;3;5,33;8,93;0;0;0;1;9;0;;
Centro;Marche;AP;A335;0;0;3;0;0;0;0;1;0;;
Nord Ovest;Lombardia;SO;A337;0;3;3;0;0;0;0;0;0;;
Nord Ovest;Liguria;IM;A338;0;0;4;0;0;0;0;0;0;;
Sud;Puglia;FG;A339;0;3,25;25,92;0;0;0;2;2;2;;
Sud;Calabria;CS;A340;0;0;10;0;0;0;0;0;0;;
Centro;Lazio;LT;A341;22,75;55,84;99,83;0;0;0;1;16,99;1;;
Sud;Campania;SA;A343;0;0;5;0;0;0;0;0;0;;
Nord Ovest;Liguria;IM;A344;0;0;0;0;0;0;0;0;0;;
Sud;Abruzzo;AQ;A345;10;48,5;65,1;0;0;0;12;13;0;;
Sud;Campania;AV;A347;0;0;3;0;0;0;0;0;0;;
Centro;Lazio;FR;A348;1;2,17;2,19;0;0;0;0;0;0;;
Sud;Puglia;LE;A350;1;6,5;7;0;0;0;0;0;0;;
Isole;Sicilia;AG;A351;1;3;19,42;0;0;0;1;2;0;;
Nord Ovest;Piemonte;AT;A352;0;0;2;0;0;0;0;0;0;;
Nord Est;Friuli- Venezia Giulia;PN;A354;0;0;2,33;0;0;0;0;1;0;;
Isole;Sardegna;NU;A355;7;12,43;12;0;0;0;2;3;0;;
Isole;Sardegna;OR;A357;4;0;4;0;0;0;0;1;11,47;;
Nord Ovest;Piemonte;VC;A358;0;1;16;0;0;0;4;3;0;;
Isole;Sardegna;CA;A359;0;5;5,24;0;0;0;0;0;0;;
Nord Est;Veneto;TV;A360;0;3;12;0;0;0;0;4;0;;
Centro;Lazio;FR;A363;0;2;16;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;A365;0;2;5,25;0;0;0;0;1,13;0;;
Centro;Marche;AN;A366;0;2,33;16;0;0;0;0;2;9,87;;
Sud;Abruzzo;CH;A367;0;0;4;0;0;0;0;0;0;;
Isole;Sardegna;OR;A368;0;0;0,08;0;0;0;0;0;0;;
Centro;Toscana;GR;A369;9;10,05;22,86;0;1;0;1;2;0;;
Centro;Lazio;RM;A370;0;0;2,63;0;0;0;0;0;0;;
Nord Ovest;Lombardia;VA;A371;3,33;1;17,98;0;0;0;2;4;0;;
Nord Ovest;Liguria;SP;A373;0;2;13,13;0;0;0;0;12;0;;
Nord Est;Veneto;VR;A374;5;2;19,41;0;0;0;0;5;0;;
Nord Ovest;Lombardia;MI;A375;0;6;16;0;0;0;0;3,16;0;;
Nord Ovest;Lombardia;MI;A376;6;13;19,48;0;0;0;1;31,14;0;;
Nord Est;Veneto;VI;A377;1;1;29,5;0;0;0;1;3,14;0;;
Isole;Sardegna;SS;A379;0;0;1;0;0;0;0;0;0;;
Isole;Sardegna;OR;A380;0;0;0;0;0;0;0;0;0;;
Nord Ovest;Lombardia;SO;A382;1;2,01;13;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;A383;0;0,5;9,84;0;0;0;0;1,08;0;;
Sud;Calabria;RC;A385;1;2,88;8,5;0;0;0;0;0;0;;
Sud;Calabria;VV;A386;0;0;4;0;0;0;0;0;0;;
Nord Ovest;Lombardia;PV;A387;0;0;8;0;0;0;0;2;0;;
Nord Ovest;Liguria;GE;A388;0;4;8,38;0;1;0;1;5;0;;
Nord Ovest;Lombardia;MI;A389;3;14;13,05;0;1;0;0;3;0;;
Centro;Toscana;AR;A390;55;92,99;156,16;0;3;0;9;14,18;1;;
Nord Ovest;Lombardia;CO;A391;0;0;5;0;0;0;0;1;0;;
Nord Est;Emilia-Romagna;BO;A392;9;8,8;21;0;0;0;6;2;1;;
Nord Est;Emilia-Romagna;FE;A393;5;11;43,72;1;0;0;5;11;9;;
Nord Ovest;Piemonte;CN;A394;0;0;0,17;0;0;0;0;0;0;;
Nord Ovest;Piemonte;CN;A396;0;0;0;0;0;0;0;0;0;;
Sud;Calabria;CZ;A397;0;0;1;0;0;0;0;0;0;;
Sud;Abruzzo;CH;A398;0;0;5,83;0;0;0;0;0;0;;
Sud;Campania;AV;A399;1;10,3;34,15;0;0;0;1;0;2;;
Nord Est;Veneto;RO;A400;1;3;6;0;0;0;3;3;0,5;;
Centro;Lazio;RM;A401;2;10,8;16,25;0;0;0;0;8;0,5;;
Sud;Abruzzo;CH;A402;0;0;3;0;0;0;0;1;0;;
Sud;Campania;CE;A403;0;0,6;2,8;0;0;0;0;0;0;;
Nord Ovest;Piemonte;TO;A405;0;1;10;0;0;0;0;0;1;;
Isole;Sardegna;NU;A407;0;1;0;0;0;0;0;0;0;;
Nord Ovest;Piemonte;VB;A409;0;0;6,33;0;0;0;0;0;0;;
Centro;Lazio;VT;A412;0;0;3;0;0;0;0;0;0;;
Nord Ovest;Lombardia;MI;A413;0;1;15,5;0;0;0;1;7;0;;
Nord Ovest;Piemonte;NO;A414;0;0;7,5;0;0;0;0;0;0;;
Sud;Basilicata;PZ;A415;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Liguria;IM;A418;0;0;0;0;0;0;0;0;0;;
Isole;Sardegna;CA;A419;0;0;0;0;0;0;0;0;0;;
Centro;Lazio;FR;A421;0;2;4;0;0;0;0;0;0;;
Nord Ovest;Liguria;SV;A422;0;0;4,5;0;0;0;0;0;0;;
Nord Ovest;Valle d'Aosta;AO;A424;0;0;6;0;0;0;0;1;1;;
Sud;Puglia;LE;A425;2;5,5;4,5;0;0;0;0;0;0;;
Nord Ovest;Piemonte;VB;A427;0;0;5;0;0;0;0;0;0;;
Nord Ovest;Piemonte;NO;A429;3,5;22,17;10,39;0;0;1;0;2;0;;
Nord Ovest;Lombardia;CO;A430;1;1;2;0;0;0;0;0;0;;
Sud;Campania;BN;A431;0;0,5;0;0;0;0;0;0;0;;
Sud;Campania;BN;A432;0;0;1;0;0;0;0;0;0;;
Centro;Lazio;FR;A433;0;2;5,5;0;0;0;0;2;0;;
Nord Est;Veneto;PD;A434;0;0;7,33;0;0;0;0;0;0;;
Nord Est;Veneto;RO;A435;1;1;4,5;0;0;0;7;5;1;;
Nord Ovest;Piemonte;AL;A436;0;5;14;0;0;0;0;0;0;;
Centro;Marche;AP;A437;0;1;5;0;0;0;0;0;0;;
Nord Est;Veneto;PD;A438;0;0;3,5;0;0;0;0;0;1;;
Centro;Umbria;TR;A439;0;0;4;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BG;A440;0;0;2,51;0;0;0;1;3;1;;
Nord Ovest;Lombardia;VA;A441;0;0;7,83;0;0;0;0;4;0;;
Nord Est;Veneto;BL;A443;0,33;1;11;0;0;0;0;0;0;;
Nord Est;Veneto;VI;A444;0;0;7,06;0;0;0;1;0;0;;
Sud;Abruzzo;TE;A445;0;0;0;0;0;0;0;0;0;;
