Area;Regione;Provincia;2023_CodCom;NTN_2023_Uffici;NTN_2023_Negozi_Lab;NTN_2023_Depositi_Comm_Autorimesse;NTN_2023_TCO_B04;NTN_2023_TCO_D02;NTN_2023_TCO_D05;NTN_2023_TCO_D08;NTN_2023_PRO;NTN_2023_AGR
Nord Ovest;Piemonte;NO;A088;1;1;4,95;0;0;0;0;0;0
Isole;Sicilia;AG;A089;3,17;34,34;93,94;0;1;0;4,68;4,33;0
Sud;Campania;SA;A091;12;30,67;25,14;0;0;0;8;2;0
Centro;Marche;AN;A092;1;0,33;6,33;0;0;0;0;1;0
Nord Est;Veneto;VI;A093;0;0;3;0;0;0;0;5;0
Nord Ovest;Valle d'Aosta;AO;A094;0;2;13,2;0;0;0;0;1;0
Nord Ovest;Lombardia;MI;A096;0;0;7;0;0;0;0;1;0
Isole;Sardegna;OR;A097;0;0;0;0;0;0;0;0;0
Isole;Sicilia;EN;A098;0;4;10,39;0;0;0;0;0;0
Sud;Abruzzo;AQ;A100;0;0;2;0;0;0;1;1;1
Sud;Campania;AV;A101;0;0,03;7,75;0;0;0;0;0;0
Sud;Calabria;CS;A102;0;1;3;0;0;0;0;0;0
Sud;Calabria;CS;A105;0;0;1;0;0;0;0;0;0
Sud;Campania;CE;A106;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;BI;A107;0;0;2;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A108;0;0;2,33;0;0;0;0;0;1
Nord Ovest;Piemonte;TO;A109;1;5;8,66;0;0;0;0;0;1
Sud;Campania;BN;A110;0;2;5,14;0;0,1;0;1;3;0
Nord Ovest;Liguria;IM;A111;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;LC;A112;0;0;2;0;0;0;0;2,18;0
Nord Ovest;Piemonte;CN;A113;0;0;2;0;0;0;0;0;0
Isole;Sardegna;SS;A115;0;0;1;0;0;0;0;1;0
Nord Ovest;Piemonte;TO;A117;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;A118;0;1;6;0;0;0;0;0;0
Nord Ovest;Piemonte;VC;A119;0;0,25;0,68;0;1;0;0;1;0
Sud;Abruzzo;PE;A120;1;0;3;0;0;0;0;0;0
Nord Est;Veneto;BL;A121;0;4;10;0;0;0;0;1,22;0
Nord Ovest;Liguria;SV;A122;4;11;7;0;8,16;0;0;2,37;0
Centro;Lazio;FR;A123;2;15;16,5;0;0;0;9;6;0
Nord Ovest;Piemonte;CN;A124;19;27;52,36;0;0;0;2;6;0
Sud;Abruzzo;TE;A125;2;20,83;31,23;0;0;0;0,13;0;0
Isole;Sardegna;OR;A126;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A127;0;2,9;2;0;0;0;0;2;0
Sud;Campania;SA;A128;0;1;10,84;0;0;0;0;0,67;0
Nord Ovest;Lombardia;BG;A129;1;3;8;0;0;0;2;7,06;0
Nord Ovest;Piemonte;VC;A130;0;0;1;0;0;0;0;0;0
Sud;Basilicata;PZ;A131;0;0;0,5;0;0;0;0;0;0
Centro;Lazio;RM;A132;0;34,83;46,97;0;0;0;0;4;0
Nord Ovest;Lombardia;PV;A134;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;A135;0;0;3,97;0;0;0;0;0;0
Nord Est;Veneto;VR;A137;0;1,67;14,55;0;0;0;0;4;3,33
Nord Est;Emilia-Romagna;PR;A138;0;0;7;0;0;0;0;1;1
Nord Ovest;Piemonte;CN;A139;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A143;0;1;5,5;0;0;0;0;1;0
Nord Ovest;Liguria;SV;A145;6;16,74;36,84;0;1;1;11,37;9;2
Nord Ovest;Piemonte;AL;A146;0;0;2,38;0;0;0;0;0;0
Sud;Puglia;BA;A149;1;6,83;20;0;1;0;2;5;1
Sud;Puglia;FG;A150;0;0;2,5;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A153;1;5;5;0;0;0;0;3,14;0
Nord Est;Veneto;VI;A154;0;0;6;0;0;0;0;2;0
Sud;Calabria;CZ;A155;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A157;0;2;7;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A159;0;4;12,29;0;0;0;0;1,13;0
Sud;Calabria;CS;A160;1;0;2;0;0;0;0;0;0
Nord Est;Veneto;PD;A161;5;9;14,27;0;0;0;3;10,08;0
Nord Est;Emilia-Romagna;RE;A162;0;5;16,67;0;0;0;0;3;0
Nord Ovest;Lombardia;BG;A163;11;8;30,79;0;0;0;1;1,08;0
Nord Ovest;Lombardia;CO;A164;1;0;2;0;0;0;0;1,59;0
Nord Ovest;Liguria;SV;A165;0;1;2,55;0;0;0;1;1;0
Nord Ovest;Liguria;SV;A166;0;9;16,25;0;1,5;0;0;1,04;0
Nord Ovest;Lombardia;VA;A167;0;2;8;0;0;0;0;5,03;0
Nord Ovest;Lombardia;PV;A171;0;1;4;0;0;0;0;1;0
Nord Ovest;Lombardia;SO;A172;0;0;17,8;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;A173;0;0;2,33;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;A175;0;0,2;5,2;0;0;0;0;1;0
Isole;Sicilia;TP;A176;3;27,75;103,46;0;0;0;0;6;0
Isole;Sicilia;ME;A177;0;2;4,5;0;0;0;0;0;0
Isole;Sardegna;OR;A180;0;1;0;0;0;0;0;0;0
Isole;Sicilia;AG;A181;0;2;9;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A182;29,17;110,61;135;0;2;0;8;25;3
Sud;Calabria;CS;A183;0;0;2;0;0;0;0;0;0
Sud;Puglia;LE;A184;0,5;3;9,83;0;0;3;0;4;1
Sud;Puglia;LE;A185;0;3;12,43;0;0;0;0;0;0
Sud;Campania;SA;A186;0;0;0;0;0;0;0;0;0
Sud;Abruzzo;AQ;A187;0;1;3,82;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A188;0;2;5;0;0;0;1;2;0
Nord Ovest;Piemonte;AL;A189;0;0;9;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RA;A191;0;11;26,2;0;0;0;1;4;3,5
Isole;Sardegna;SS;A192;3;31,25;77,73;0;1;1;3;5;1
Nord Ovest;Lombardia;BG;A193;0;0;1;0;0;0;0;0;0
Isole;Sicilia;ME;A194;0;0;0;0;0;0;0;0;0
Isole;Sicilia;PA;A195;0;3;7;0;0;0;0;0;0
Sud;Basilicata;MT;A196;0;0;4;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A197;0;0;2;0;0;0;0;0;0
Nord Ovest;Piemonte;VC;A198;0;0;15;0;0;0;0;1;0
Sud;Campania;CE;A200;0;3;2;0;0;0;0;1;0
Isole;Sicilia;ME;A201;1;0;2,42;0;0;0;0;0;0
Isole;Sicilia;PA;A202;0;0;5,75;0;0;0;0;0;0
Isole;Sicilia;PA;A203;0;0;4;0;0;0;0;0;0
Isole;Sardegna;OR;A204;0;0;1;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A205;0;0;1,75;0;0;0;0;0;1
Nord Est;Veneto;BL;A206;0;2;6;0;1;0;0;0;0
Centro;Umbria;TR;A207;0;1;6;0;0;0;0;8;0
Sud;Puglia;LE;A208;0;0;12;0;0;0;0;0;0
Centro;Lazio;RM;A210;0;0;3,78;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A214;1;3,14;6,92;0;0;0;1;2,04;0
Nord Ovest;Lombardia;BG;A215;0;4;10,6;0;0,17;0;0;3,24;0
Nord Ovest;Lombardia;BG;A216;0;1;14,05;0;0;0;0;1;0
Nord Ovest;Lombardia;BG;A217;0;3;5;0;0;0;0;4,04;0
Nord Ovest;Piemonte;TO;A218;0;2;10,88;0;0;0;0;3;0
Nord Est;Veneto;VI;A220;0;0;7,67;0;0;0;0;1;0
Nord Ovest;Piemonte;TO;A221;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A222;0,5;9,5;15,62;0;0;0;5;13;0
Nord Est;Emilia-Romagna;PC;A223;2,3;2,5;18,9;0;0;0;1;1;3
Nord Ovest;Lombardia;CO;A224;0;0;1;0;0;0;0;1;0
Sud;Puglia;BA;A225;38,25;76,25;123,45;0;0;0;1;25,5;5,16
Nord Ovest;Liguria;SV;A226;0;3;5;0;0;0;0;1;0
Nord Ovest;Piemonte;AL;A227;0;0;3,5;0;0;0;0;1;0
Sud;Campania;AV;A228;0;4;2;0;0;0;0;0;0
Isole;Sicilia;PA;A229;0;1,79;12,8;0;0;0;0;0;1
Sud;Campania;SA;A230;0;4;2;0;0;0;0;0;0
Nord Est;Veneto;VI;A231;3;12;14,67;0;0;0;8;11,3;0
Centro;Marche;AP;A233;0;7;10;0;0;0;0;0;1
Sud;Calabria;CS;A234;0;0;0;0;0;0;0;0;0
Sud;Abruzzo;CH;A235;0;1;1,7;0;0;0;0;0;0
Nord Est;Veneto;VI;A236;0;1;8,78;0;0;0;0;1;0
Nord Est;Veneto;TV;A237;1;6;6,88;0;0;0;0;1;0
Nord Ovest;Piemonte;CN;A238;0;0;0;0;0;0;0;0;0
Isole;Sicilia;PA;A239;0;1;7,5;0;0;0;0;0;0
Sud;Calabria;CS;A240;0;2;10;0;0;0;0;1;1,5
Centro;Toscana;LU;A241;9,5;12,25;11,37;0;0;0;6;12,14;1
Centro;Umbria;TR;A242;0;1;2;0;0;0;0;1;0
Sud;Campania;CE;A243;0;3;0,8;0;0;0;0;0;1
Centro;Lazio;FR;A244;0;2;10,4;0;0;0;0;0;1
Nord Ovest;Piemonte;AL;A245;0;0;0;0;0;0;0;0;1
Nord Ovest;Lombardia;BG;A246;2;13;11,17;0;0;1;0;8,2;0
Nord Ovest;Lombardia;CO;A249;0;0;2,25;0;0;0;0;0;0
Sud;Campania;SA;A251;1;1;0,08;0;0;0;0;1;0
Centro;Marche;AP;A252;1;1;9,5;0;0;0;0;6,13;0
Sud;Calabria;CS;A253;0;4,5;9;0;0;0;4;0;0
Nord Est;Friuli- Venezia Giulia;UD;A254;0;0;4;0;0;0;0;3;0
Sud;Calabria;CZ;A255;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;A256;0,67;5;2,56;0;0;0;0;0;0
Sud;Calabria;CZ;A257;0;0;1;0;0;0;0;1;0
Centro;Lazio;RI;A258;0;0,5;7,19;0;0;0;0;1;1
Nord Ovest;Lombardia;BG;A259;0;2;4,42;0;0;0;0;0;0
Nord Ovest;Liguria;SP;A261;0;6;7,02;0;0;0;0;0;0
Centro;Umbria;TR;A262;1;8,2;28,12;0;0;0;1;5;1
Sud;Calabria;CS;A263;0;1,17;8;0;0;1;1;1;1
Nord Ovest;Piemonte;NO;A264;0;1;2;0;0;0;0;0;1
Sud;Campania;BN;A265;0;0;0;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;UD;A267;0;0;4;0;2;0;0;0;0
Sud;Campania;NA;A268;0;2;1,33;0;0;0;0;0;0
Centro;Lazio;FR;A269;2;24;27,09;0;0;0;2;16;1
Sud;Abruzzo;TE;A270;0;0;3;0;0;0;0;2;0
Centro;Marche;AN;A271;45,12;96,34;123,43;0;5;2;18,2;18,26;4,74
Sud;Calabria;CZ;A272;0;0;3;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;A273;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A275;0;0;9;0;0;0;0;2;0
Nord Ovest;Liguria;SV;A278;0;9;18;0;0;0;1;1;0
Nord Ovest;Piemonte;BI;A280;0;0;14,22;0;0;0;0;2;0
Sud;Puglia;LE;A281;0;3;7;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A282;0;0;3;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;PN;A283;0;0;2;0;0;0;0;0;0
Sud;Campania;AV;A284;0;0;3;0;0;0;0;0;0
Sud;Puglia;BA;A285;14;53,84;122,09;0;0;1;4;18,62;0
Isole;Sardegna;SS;A287;0;0;1;0;0;0;0;1;0
Nord Ovest;Lombardia;BS;A288;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;A290;2;3;11,64;0;0;0;0;5,03;1
Centro;Toscana;AR;A291;1;4;14,34;0;0;0;0;0,18;0
Nord Est;Veneto;VR;A292;0;1;3;0;0;0;0;3;0
Nord Ovest;Lombardia;BS;A293;0;3;6,22;0;0;0;0;0;0
Sud;Campania;SA;A294;2;20,42;23,29;0;0;0;1;1;0
Nord Ovest;Piemonte;TO;A295;0;1;7;0;0;0;0;0;4
Nord Est;Veneto;PD;A296;0;3;3,13;0;0;0;0;0;0
Centro;Lazio;RM;A297;1;8;27,75;0;0;0;0;0;0
Nord Ovest;Lombardia;CR;A299;0;1;1;0;0;0;0;0;1
Nord Ovest;Piemonte;AT;A300;0;1;7;0;0;0;0;6;0
Nord Ovest;Lombardia;LC;A301;0;0;5,5;0;0;0;0;2;0
Nord Est;Veneto;VE;A302;0;1;6,03;0;0;0;0;1;1,33
Sud;Calabria;RC;A303;0;0;4;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A304;1;0,25;5,5;0;0;0;0;3;2
Nord Ovest;Valle d'Aosta;AO;A305;0;0;1,25;0;0;0;0;0;2
Nord Ovest;Valle d'Aosta;AO;A308;0;0;0;0;1;0;0;0;0
Centro;Lazio;RM;A309;0;0;1;0;0;0;0;0;0
Centro;Lazio;FR;A310;1;6;11,33;0;7;0;3;2;0
Nord Ovest;Piemonte;AT;A312;0;0;4;0;0;0;0;0;0
Isole;Sicilia;ME;A313;0;0;0;0;0;0;0;0;0
Sud;Calabria;RC;A314;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;A315;0;2;3;0;1;0;0;0;0
Nord Ovest;Piemonte;VB;A317;0;0;3;0;0;0;0;0;0
Sud;Abruzzo;AQ;A318;0;1,89;2,33;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A319;0;0;3;0;0;0;0;2;0
Sud;Puglia;FG;A320;0;0;3,83;0;0;0;0;0;0
Sud;Basilicata;PZ;A321;0;1;14,08;0;0;0;0;0;0
Centro;Lazio;RM;A323;5;45,24;48,41;0;0;0;3;3;0,83
Nord Est;Emilia-Romagna;BO;A324;2;11,37;7,7;0;0,42;0;1;7;0,25
Nord Ovest;Piemonte;VB;A325;0;0;1;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A326;15;44,78;35,03;0;2;0;1;3;1
Centro;Marche;PS;A327;0;0,67;2,02;0;0;0;0;0;0
Sud;Campania;BN;A328;0;4;5,8;0;0;0;1;0;0
Centro;Marche;MC;A329;1;2;15,25;0;0;0;0;2;0
Sud;Campania;BN;A330;0;0;1,8;0;0;0;0;1;0
Nord Ovest;Lombardia;CO;A333;3;3;15;0;0;0;0;2;1
Centro;Marche;MC;A334;0;3;15,88;0;0;0;1;5;1
Centro;Marche;AP;A335;0;0;1,17;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;A337;1;1;6,8;0;0,5;0;0;0;0
Nord Ovest;Liguria;IM;A338;0;0;1;0;0;0;0;0;0
Sud;Puglia;FG;A339;0;10;23,44;0;0;0;0;2;1
Sud;Calabria;CS;A340;0;1;2;0;0;0;0;0;0
Centro;Lazio;LT;A341;18;71,02;117,48;0;2;0;4;29;11
Sud;Campania;SA;A343;0;0;2;0;0;0;0;0;0
Nord Ovest;Liguria;IM;A344;0;0;0;0;0;0;0;0;0
Sud;Abruzzo;AQ;A345;31,22;48,39;76,82;0;0;8;14;17,28;0
Sud;Campania;AV;A347;0;1;1;0;0;0;0;0;0
Centro;Lazio;FR;A348;0;6;1;0;0;0;0;1;0
Sud;Puglia;LE;A350;0;0;9;0;0;0;0;0;0
Isole;Sicilia;AG;A351;0;1;27;0;0;0;4;7;0
Nord Ovest;Piemonte;AT;A352;0;1;1;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;PN;A354;0;0;2,67;0;0;0;0;0;0
Isole;Sardegna;NU;A355;5,5;12,98;10,5;0;0;0;1;3;0
Isole;Sardegna;OR;A357;0;1;1,67;0;0;0;1;0;3,5
Nord Ovest;Piemonte;VC;A358;0;0;0;0;0;0;0;0;0,25
Isole;Sardegna;CA;A359;0;5;7,16;0;0;0;0;1;3
Nord Est;Veneto;TV;A360;0;7;3,67;0;0;0;0;0;0
Centro;Lazio;FR;A363;0;0;10,33;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A365;0;2;6,89;0;0;0;0;0;0
Centro;Marche;AN;A366;0;3;22,39;0;0;0;0;0;3
Sud;Abruzzo;CH;A367;0;0;5;0;0;0;0;0;0
Isole;Sardegna;OR;A368;0;0;2;0;0;0;1;0;0
Centro;Toscana;GR;A369;0;6;11,5;0;0;0;0;0;3
Centro;Lazio;RM;A370;0;1;6;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;A371;1;4;15,75;0;0;0;0;8;1
Nord Ovest;Liguria;SP;A373;0;4;17,5;0;0;0;0;6;0
Nord Est;Veneto;VR;A374;0;1;9,62;0;0;0;2;1;1,14
Nord Ovest;Lombardia;MI;A375;0;4,5;5;0;0;0;0;2,16;0
Nord Ovest;Lombardia;MI;A376;3;12;15,37;0;0;0;2;5,5;0
Nord Est;Veneto;VI;A377;4;3;23,3;0;0;0;3;3,03;0
Isole;Sardegna;SS;A379;0;0;0;0;0;0;0;0;0
Isole;Sardegna;OR;A380;0;2;0;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;A382;0;0;10,45;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A383;2;6;11,33;0;0;0;0;0,21;0
Sud;Calabria;RC;A385;0;2,37;8;0;0;0;0;0;1
Sud;Calabria;VV;A386;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;A387;0;0;3,5;0;0;0;0;2;1
Nord Ovest;Liguria;GE;A388;1;7,5;17,11;0;0;0;0;4,4;0
Nord Ovest;Lombardia;MI;A389;8;17;12,75;0;0;0;0;3;0
Centro;Toscana;AR;A390;31,83;110,67;131,73;0,5;3;1;11;12,87;1
Nord Ovest;Lombardia;CO;A391;0;2;3,33;0;0;0;0;0;0
Nord Est;Emilia-Romagna;BO;A392;12,33;11;22,6;0;0;0;12;4;0
Nord Est;Emilia-Romagna;FE;A393;12;19;44,1;0;1;0;4;7;5
Nord Ovest;Piemonte;CN;A394;0;0;0,1;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;A396;0;1;1;0;0;0;0;0;0
Sud;Calabria;CZ;A397;0;0;3;0;0;0;0;0;0
Sud;Abruzzo;CH;A398;0;0;9,5;0;0;0;0;0;0
Sud;Campania;AV;A399;0;5,58;38,67;0;0;0;0;1;1
Nord Est;Veneto;RO;A400;1;3;7,67;0;0;0;0;6,17;5
Centro;Lazio;RM;A401;6;15;30,75;0;0;0;0;5,05;0
Sud;Abruzzo;CH;A402;0;0;2;0;0;0;0;0;0
Sud;Campania;CE;A403;0;1,28;5,25;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A405;0;0;4,33;0;0;0;0;1;0
Isole;Sardegna;NU;A407;0;0;0,93;0;0;0;0;0;0
Nord Ovest;Piemonte;VB;A409;1;0;4;0;0;0;0;1;0
Centro;Lazio;VT;A412;0;0;8,33;0;0;0;0;0;1
Nord Ovest;Lombardia;MI;A413;2;7;10,56;0;0;0;0;3;0
Nord Ovest;Piemonte;NO;A414;0;2;11,66;0;0;0;0;0;0
Sud;Basilicata;PZ;A415;0;0;2,45;0;0;0;0;0;0
Nord Ovest;Liguria;IM;A418;0;0;1;0;0;0;0;0;0
Isole;Sardegna;CA;A419;0;1;0;0;0;0;0;0;0
Centro;Lazio;FR;A421;0;0;1;0;0;0;0;0;0
Nord Ovest;Liguria;SV;A422;0;0;1;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A424;0;1;2;0;0;0;0;0;0
Sud;Puglia;LE;A425;0;1;7,01;0;0;0;0;1,5;0
Nord Ovest;Piemonte;VB;A427;0;0;3;0;0;0;0;0;0
Nord Ovest;Piemonte;NO;A429;5;17;19,61;0;0;0;2;3;0
Nord Ovest;Lombardia;CO;A430;0;4,5;5,95;0;0;0;0;0;0
Sud;Campania;BN;A431;0;0;5;0;0;0;1;0;0
Sud;Campania;BN;A432;0;0,67;2,67;0;0;0;0;0;0
Centro;Lazio;FR;A433;0;6;10,76;0;0;0;0;3;0
Nord Est;Veneto;PD;A434;0;0;5;0;0;0;0;0;0
Nord Est;Veneto;RO;A435;0;2;1;0;0;0;0;2;0
Nord Ovest;Piemonte;AL;A436;0;6;11;0;0;0;0;1;0
Centro;Marche;AP;A437;0;0;3,5;0;0;0;0;0;0
Nord Est;Veneto;PD;A438;0;0;2;0;0;0;1;1;0
Centro;Umbria;TR;A439;0;0;9;0;1;0;1;1;0
Nord Ovest;Lombardia;BG;A440;0;0;0;0;0;0;0;13;0
Nord Ovest;Lombardia;VA;A441;0;2;5;0;0;0;1;1;0
Nord Est;Veneto;BL;A443;0;0;9,78;0;0;0;0,67;0;0
Nord Est;Veneto;VI;A444;0;3,14;10;0;0;0;1;6;0
Sud;Abruzzo;TE;A445;0;1;5;0;0;0;0;0;0
Centro;Lazio;RM;A446;0;0;2;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;UD;A447;0;3;8;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;UD;A448;1;0;3;0;0;0;1;0;0
Centro;Lazio;RM;A449;0;10;24;0;1;0;0;1;0
Nord Ovest;Lombardia;BS;A451;0;19;10;0;0;0;2;1;0
Nord Ovest;Valle d'Aosta;AO;A452;0;0;1;0;0;0;0;0;0
Isole;Sardegna;SS;A453;6,01;14,4;29,52;0;1;0;3;2;2
Isole;Sardegna;NU;A454;0;0;1;0;0;0;0;0;0
Sud;Campania;NA;A455;4;17,5;21,98;0;0;0;0;3;0
Nord Est;Veneto;PD;A458;1;3,5;12;0;0;0;0;4;0
Nord Est;Veneto;VI;A459;16,81;17,33;57,92;0;0;0;2;29,31;2,34
Sud;Campania;SA;A460;0;2;13;0;0;0;0;1;0
Centro;Toscana;SI;A461;0;2;16,5;0;0;0;1;1;0
Centro;Marche;AP;A462;12,67;45,33;49,72;0;0;0;6;26,22;0
Sud;Puglia;FG;A463;1;1;18,39;0;0;0;1;3;0
Centro;Lazio;RI;A464;0;0;1;0;0;0;0;0;0
Nord Est;Veneto;VI;A465;6,33;8,16;15,96;0;0;0,5;2;0,09;1
Nord Ovest;Piemonte;VC;A466;0;0;5,5;0;0;0;0;0;0
