AREA;Regione;prov;2016_CodCom;NTN 2016 fino a 50_mq;NTN 2016 50 -| 85 mq;NTN 2016 85 -| 115 mq;NTN 2016 115 -| 145 mq;NTN 2016 oltre 145 mq;NTN 2016_TOTALE
Nord Est;Veneto;VI;C037;0,67;23;38;22,5;45,17;129,34
Nord Est;Veneto;VI;C056;0;3;4;3,5;4,5;15
Nord Est;Veneto;VI;C119;1;8;9,63;8;12,13;38,76
Nord Est;Veneto;VI;C605;7;19,55;16,6;17,25;19,16;79,56
Nord Est;Veneto;VI;C650;0,25;4;1,25;4,34;5,75;15,59
Nord Est;Veneto;VI;C734;0;4;3;1,75;3;11,75
Nord Est;Veneto;VI;C824;1,75;1;2;1;4,57;10,32
Nord Est;Veneto;VI;C949;3,33;9,5;4,25;1,67;4;22,75
Nord Est;Veneto;VI;D020;1;8;19,17;12,11;23,78;64,06
Nord Est;Veneto;VI;D107;7;12;13,5;17,22;27;76,72
Nord Est;Veneto;VI;D136;3;15,5;34,37;20;18,5;91,37
Nord Est;Veneto;VI;D156;2;1;2;0;1;6
Nord Est;Veneto;VI;D379;2;21,25;23;14,67;32,48;93,4
Nord Est;Veneto;VI;D407;4;6,17;5,17;2,17;4;21,51
Nord Est;Veneto;VI;D496;0,96;0;2;3,37;5,04;11,37
Nord Est;Veneto;VI;D717;3;10;2;1;3;19
Nord Est;Veneto;VI;D750;0;4;0;0;4,54;8,54
Nord Est;Veneto;VI;D882;21,42;57,17;16;5,09;8;107,68
Nord Est;Veneto;VI;D897;2;3;5;4;16,16;30,16
Nord Est;Veneto;VI;D902;0;0;1;0;2;3
Nord Est;Veneto;VI;E138;0;0;3,92;3;7;13,92
Nord Est;Veneto;VI;E184;6;9;5;9,5;9;38,5
Nord Est;Veneto;VI;E226;0;4;9,5;4;6,13;23,63
Nord Est;Veneto;VI;E354;2;26,5;36,5;20,4;30,1;115,5
Nord Est;Veneto;VI;E403;0;1;2;1;1;5
Nord Est;Veneto;VI;E465;0;0;1;1;0,5;2,5
Nord Est;Veneto;VI;E671;0;8;10,5;10;22,77;51,27
Nord Est;Veneto;VI;E682;4;31,9;43,5;33,29;59,17;171,86
Nord Est;Veneto;VI;E731;2;2;7;0;10,88;21,88
Nord Est;Veneto;VI;E762;2,5;4,83;12,33;3,8;4;27,46
Nord Est;Veneto;VI;E864;3;25,25;24,8;22;43,3;118,35
Nord Est;Veneto;VI;E912;2;12,17;22,17;11,3;24,5;72,14
Nord Est;Veneto;VI;E970;7,06;17;37;24,5;39,01;124,57
Nord Est;Veneto;VI;F019;0;1;3;0;6;10
Nord Est;Veneto;VI;F306;0;2;1,33;2;0;5,33
Nord Est;Veneto;VI;F442;0;5;19,5;5;11,67;41,17
Nord Est;Veneto;VI;F464;8,07;41,17;75;38,69;51,49;214,42
Nord Est;Veneto;VI;F465;1;4;5;5;14,78;29,78
Nord Est;Veneto;VI;F486;1;2;1;3;14,2;21,2
Nord Est;Veneto;VI;F514;1;3;8;6;3,31;21,31
Nord Est;Veneto;VI;F515;0;2;5;2,5;2,42;11,92
Nord Est;Veneto;VI;F662;1;5;6,5;4;6;22,5
Nord Est;Veneto;VI;F675;6;13,3;20,31;17,5;26,84;83,95
Nord Est;Veneto;VI;F696;0;2;3;1,47;5;11,47
Nord Est;Veneto;VI;F768;0,17;0;1;1,4;4;6,57
Nord Est;Veneto;VI;F810;0;1;1;0;3,52;5,52
Nord Est;Veneto;VI;F829;0;7;3,5;8;20;38,5
Nord Est;Veneto;VI;F838;0;11;0,86;7,33;1,33;20,52
Nord Est;Veneto;VI;F922;0;2,33;1;2;2,34;7,67
Nord Est;Veneto;VI;F957;0;5;3,07;2,5;11,5;22,07
Nord Est;Veneto;VI;F964;2;17;17;15;28,73;79,73
Nord Est;Veneto;VI;G095;4;3;2;1;14,17;24,17
Nord Est;Veneto;VI;G560;0;1;0,5;3;3,66;8,16
Nord Est;Veneto;VI;G694;0;5,5;14,5;13,5;27,92;61,42
Nord Est;Veneto;VI;G776;0;2;6;3;15,01;26,01
Nord Est;Veneto;VI;G931;2;0;0;1;2;5
Nord Est;Veneto;VI;G943;0;3,5;4;2;14;23,5
Nord Est;Veneto;VI;G957;0;2;1;2;11;16
Nord Est;Veneto;VI;H134;1,5;14;15;12,5;16,5;59,5
Nord Est;Veneto;VI;H214;2,33;9,33;4;4,5;8,16;28,32
Nord Est;Veneto;VI;H361;23,5;83,83;33;13,15;19,68;173,16
Nord Est;Veneto;VI;H512;0;18;31,5;14,5;32,9;96,9
Nord Est;Veneto;VI;H556;1;14;14;7;53,04;89,04
Nord Est;Veneto;VI;H580;1,5;31,5;8,5;4,25;19,67;65,42
Nord Est;Veneto;VI;H594;0;7;1;0;1;9
Nord Est;Veneto;VI;H829;4;14,5;16;11,28;22,01;67,79
Nord Est;Veneto;VI;H863;0;0;0;1;3;4
Nord Est;Veneto;VI;I047;0;3,75;1;5;4,5;14,25
Nord Est;Veneto;VI;I117;0;0;0;2;3,17;5,17
Nord Est;Veneto;VI;I353;4;6,33;6,17;5,44;16,17;38,11
Nord Est;Veneto;VI;I401;3;9;6,5;3,5;15,67;37,67
Nord Est;Veneto;VI;I425;0,89;4;8,5;8;9,73;31,12
Nord Est;Veneto;VI;I430;2;13,5;13,95;12,75;16,14;58,34
Nord Est;Veneto;VI;I527;3;5;5;6;8;27
Nord Est;Veneto;VI;I531;12,72;64;105,12;61,11;114,07;357,02
Nord Est;Veneto;VI;I783;1;4,33;5;2;4,67;17
Nord Est;Veneto;VI;I867;1;3,95;8;0;14,3;27,25
Nord Est;Veneto;VI;I879;0;18;12;13;17,5;60,5
Nord Est;Veneto;VI;L156;3;17;19,6;14;38,5;92,1
Nord Est;Veneto;VI;L157;7,75;52,72;71,03;46,72;59,08;237,3
Nord Est;Veneto;VI;L248;0;8;15,5;8;15,93;47,43
Nord Est;Veneto;VI;L297;2;26,4;28,66;7,5;25,94;90,5
Nord Est;Veneto;VI;L433;2;18;15,7;6;24,01;65,71
Nord Est;Veneto;VI;L551;2;32;49;54,01;39,25;176,26
Nord Est;Veneto;VI;L554;0;0;4,25;2,75;8,67;15,67
Nord Est;Veneto;VI;L624;0,5;1;1;2,2;6,17;10,87
Nord Est;Veneto;VI;L650;3,61;2,99;4;6;5,61;22,21
Nord Est;Veneto;VI;L723;0;0,38;2;6;6,57;14,95
Nord Est;Veneto;VI;L840;84,88;235,46;374,47;252,75;193,49;1141,05
Nord Est;Veneto;VI;L952;0;0;1;3;7,49;11,49
Nord Est;Veneto;VI;M032;1;12;8;4;9,24;34,24
Nord Est;Veneto;VI;M145;0;7;11;9;22,42;49,42
Nord Est;Veneto;VI;M170;1;0;1;1;3;6
Nord Est;Veneto;VI;M194;0;1,83;1;0;0,5;3,33
Nord Est;Veneto;VI;M199;2;9;10,8;3;14;38,8
Nord Est;Veneto;VR;A061;4;5;5,3;2,5;4;20,8
Nord Est;Veneto;VR;A137;1;3;6,66;6,66;19,38;36,7
Nord Est;Veneto;VR;A292;0;1;6,3;12,5;17,5;37,3
Nord Est;Veneto;VR;A374;2;14;24,44;11,5;17;68,94
Nord Est;Veneto;VR;A540;0;1,75;8,67;2,75;3,67;16,84
Nord Est;Veneto;VR;A650;12;65,83;30,83;19;21,85;149,51
Nord Est;Veneto;VR;A737;1;11,5;8,67;6,25;16,28;43,7
Nord Est;Veneto;VR;A837;0;6;4;2;3;15
Nord Est;Veneto;VR;A964;0;4;6;6;4,16;20,16
Nord Est;Veneto;VR;B070;0;0;0;2;5,5;7,5
Nord Est;Veneto;VR;B073;3,5;18,11;8,43;7,53;9,2;46,77
Nord Est;Veneto;VR;B107;0,5;25,5;29,07;34,83;43,99;133,89
Nord Est;Veneto;VR;B152;1;1;2;0;2;6
Nord Est;Veneto;VR;B154;11,83;13,5;14,5;6,33;12,39;58,55
Nord Est;Veneto;VR;B296;5,7;41,5;75;30,22;37,58;190
Nord Est;Veneto;VR;B304;1;20;24,92;11,5;17,42;74,84
Nord Est;Veneto;VR;B402;2,38;18;39,1;10;12,22;81,7
Nord Est;Veneto;VR;B709;6;19,25;22,25;18,5;33;99
Nord Est;Veneto;VR;B886;0;8;7,5;5;17,49;37,99
Nord Est;Veneto;VR;C041;0;2;2,5;2,5;7;14
Nord Est;Veneto;VR;C078;5,25;37;33,5;24,07;35,33;135,15
Nord Est;Veneto;VR;C225;3,5;52;44,5;20;23,5;143,5
Nord Est;Veneto;VR;C370;1;38,58;26;12,5;12,5;90,58
Nord Est;Veneto;VR;C412;0;0;3;6,75;7,17;16,92
Nord Est;Veneto;VR;C498;3;26;46,73;35,28;61,67;172,68
Nord Est;Veneto;VR;C538;6;7,8;7;6;8,13;34,93
Nord Est;Veneto;VR;C890;2;9;17;10;22,12;60,12
Nord Est;Veneto;VR;C897;3;8,67;32,07;16;27,49;87,23
Nord Est;Veneto;VR;C943;0;0,75;5,42;0;1;7,17
Nord Est;Veneto;VR;D118;5;37;16,04;7;18,33;83,37
Nord Est;Veneto;VR;D193;6;5,34;15;11,5;20,33;58,17
Nord Est;Veneto;VR;D317;0;3;4;0;4;11
Nord Est;Veneto;VR;D419;2;0;6,34;3,5;3,75;15,59
Nord Est;Veneto;VR;D420;0;9;2,33;1,75;1,83;14,91
Nord Est;Veneto;VR;D549;1,87;6;2;0;1;10,87
Nord Est;Veneto;VR;D818;1;12;5,5;5;16,64;40,14
Nord Est;Veneto;VR;D915;12,15;21,67;16,5;6;2;58,32
Nord Est;Veneto;VR;D957;0;2;2;2,42;24,67;31,09
Nord Est;Veneto;VR;E171;6;9;17,33;26,49;21,27;80,09
Nord Est;Veneto;VR;E284;6;7;5;0,5;15,33;33,83
Nord Est;Veneto;VR;E349;2;22,5;22;27,1;28,49;102,09
Nord Est;Veneto;VR;E358;1;5;6;5,5;8,5;26
Nord Est;Veneto;VR;E489;3;31;40;21,5;35;130,5
Nord Est;Veneto;VR;E502;22,5;72;36,05;14;22;166,55
Nord Est;Veneto;VR;E512;6,17;55,5;56,17;55,84;67,91;241,59
Nord Est;Veneto;VR;E848;9,25;29,83;9,83;3,75;11,83;64,49
Nord Est;Veneto;VR;E911;0;0;3;2;4;9
Nord Est;Veneto;VR;F172;0;5;4;3,5;9;21,5
Nord Est;Veneto;VR;F218;1,53;2,5;9,5;10,33;19,33;43,19
Nord Est;Veneto;VR;F461;0;2;2;9;12,66;25,66
Nord Est;Veneto;VR;F508;3;7;10,67;7;21,56;49,23
Nord Est;Veneto;VR;F789;3;27,5;36,5;15;16;98
Nord Est;Veneto;VR;F861;4,63;23,5;29,42;32,8;47,69;138,04
Nord Est;Veneto;VR;F918;1;22,5;16,5;20,17;29,5;89,67
Nord Est;Veneto;VR;F921;0;2;5;6;11;24
Nord Est;Veneto;VR;G080;2,33;18,83;22;13,17;19,12;75,45
Nord Est;Veneto;VR;G297;0;0;3;2,67;2;7,67
Nord Est;Veneto;VR;G365;0,67;10;3;3;4,5;21,17
Nord Est;Veneto;VR;G481;6;36;58;26,51;37,41;163,92
Nord Est;Veneto;VR;G489;20,89;101,09;62,67;29,67;33,58;247,9
Nord Est;Veneto;VR;G945;1,17;18,5;18,5;14,17;16,67;69,01
Nord Est;Veneto;VR;H048;0;4;2,5;4;11,13;21,63
Nord Est;Veneto;VR;H356;0;2;1;1;7,5;11,5
Nord Est;Veneto;VR;H522;0;6,5;5,2;1,5;7,5;20,7
Nord Est;Veneto;VR;H540;1,67;6,5;6,5;5,5;20,08;40,25
Nord Est;Veneto;VR;H606;0;2;4,13;5;11,5;22,63
Nord Est;Veneto;VR;H608;4,17;12;4;8,43;6,35;34,95
Nord Est;Veneto;VR;H610;0;0;2;4;1,33;7,33
Nord Est;Veneto;VR;H712;0;3;1;1;0;5
Nord Est;Veneto;VR;H714;0;4;3,33;8;10,13;25,46
Nord Est;Veneto;VR;H783;7;48,34;55,22;29,18;40;179,74
Nord Est;Veneto;VR;H916;1;3,17;11,45;9,92;8,55;34,09
Nord Est;Veneto;VR;H924;4;67,33;100,16;52,5;55,58;279,57
Nord Est;Veneto;VR;H944;1;5,5;9,5;12;6,83;34,83
Nord Est;Veneto;VR;I003;4,8;29,8;55,43;21,5;43,84;155,37
Nord Est;Veneto;VR;I105;0;5,67;3;7;6,33;22
Nord Est;Veneto;VR;I109;3,26;21,8;27,83;19,18;31,46;103,53
Nord Est;Veneto;VR;I259;4;23;32;21,67;22,49;103,16
Nord Est;Veneto;VR;I292;1,34;5,17;4;0,5;6,15;17,16
Nord Est;Veneto;VR;I414;0;11,67;7;9;8,5;36,17
Nord Est;Veneto;VR;I594;1,8;2;4;2;1,2;11
Nord Est;Veneto;VR;I775;6;17,5;19,11;20,33;14,95;77,89
Nord Est;Veneto;VR;I821;3;23,5;31,1;21,93;19,25;98,78
Nord Est;Veneto;VR;I826;5;27,8;28,47;37,28;46,28;144,83
Nord Est;Veneto;VR;I850;0,17;2;3;4,25;9,5;18,92
Nord Est;Veneto;VR;L136;0;1,5;0;3,67;6;11,17
Nord Est;Veneto;VR;L287;7,68;32,78;32,24;16,94;26,66;116,3
Nord Est;Veneto;VR;L364;0;3;7,5;2,58;18,16;31,24
Nord Est;Veneto;VR;L396;0;0;3,66;1;2,66;7,32
Nord Est;Veneto;VR;L567;7;40,55;46,56;32,5;56,24;182,85
Nord Est;Veneto;VR;L722;1;2;4,73;4;0,63;12,36
Nord Est;Veneto;VR;L781;170,36;822,38;1031,37;539,18;393,14;2956,43
Nord Est;Veneto;VR;L810;0;5;4;3,25;8;20,25
Nord Est;Veneto;VR;L869;1;28;34;24,83;32,5;120,33
Nord Est;Veneto;VR;L912;1;1;13;11,1;28;54,1
Nord Est;Veneto;VR;L949;7,75;63,83;65;53,18;71,02;260,78
Nord Est;Veneto;VR;M172;0;25;42,12;25;58,16;150,28
Nord Est;Veneto;VR;M178;5,5;5;6,5;8;16;41
Centro;Lazio;FR;A032;0;0;0;0;0;0
Centro;Lazio;FR;A054;3;6;3;0;1;13
Centro;Lazio;FR;A081;0;1;0;1;1;3
Centro;Lazio;FR;A123;4;10;26,5;13,5;26;80
Centro;Lazio;FR;A244;1;3;4;1,5;7;16,5
Centro;Lazio;FR;A256;3;1;1;2;1;8
Centro;Lazio;FR;A269;7;25,58;26;24;14,5;97,08
Centro;Lazio;FR;A310;20,52;35,5;17,5;12,79;6;92,31
Centro;Lazio;FR;A348;1;7,13;4;3,42;4,67;20,22
Centro;Lazio;FR;A363;0;3;10;2,8;7,75;23,55
Centro;Lazio;FR;A421;0;2;0;0;3,5;5,5
Centro;Lazio;FR;A433;1;3,67;4,67;6,89;10;26,23
Centro;Lazio;FR;A486;0;3;7;2,33;6,33;18,66
Centro;Lazio;FR;A502;1;2;0,95;3;3;9,95
Centro;Lazio;FR;A720;2,44;0,33;3,21;0,72;7,33;14,03
Centro;Lazio;FR;A763;0;0;0;0,5;0;0,5
Centro;Lazio;FR;B195;1;2,17;3;5;0;11,17
Centro;Lazio;FR;B543;1;1,75;0;1,17;2,67;6,59
Centro;Lazio;FR;B862;2;0;0;0;3;5
Centro;Lazio;FR;B919;2;2;4;4;4;16
Centro;Lazio;FR;C034;14;74,85;88,33;55,58;56,95;289,71
Centro;Lazio;FR;C177;1;2;1;0;5;9
Centro;Lazio;FR;C223;0;3;0;0;1;4
Centro;Lazio;FR;C338;0;3;4;1;5;13
Centro;Lazio;FR;C340;0;0,67;3;2;9;14,67
Centro;Lazio;FR;C413;2;12;23,5;22;23,83;83,33
Centro;Lazio;FR;C479;1;8,14;8,25;4,92;13,77;36,08
Centro;Lazio;FR;C545;6;7;8,5;4;11,42;36,92
Centro;Lazio;FR;C836;0,5;0;2;1,33;2;5,83
Centro;Lazio;FR;C864;2;0;2,75;4;0;8,75
Centro;Lazio;FR;C870;2;1;1;0;1;5
Centro;Lazio;FR;C998;0;1;1;0;0;2
Centro;Lazio;FR;D440;0;0;3;1;8,75;12,75
Centro;Lazio;FR;D483;0;1;0;0;1;2
Centro;Lazio;FR;D539;17;30,34;13;7;15,5;82,84
Centro;Lazio;FR;D591;13,64;9,17;1;0;1;24,81
Centro;Lazio;FR;D667;0;4;1,33;2;4;11,33
Centro;Lazio;FR;D682;0,67;0;0,39;0;0;1,06
Centro;Lazio;FR;D810;24,5;47,91;57,51;49,94;52,3;232,16
Centro;Lazio;FR;D819;0;5;1;2;4;12
Centro;Lazio;FR;D881;0;0;1;1;1;3
Centro;Lazio;FR;E057;3;5,75;3;1;0;12,75
Centro;Lazio;FR;E236;0;2,97;5;2,33;3,5;13,8
Centro;Lazio;FR;E340;4;17;19;12,89;12;64,89
Centro;Lazio;FR;F620;5;3;4,5;1;9,25;22,75
Centro;Lazio;FR;F740;5,42;6;7,5;1;5;24,92
Centro;Lazio;FR;G276;5,67;7,5;11,5;5,5;7;37,17
Centro;Lazio;FR;G362;2;3;4;4;0,5;13,5
Centro;Lazio;FR;G374;0;0;2;2;3;7
Centro;Lazio;FR;G500;1;0;2;0;0,5;3,5
Centro;Lazio;FR;G591;0;1;2;1,67;2;6,67
Centro;Lazio;FR;G592;1;2;2;1;2;8
Centro;Lazio;FR;G598;3;14,89;16;8;5;46,89
Centro;Lazio;FR;G659;14;12,39;9,5;8;6,5;50,39
Centro;Lazio;FR;G662;0;2;0;0;2;4
Centro;Lazio;FR;G749;0;0;3;3;2,67;8,67
Centro;Lazio;FR;G838;0,75;5;11,51;5,5;8,75;31,51
Centro;Lazio;FR;G935;1;0;0,5;0;1;2,5
Centro;Lazio;FR;H324;0;4;0,24;2;2,49;8,73
Centro;Lazio;FR;H393;0,5;1;1;0;0;2,5
Centro;Lazio;FR;H443;1;8;2;6;10,33;27,33
Centro;Lazio;FR;H779;0;0;0;1,8;0;1,8
Centro;Lazio;FR;H824;4,26;4;0;3;3,33;14,59
Centro;Lazio;FR;H880;0;1,25;3,25;0;2;6,5
Centro;Lazio;FR;H917;0;2;3;4,25;3,97;13,22
Centro;Lazio;FR;I256;0;0;0;0;3;3
Centro;Lazio;FR;I265;0;1;0;1;0;2
Centro;Lazio;FR;I302;0;1;0;1;1;3
Centro;Lazio;FR;I321;4;2,5;8;2;12,01;28,51
Centro;Lazio;FR;I351;1;0;0;0,63;1;2,63
Centro;Lazio;FR;I364;3;3;0;0;1,6;7,6
Centro;Lazio;FR;I408;0;0,67;0;1;3;4,67
Centro;Lazio;FR;I669;1,13;4;10;4,5;5,5;25,13
Centro;Lazio;FR;I697;1;0;1,25;0;1;3,25
Centro;Lazio;FR;I716;13;9,5;3;0;3;28,5
Centro;Lazio;FR;I838;1,78;13,87;39,43;22,75;29,5;107,33
Centro;Lazio;FR;I973;2;2;2;3;0,83;9,83
Centro;Lazio;FR;L009;6;5;5;4;8,75;28,75
Centro;Lazio;FR;L105;0;2;0;0;0;2
Centro;Lazio;FR;L243;4;1;1;0;0;6
Centro;Lazio;FR;L290;1;3;4;4,39;9,75;22,14
Centro;Lazio;FR;L398;9,84;10;5;1;3,5;29,34
Centro;Lazio;FR;L437;0;1;0;0;0;1
Centro;Lazio;FR;L598;2;0;3;1;2;8
Centro;Lazio;FR;L605;0;0;0;0;0;0
Centro;Lazio;FR;L614;2;0;4;3;1,5;10,5
Centro;Lazio;FR;L780;5,5;7,5;9,89;6,75;22,5;52,14
Centro;Lazio;FR;L836;0;0;0,8;0;0,5;1,3
Centro;Lazio;FR;L843;0;0;1,67;1,5;3;6,17
Centro;Lazio;FR;L905;2;1;3;0;5,75;11,75
Centro;Lazio;FR;M083;0;0;0;0;0;0
Centro;Lazio;LT;A341;30,33;200,42;175,45;75,57;55,62;537,39
Centro;Lazio;LT;A707;3;4,05;0;2;1;10,05
Centro;Lazio;LT;B527;2;1;1;0;0;4
Centro;Lazio;LT;C104;1;2;3,5;2,25;7;15,75
Centro;Lazio;LT;C740;14;61,83;63,67;33,5;32,39;205,39
Centro;Lazio;LT;D003;8;20;12;5;3,34;48,34
Centro;Lazio;LT;D662;22;54;58,67;45,92;40,47;221,06
Centro;Lazio;LT;D708;21,83;73,35;84,88;61,59;28,92;270,57
Centro;Lazio;LT;D843;31,23;64,25;66,75;29,63;10,67;202,53
Centro;Lazio;LT;E375;5,5;10;4,86;8;6,85;35,21
Centro;Lazio;LT;E472;61,76;296,2;267,48;196,98;149,35;971,77
Centro;Lazio;LT;E527;1;3;2;1;0;7
Centro;Lazio;LT;E798;0;3;1,5;5;0;9,5
Centro;Lazio;LT;F224;16,2;78,71;45,72;19;13;172,63
Centro;Lazio;LT;F616;2;2,14;5,5;4,5;15,72;29,86
Centro;Lazio;LT;F937;4;8,67;5;2;1;20,67
Centro;Lazio;LT;G698;2;12,5;14,17;12,5;5,5;46,67
Centro;Lazio;LT;G865;1;18,5;29,75;16,25;12,25;77,75
Centro;Lazio;LT;G871;9,5;5,5;3,38;1;3,06;22,44
Centro;Lazio;LT;H076;3;3,67;2,5;2,33;0;11,5
Centro;Lazio;LT;H413;2;2;1;1;2;8
Centro;Lazio;LT;H421;1;8;1;0,67;0,43;11,1
Centro;Lazio;LT;H444;0;0;0;0;1;1
Centro;Lazio;LT;H647;13,5;72,26;53,17;36,13;27;202,06
Centro;Lazio;LT;H836;9;29,55;27,42;19,53;22,5;108
Centro;Lazio;LT;I339;1;3;3,04;1;11,33;19,37
Centro;Lazio;LT;I634;2;31,26;20,63;10,5;9,05;73,44
Centro;Lazio;LT;I712;3;23,33;15,42;6,39;18,39;66,53
Centro;Lazio;LT;I832;2;11,17;10;8,17;8;39,34
Centro;Lazio;LT;I892;10,67;10;8;3,92;3;35,59
Centro;Lazio;LT;I902;0;2;1,5;0;5;8,5
Centro;Lazio;LT;L120;53,84;135,3;125,36;71,08;33,39;418,97
Centro;Lazio;LT;L742;10;10,83;2;0;0;22,83
Centro;Lazio;RI;A019;0,66;3,66;0,5;0;2,81;7,63
Centro;Lazio;RI;A258;7,51;5;7,17;4,25;4,5;28,43
Centro;Lazio;RI;A315;1;4,17;9,5;4,08;1,5;20,25
Centro;Lazio;RI;A464;4;1;1,5;0;0;6,5
Centro;Lazio;RI;A472;3;2;4;4;5;18
Centro;Lazio;RI;A765;0;2;0;1;3;6
Centro;Lazio;RI;A981;1,75;3,25;7;0;2;14
Centro;Lazio;RI;A996;0;0;1;0;1;2
Centro;Lazio;RI;B008;2,5;4;4,5;2;7;20
Centro;Lazio;RI;B595;4;3;0;0;1;8
Centro;Lazio;RI;B627;0;1;3;1;2;7
Centro;Lazio;RI;B631;0,67;3;1,78;2;3;10,45
Centro;Lazio;RI;B934;0;3,5;1,08;0;1;5,58
Centro;Lazio;RI;C098;7,5;2;1;0;0;10,5
Centro;Lazio;RI;C224;0;2,5;1,36;3,5;2;9,36
Centro;Lazio;RI;C268;4,5;3;1;1;2;11,5
Centro;Lazio;RI;C746;6;10;12,5;6;5,5;40
Centro;Lazio;RI;C749;1;0;0;0;1,5;2,5
Centro;Lazio;RI;C841;1,88;2,88;1;0;0;5,76
Centro;Lazio;RI;C857;2;4;0;0;0;6
Centro;Lazio;RI;C859;0,67;0,17;0;1;0;1,84
Centro;Lazio;RI;C876;3,5;3;3,5;0;3,83;13,83
Centro;Lazio;RI;C880;0;0,66;1,5;0,5;1;3,66
Centro;Lazio;RI;C946;0;0;1;0;0;1
Centro;Lazio;RI;C959;1;1;1;0;0;3
Centro;Lazio;RI;C969;1,75;5;1,75;5,17;5,61;19,28
Centro;Lazio;RI;D124;0;0;2,5;0;1,5;4
Centro;Lazio;RI;D493;8,22;31;18,22;19,75;21,5;98,69
Centro;Lazio;RI;D560;1,5;6;2,68;1;1;12,18
Centro;Lazio;RI;D689;1,5;8;3,67;1;4,3;18,47
Centro;Lazio;RI;D785;0;4,5;0;1;1;6,5
Centro;Lazio;RI;E160;0,5;0,5;1;1;3,33;6,33
Centro;Lazio;RI;E393;0;0;1;0;0;1
Centro;Lazio;RI;E535;6,31;12,75;3,08;1,67;0;23,81
Centro;Lazio;RI;E681;1;2,5;0;1;0;4,5
Centro;Lazio;RI;E812;0;5;4;4;7,5;20,5
Centro;Lazio;RI;E927;0;0;1;0;0;1
Centro;Lazio;RI;F193;3,81;0,67;1;0;0;5,48
Centro;Lazio;RI;F319;1;1;0;0;0;2
Centro;Lazio;RI;F430;0;1;1;0;1;3
Centro;Lazio;RI;F446;1;1;2,5;0;4;8,5
Centro;Lazio;RI;F541;5,5;1;2;0;2;10,5
Centro;Lazio;RI;F579;0;0;0;0;0;0
Centro;Lazio;RI;F619;0;2;2;0,5;0,5;5
Centro;Lazio;RI;F687;6;9,5;9;4,33;9;37,83
Centro;Lazio;RI;F746;0;0;0;0;0;0
Centro;Lazio;RI;F876;0;0;0;0;2,67;2,67
Centro;Lazio;RI;G232;1;0;1;1;0;3
Centro;Lazio;RI;G498;5,33;5,13;6;6;3;25,46
Centro;Lazio;RI;G507;0;0;0;0;1;1
Centro;Lazio;RI;G513;5,69;0;5;3;3,33;17,02
Centro;Lazio;RI;G756;4;6;3,5;0;2;15,5
Centro;Lazio;RI;G757;5;2;2;0;3;12
Centro;Lazio;RI;G763;8;23,25;20,25;9;3,5;64
Centro;Lazio;RI;G764;2;11,97;5;4;2,5;25,47
Centro;Lazio;RI;G765;6;9,5;5,33;2;5,5;28,33
Centro;Lazio;RI;G770;0;1;0;0;3,39;4,39
Centro;Lazio;RI;G934;3,5;5;1;0;3;12,5
Centro;Lazio;RI;G951;2;3,5;4;0;0;9,5
Centro;Lazio;RI;H282;27,77;88,27;75,59;76,67;75,75;344,05
Centro;Lazio;RI;H354;0;1;0;0;1;2
Centro;Lazio;RI;H427;0;2;0,67;0;1;3,67
Centro;Lazio;RI;H446;2,67;4;2,67;2;2;13,34
Centro;Lazio;RI;H713;3;1;4;3;1;12
Centro;Lazio;RI;I499;7,75;6;11;5;8;37,75
Centro;Lazio;RI;I581;0;2,5;0;1;2;5,5
Centro;Lazio;RI;I959;4;5;6;1;4;20
Centro;Lazio;RI;L046;4;8;4;3;6,5;25,5
Centro;Lazio;RI;L189;5;5;2;1;2;15
Centro;Lazio;RI;L286;1;4;0;0;2,5;7,5
Centro;Lazio;RI;L293;2,33;5;5,58;3;1,42;17,33
Centro;Lazio;RI;L525;0;0;0;1;0;1
Centro;Lazio;RI;L676;2;2,25;0;0,25;0;4,5
Centro;Lazio;RM;A062;1;3;0;0,5;0;4,5
Centro;Lazio;RM;A084;2;6,8;2,5;2;0,67;13,97
Centro;Lazio;RM;A132;24,25;142,33;131,7;49,78;36;384,06
Centro;Lazio;RM;A210;4,5;12,42;9,5;1;1;28,42
Centro;Lazio;RM;A297;12,5;38,92;40,83;16;25,92;134,17
Centro;Lazio;RM;A309;0;3,89;0;0;0;3,89
Centro;Lazio;RM;A323;33,5;243,52;258,66;144,17;86,07;765,92
Centro;Lazio;RM;A370;9,5;10;2;0,5;3;25
Centro;Lazio;RM;A401;11;30,67;31,83;18,5;28;120
Centro;Lazio;RM;A446;0;0;1,75;2,83;2,83;7,41
Centro;Lazio;RM;A449;2;15;18;8,47;15,17;58,64
Centro;Lazio;RM;A749;1;9,84;3,5;1,33;1;16,67
Centro;Lazio;RM;B114;14,83;67,08;49,5;29,17;20,08;180,66
Centro;Lazio;RM;B472;0;5;0;0,5;0;5,5
Centro;Lazio;RM;B496;6;44,5;21,5;7;10,33;89,33
Centro;Lazio;RM;B576;3;10,25;4,5;8,67;4,5;30,92
Centro;Lazio;RM;B632;0;2,5;2,5;2;4;11
Centro;Lazio;RM;B635;0;0,67;0;1;0;1,67
Centro;Lazio;RM;B649;5;41;32;14;14,3;106,3
Centro;Lazio;RM;B687;1;2,83;0;0;0;3,83
Centro;Lazio;RM;B828;2;6,17;5,5;2;1;16,67
Centro;Lazio;RM;B932;0;0;0;0;0;0
Centro;Lazio;RM;C116;11,33;17,5;14,05;5,5;6,84;55,22
