AREA;Regione;prov;2019_CodCom;NTN 2019 fino a 50 mq;NTN  2019 50 -| 85 mq;NTN 2019 85 -| 115 mq;NTN  2019 115 -| 145 mq;NTN  2019 oltre 145 mq;NTN 2019
Nord Ovest;Lombardia;LC;F265;6,01;23,55;5;2;0;36,56
Nord Est;Friuli- Venezia Giulia;UD;F266;0;1;3;2;1,17;7,17
Nord Ovest;Lombardia;MN;F267;2;7;10;18;16,17;53,17
Centro;Marche;MC;F268;1;2;8,17;5,25;5;21,42
Nord Est;Veneto;TV;F269;15;106,76;124,26;77,35;106,5;429,87
Isole;Sardegna;OR;F270;0;0;0;0;0;0
Isole;Sardegna;OR;F271;0;0;0;0;2,5;2,5
Isole;Sardegna;OR;F272;2;1;1;6;5,67;15,67
Sud;Campania;BN;F274;6;1;4;1;9,78;21,78
Nord Est;Friuli- Venezia Giulia;UD;F275;0;2;1;3;4;10
Nord Ovest;Lombardia;BG;F276;4;0;2;0;1;7
Isole;Sicilia;ME;F277;2;3;0;0,25;0;5,25
Sud;Campania;SA;F278;0;0;0;1;0,5;1,5
Nord Ovest;Piemonte;CN;F279;2;3;2;1;1;9
Sud;Puglia;BA;F280;9;45,39;63,46;50,55;27,17;195,57
Nord Ovest;Piemonte;AL;F281;1;9;4;3;6;23
Centro;Toscana;LU;F283;1;1,58;2;1;3;8,58
Sud;Puglia;BA;F284;73,09;224,8;187,96;131,84;50,67;668,36
Sud;Campania;BN;F287;0;0;4;2;1;7
Nord Est;Emilia-Romagna;BO;F288;8;58,85;57,28;36;37,5;197,63
Nord Ovest;Liguria;IM;F290;3;4;1;2;1;11
Nord Ovest;Piemonte;AL;F293;0;0;0;1,5;1;2,5
Sud;Molise;CB;F294;0;0;0;1;1;2
Sud;Basilicata;PZ;F295;8;8;3;2;2;23
Nord Ovest;Piemonte;VC;F297;1;1;1;1;2;6
Isole;Sicilia;AG;F299;8,2;30,96;38,36;43,24;13,05;133,81
Sud;Calabria;RC;F301;2;2;1;1;2,67;8,67
Nord Ovest;Lombardia;LC;F304;0;9;6;2,25;8;25,25
Nord Ovest;Lombardia;CO;F305;5;6;5,07;5;8;29,07
Nord Ovest;Piemonte;AT;F308;0;0;0;1;0;1
Nord Ovest;Piemonte;CN;F309;0;0;2;0;2;4
Centro;Marche;PS;F310;1;3;2;0,33;6;12,33
Nord Ovest;Piemonte;AT;F311;0;1;2;0;4;7
Nord Ovest;Piemonte;CN;F312;0;0;1;2;1;4
Nord Ovest;Piemonte;AL;F313;0;1;0;0;2,9;3,9
Nord Ovest;Piemonte;TO;F315;0;0;0;3;1;4
Nord Ovest;Piemonte;AT;F316;0;1;3;4;9;17
Nord Ovest;Piemonte;NO;F317;0;2;4;2;5;13
Nord Ovest;Piemonte;TO;F318;2;5;1;0;3;11
Centro;Lazio;RI;F319;0;2;0,66;1;2,5;6,16
Nord Ovest;Piemonte;AL;F320;0;0;0;0;0,5;0,5
Sud;Molise;CB;F322;0;1;0;0;3;4
Nord Ovest;Piemonte;AT;F323;0;0;0;2;3,5;5,5
Sud;Calabria;RC;F324;3;5,5;4,5;2;0;15
Nord Ovest;Piemonte;AT;F325;0;1;3;0;0;4
Nord Ovest;Piemonte;CN;F326;1;1;1;2;5,5;10,5
Nord Ovest;Piemonte;TO;F327;2;5;1;0;1;9
Nord Ovest;Lombardia;BG;F328;1;5,67;4,67;3;1,08;15,42
Nord Ovest;Piemonte;CN;F329;0;1;0;0;1;2
Nord Ovest;Piemonte;CN;F330;0;0;1,75;2,17;3;6,92
Nord Est;Veneto;TV;F332;0;16;14;3,17;8,67;41,84
Isole;Sardegna;CA;F333;1,5;1,81;6,81;3,5;7,33;20,95
Nord Ovest;Piemonte;TO;F335;44,5;292,66;208,63;85,03;91,99;722,81
Nord Ovest;Piemonte;AT;F336;2;9;9,3;5,25;12,75;38,3
Nord Ovest;Piemonte;AL;F337;1;0;1;0;2;4
Nord Ovest;Piemonte;CN;F338;0;0;2;0;3;5
Nord Est;Emilia-Romagna;PR;F340;1;6,83;3,92;2;1,5;15,25
Nord Ovest;Piemonte;VC;F342;0;0;1;3;10;14
Nord Ovest;Piemonte;AT;F343;0;1;2;1,92;3,11;8,03
Nord Est;Emilia-Romagna;RN;F346;0;1;4;3;2;10
Centro;Marche;PS;F347;1;6;1;4,5;5,17;17,67
Centro;Marche;PS;F348;14;64,2;38,5;27;19,5;163,2
Nord Ovest;Piemonte;CN;F351;12,32;54,54;70,49;37;56,2;230,55
Sud;Campania;CE;F352;16,48;57,94;52,5;31,35;33,16;191,43
Nord Ovest;Liguria;GE;F354;16;28,23;21,53;3,54;1,83;71,13
Nord Ovest;Piemonte;CN;F355;0;1;0;0;2;3
Nord Est;Emilia-Romagna;MO;F357;6;27,48;42,36;19,12;33,16;128,12
Nord Ovest;Piemonte;CN;F358;1;7;2;2;16;28
Isole;Sicilia;ME;F359;1;7,5;6,75;1;2;18,25
Nord Est;Veneto;TV;F360;1,66;0;2;2;8,5;14,16
Nord Ovest;Piemonte;AT;F361;0;0;0;1;1,5;2,5
Nord Est;Emilia-Romagna;BO;F363;1;17,69;11,33;7,05;18,77;55,84
Sud;Calabria;VV;F364;1;0;0;1;1;3
Nord Ovest;Piemonte;AL;F365;0;0;0;0;1;1
Nord Ovest;Valle d'Aosta;AO;F367;1;6,33;4,5;1;0,5;13,33
Isole;Sicilia;ME;F368;0;0;0;0;0;0
Nord Ovest;Piemonte;BI;F369;2;5;3,5;9,25;6;25,75
Sud;Calabria;CS;F370;0;0;5;1;1;7
Nord Ovest;Lombardia;CO;F372;0;2;8;0;0,5;10,5
Nord Ovest;Lombardia;BS;F373;7;46,02;18;7;10;88,02
Nord Ovest;Piemonte;AL;F374;0;0;2;0;0;2
Nord Ovest;Lombardia;BS;F375;6;4;0,83;0;0;10,83
Sud;Puglia;BA;F376;40,98;157,28;200,86;153,53;78,03;630,68
Isole;Sicilia;PA;F377;37,44;63,53;69,72;53;59,88;283,57
Centro;Marche;AP;F379;0;0;1;0;0;1
Centro;Marche;AP;F380;0;8;6,08;8,33;3;25,41
Centro;Marche;AN;F381;0;3;4,5;8,33;10;25,83
Nord Est;Veneto;PD;F382;5;83,71;52,05;44,6;46,06;231,42
Isole;Sardegna;CA;F383;3,75;58,32;29,01;25,41;25,2;141,69
Centro;Toscana;PT;F384;7,25;29,13;51,84;24,67;36,21;149,1
Nord Ovest;Piemonte;CN;F385;0;9,33;12;3,66;4;28,99
Nord Ovest;Piemonte;AT;F386;0;1;0;0;2;3
Nord Ovest;Piemonte;AL;F387;0;0,83;0;1;1;2,83
Nord Ovest;Piemonte;AT;F390;1;2;0;2;11;16
Sud;Molise;CB;F391;1;1;0;1;1;4
Nord Ovest;Lombardia;SO;F393;1;8,11;4;4,5;3,72;21,33
Nord Est;Veneto;PD;F394;2;15;19,5;21;45,34;102,84
Isole;Sicilia;ME;F395;1;2;3;0;0;6
Sud;Campania;AV;F397;0,67;3,5;0;0;0;4,17
Centro;Toscana;FI;F398;4;27;15,33;6,5;15,5;68,33
Sud;Basilicata;MT;F399;4;10,7;8,67;3;2,83;29,2
Isole;Sicilia;ME;F400;0;1,13;8,13;7;3;19,26
Centro;Marche;AN;F401;2;4,5;9,5;9;11,5;36,5
Nord Ovest;Piemonte;AL;F403;0;0;2;0;0;2
Nord Ovest;Piemonte;AL;F404;0;0;1;2;1;4
Nord Ovest;Piemonte;CN;F405;8;4;4;0;0;16
Nord Ovest;Piemonte;TO;F407;0;0;2;2,5;3;7,5
Nord Ovest;Piemonte;CN;F408;1;0;0;1;2;4
Nord Ovest;Piemonte;AT;F409;2;0;0;2;2,5;6,5
Centro;Toscana;PT;F410;0;23,5;27,27;20,67;26,33;97,77
Nord Ovest;Piemonte;TO;F411;1;4;5;2;10;22
Isole;Sicilia;AG;F414;0;0;3;0;4;7
Centro;Marche;AP;F415;1;1;3;4;3,33;12,33
Sud;Calabria;CS;F416;4;51;45;41;29;170
Nord Ovest;Lombardia;PV;F417;0;4;1;2;6;13
Centro;Lazio;VT;F419;25;66,28;37,42;15,17;13;156,87
Nord Ovest;Piemonte;TO;F420;1;5;8;6;4;24
Nord Ovest;Piemonte;TO;F422;2;15;4,67;8;20,83;50,5
Nord Ovest;Lombardia;LO;F423;0;5;11,25;2,17;2;20,42
Nord Ovest;Piemonte;CN;F424;0;0;1,67;0;2;3,67
Sud;Campania;SA;F426;2;4;4,67;1;1,5;13,17
Nord Ovest;Lombardia;CO;F427;3;24;21,5;11;12;71,5
Centro;Marche;AP;F428;0;2;1;1;2,5;6,5
Sud;Molise;IS;F429;1;0;0;1;2,5;4,5
Centro;Lazio;RI;F430;1;0;1;1;0;3
Sud;Calabria;CZ;F432;9;23,87;13;8;3,5;57,37
Sud;Abruzzo;CH;F433;0;0;2;0;1;3
Nord Ovest;Lombardia;CR;F434;0;4;4;3;4,11;15,11
Centro;Toscana;GR;F437;35,67;78,75;56,78;29,43;23,83;224,46
Nord Ovest;Lombardia;PV;F440;0;1;2;1,05;7,3;11,35
Sud;Abruzzo;PE;F441;1,67;1;0;1;2,5;6,17
Nord Est;Veneto;VI;F442;0;8;16;14,9;21,5;60,4
Nord Est;Veneto;TV;F443;21;90;68,55;66,12;74,69;320,36
Nord Ovest;Liguria;GE;F445;0;1;0;0;0;1
Centro;Lazio;RI;F446;0;5;2;1;3;11
Sud;Campania;AV;F448;1,5;3;7,22;4,22;1,22;17,16
Nord Ovest;Lombardia;PV;F449;0;0;0;0;2,67;2,67
Centro;Marche;PS;F450;0;1,5;1;2,33;4,16;8,99
Centro;Toscana;LU;F452;0;4,5;2;12,17;18;36,67
Centro;Marche;AN;F453;1;1,33;6;1;1;10,33
Centro;Marche;MC;F454;2;7,5;10;14;9,5;43
Nord Ovest;Piemonte;AL;F455;0;0;0;2;0;2
Centro;Umbria;PG;F456;0;0;3,5;1,33;8,33;13,16
Centro;Umbria;TR;F457;0,83;4;8,5;2;10,5;25,83
Centro;Toscana;PI;F458;6,22;4;8,22;6,5;3;27,94
Centro;Marche;MC;F460;1;0;0;0;0;1
Nord Est;Veneto;VR;F461;1;5;13,48;5;7,15;31,63
Centro;Umbria;TR;F462;1;4;4;0;2;11
Nord Est;Emilia-Romagna;RE;F463;0;21,5;26,71;15;22,75;85,96
Nord Est;Veneto;VI;F464;9;62,33;62;54,58;61,88;249,79
Nord Est;Veneto;VI;F465;2;5;6,83;4;12,9;30,73
Centro;Marche;PS;F467;1,5;0;1;1;0;3,5
Nord Ovest;Piemonte;AT;F468;0,5;4;1;3;5;13,5
Nord Ovest;Piemonte;AL;F469;0;1;1;1;4,5;7,5
Nord Ovest;Lombardia;BS;F471;19,8;97;78,92;57,09;70,63;323,44
Nord Est;Emilia-Romagna;PR;F473;3;34,83;38;15,84;25,66;117,33
Centro;Marche;PS;F474;0;5;1;2;1;9
Sud;Molise;CB;F475;1;8;1,17;1;1;12,17
Centro;Lazio;RM;F477;13;41,5;22,83;18,33;7,75;103,41
Centro;Marche;PS;F478;1;2,42;2;0;1;6,42
Sud;Campania;SA;F479;2,83;20,87;4;2,75;5,05;35,5
Sud;Campania;SA;F480;4;16,5;38;29,5;20,5;108,5
Sud;Campania;SA;F481;3;3;13,14;19,5;8,75;47,39
Centro;Marche;MC;F482;0;12,25;30,44;16,5;9,17;68,36
Nord Ovest;Piemonte;VB;F483;0;2;2;2;5;11
Nord Est;Emilia-Romagna;MO;F484;3;8;1,5;2,5;3,5;18,5
Nord Est;Veneto;VI;F486;0;4;2;3,5;5,5;15
Centro;Marche;AP;F487;0;5;1,08;2;0,5;8,58
Sud;Campania;NA;F488;2,76;10;8,58;7,61;7,78;36,73
Isole;Sicilia;CL;F489;13,67;6,03;2,89;4,17;3;29,76
Sud;Campania;AV;F491;0,5;1;1;3;1,5;7
Centro;Umbria;PG;F492;2;5,61;6,67;8;8;30,28
Centro;Marche;AP;F493;0;3;0;0;0,75;3,75
Sud;Campania;BN;F494;2;1;1;0;2;6
Sud;Molise;CB;F495;1;2,75;0;0;2;5,75
Centro;Marche;MC;F496;0;2;4;6;3,5;15,5
Centro;Marche;PS;F497;0;0,5;4;2;2,8;9,3
Sud;Abruzzo;CH;F498;0;1;1;0;1;3
Centro;Lazio;VT;F499;7;16,91;19;15,5;25,17;83,58
Sud;Abruzzo;TE;F500;0;0;0;0;3;3
Centro;Marche;AP;F501;0;1;0;3;1,67;5,67
Nord Est;Emilia-Romagna;RN;F502;0;3,38;5;4;5,56;17,94
Nord Est;Emilia-Romagna;MO;F503;1;6;7,5;4;7,11;25,61
Centro;Lazio;RM;F504;1,33;4,6;1;0;0;6,93
Sud;Campania;AV;F506;2;20;17,5;24;27,84;91,34
Sud;Campania;SA;F507;0;1;0;0;0;1
Nord Est;Veneto;VR;F508;3;29,8;33;8;16,31;90,11
Centro;Marche;AP;F509;2;5;2;0;2,39;11,39
Centro;Umbria;TR;F510;0;2,67;1;2;1,83;7,5
Sud;Campania;AV;F511;1;3;1;1;3;9
Sud;Campania;AV;F512;0;2;1;0;0;3
Centro;Umbria;TR;F513;0;1,67;2;1;2;6,67
Nord Est;Veneto;VI;F514;0;4;7;4;16,49;31,49
Nord Est;Veneto;VI;F515;0;1;3;3;2;9
Centro;Marche;AP;F516;1,5;0,5;0,85;0;0;2,85
Centro;Marche;AP;F517;0;1;1;0;1;3
Nord Ovest;Piemonte;AL;F518;0;0;0;0;0;0
Sud;Calabria;CS;F519;5;8;2;1,5;0;16,5
Centro;Marche;AP;F520;0;2;6;5,5;8,67;22,17
Centro;Marche;AP;F522;1;7;11,5;21,17;8,5;49,17
Nord Est;Emilia-Romagna;RN;F523;0;2;2,88;1;1;6,88
Centro;Marche;PS;F524;1;0;1;0,5;1,5;4
Nord Ovest;Lombardia;VA;F526;0;8;3,67;3;10;24,67
Nord Ovest;Piemonte;AT;F527;1;5;3;0;18,38;27,38
Nord Ovest;Liguria;IM;F528;0;0;0;0;0;0
Nord Est;Veneto;PD;F529;2;28;32,17;30,48;52,76;145,41
Sud;Puglia;TA;F531;0;1;10,5;10;4;25,5
Nord Ovest;Lombardia;BS;F532;6,5;9,6;2;4,75;1,75;24,6
Centro;Marche;PS;F533;13,5;19;12,78;12,55;9,88;67,71
Centro;Lazio;RM;F534;1;1;1,5;1;0;4,5
Sud;Abruzzo;CH;F535;0;1;0;0;0;1
Centro;Marche;AP;F536;0;0;0;0;1;1
Sud;Calabria;VV;F537;14,53;62,58;46,43;66,15;48;237,69
Sud;Puglia;FG;F538;1;4;1;3;3,17;12,17
Centro;Umbria;PG;F540;2;3,78;3,28;3;2;14,06
Centro;Lazio;RI;F541;1;3;0;3;4;11
Isole;Sardegna;SS;F542;0;0;0;0;1;1
Centro;Umbria;TR;F543;3,5;3;5,4;2,25;9,25;23,4
Isole;Sicilia;PA;F544;2;3;7;6;3;21
Centro;Lazio;RM;F545;3;6;8;5;8,5;30,5
Sud;Campania;AV;F546;1,11;6,52;11,88;7,35;10,72;37,58
Nord Ovest;Lombardia;BG;F547;1;9;10;2;1,42;23,42
Sud;Molise;CB;F548;3;2;0,89;0;0;5,89
Centro;Marche;AP;F549;0;0;1;0;1;2
Nord Ovest;Piemonte;CN;F550;0;0;1;0;3;4
Centro;Toscana;FI;F551;8,43;47,67;52;38,79;32;178,89
Centro;Marche;MC;F552;0;3;3;2;9,99;17,99
Isole;Sicilia;PA;F553;1;1;4;1;3;10
Nord Ovest;Piemonte;AT;F556;1;3;2;1;6,25;13,25
Sud;Campania;BN;F557;0;0;0,5;0;1;1,5
Nord Ovest;Piemonte;CN;F558;1;0;1;0;0;2
Sud;Campania;AV;F559;4;1;5;0;5;15
Centro;Marche;AN;F560;14,32;46,83;34,83;16,62;15,43;128,03
Nord Ovest;Lombardia;LC;F561;0,5;1,5;4,5;3;3,5;13
Nord Ovest;Piemonte;AL;F562;0;0;2;1;1;4
Sud;Puglia;TA;F563;3;7;8;2;1,75;21,75
Nord Ovest;Lombardia;CO;F564;1;0;3,5;1;0,67;6,17
Centro;Toscana;AR;F565;1,5;3,5;1,5;4,5;2,33;13,33
Sud;Campania;AV;F566;0;3;11;4;10,26;28,26
Centro;Marche;MC;F567;2;14,33;11;10,42;5,33;43,08
Sud;Basilicata;PZ;F568;6;5,03;2,5;3;0;16,53
Sud;Molise;CB;F569;0;0;0;0;0;0
Centro;Marche;AP;F570;0;0;2;0;0;2
Centro;Toscana;PO;F572;0;40,5;46,5;39,43;48,3;174,73
Sud;Basilicata;PZ;F573;1;3,25;2;2;0;8,25
Nord Est;Friuli- Venezia Giulia;UD;F574;0;1;1;0;4,31;6,31
Sud;Molise;CB;F576;5;46;16;10;7;84
Sud;Abruzzo;CH;F578;0;0;1;1;1;3
Centro;Lazio;RI;F579;2,25;1,25;0;0;0;3,5
Sud;Molise;IS;F580;0;0;1,5;0;0;1,5
Centro;Marche;AN;F581;0;1;2;4;1;8
Sud;Abruzzo;CH;F582;0;3;3,17;2;0,17;8,34
Sud;Abruzzo;TE;F585;13;100,94;63,52;56,61;31,11;265,18
Sud;Calabria;CZ;F586;1;12;17;7,75;8;45,75
Sud;Puglia;TA;F587;0;1,6;4;6;2,5;14,1
Centro;Marche;PS;F589;0;3;3,5;1;2;9,5
Centro;Lazio;RM;F590;8;19,25;20;15,67;9,5;72,42
Centro;Marche;AP;F591;0;23;42,61;40;21,5;127,11
Centro;Toscana;SI;F592;9,83;28,84;29,22;20,67;19,33;107,89
Centro;Toscana;AR;F594;0;3;1;2;5;11
Sud;Abruzzo;AQ;F595;0,5;3,5;2;2,33;3;11,33
Nord Est;Friuli- Venezia Giulia;PN;F596;2;0;9;3;21;35
Nord Est;Emilia-Romagna;BO;F597;6;37,91;28,75;12,25;23;107,91
Centro;Toscana;SI;F598;8,5;22,03;24;10;20,73;85,26
Centro;Marche;AP;F599;1;0;0;0;1;2
Centro;Marche;AN;F600;0;0;4,25;5;11,25;20,5
Sud;Molise;IS;F601;0;1;1;1;0;3
Centro;Lazio;VT;F603;5;6,5;4;0;4;19,5
Sud;Puglia;LE;F604;3;11;14,67;19;19,17;66,84
Centro;Toscana;SI;F605;4,5;15;30;8,5;11;69
Centro;Lazio;VT;F606;0,33;14;6;4,5;17;41,83
Sud;Calabria;VV;F607;2;4,18;2;0,09;0;8,27
Nord Ovest;Piemonte;CN;F608;5;7,5;3;0;0;15,5
Nord Ovest;Liguria;SP;F609;3;10,67;6;1;1;21,67
Isole;Sicilia;RG;F610;1;5;2;1;2;11
Centro;Lazio;RM;F611;62,66;235,9;122,67;73,53;29,83;524,59
Centro;Toscana;GR;F612;0;6;3;1;2;12
Centro;Marche;AP;F614;0;0;1,5;2;6;9,5
Centro;Lazio;LT;F616;3;7,14;4;1;2,97;18,11
Sud;Campania;SA;F618;0;0;0;2;0;2
Centro;Lazio;RI;F619;0;0;1;0;0;1
Centro;Lazio;FR;F620;1,67;4;5;5;12,64;28,31
Centro;Marche;MC;F621;1,66;9;15,16;13,75;9;48,57
Centro;Marche;MC;F622;0;1;1;2;0;4
Sud;Puglia;LE;F623;1;2;2;0;2;7
Sud;Campania;SA;F625;3,67;3;3,5;5,17;3;18,34
Centro;Marche;AP;F626;0;0;1;0;1;2
Nord Est;Emilia-Romagna;BO;F627;8;37,89;29,39;21,85;44,26;141,39
Centro;Toscana;AR;F628;2;10;12;5;14,84;43,84
Centro;Umbria;PG;F629;0;2;0;0,33;3;5,33
Sud;Puglia;FG;F631;27,5;32,43;27,66;17,28;8;112,87
Centro;Marche;MC;F632;10,5;39,46;48;32;16,67;146,63
Centro;Marche;AN;F634;0;11;27;17,24;7,5;62,74
Sud;Campania;BN;F636;13,5;10;14,67;10,86;19,98;69,01
Sud;Basilicata;MT;F637;11,4;13,07;14,17;14,57;6;59,21
Nord Ovest;Lombardia;PV;F638;0;0;0;1;0;1
Nord Ovest;Piemonte;VB;F639;2;3;2;1;1;9
Centro;Toscana;PI;F640;1;14,5;8,9;4;3;31,4
Nord Est;Emilia-Romagna;MO;F642;5,17;11,9;11,67;2;8,67;39,41
Nord Ovest;Lombardia;PV;F644;1;0;2;1;1;5
Sud;Abruzzo;PE;F646;72;242,67;185,7;79,94;67;647,31
Centro;Toscana;FI;F648;4,39;26;46,33;26,5;32;135,22
Nord Ovest;Piemonte;TO;F651;0;0;0;0;6,5;6,5
Centro;Marche;AP;F653;1;1;8,42;9,36;8;27,78
Nord Ovest;Piemonte;CN;F654;0;2;2;1;7;12
Isole;Sicilia;AG;F655;0;2;2;3;10,5;17,5
Centro;Toscana;AR;F656;14;53,56;83,67;62,4;42,33;255,96
Nord Ovest;Lombardia;LC;F657;1;7,5;17,5;6,5;12,5;45
Sud;Campania;AV;F660;0,5;0;0;0,33;0;0,83
Centro;Toscana;PI;F661;0;8;4;3,1;4;19,1
Nord Est;Veneto;VI;F662;0;3;2;2;6;13
Centro;Marche;AP;F664;1;1;0;0;2;4
Centro;Marche;AP;F665;0,44;0;0;0;1,67;2,11
Nord Ovest;Piemonte;CN;F666;0;1;0;0;0;1
Isole;Sardegna;SS;F667;0;4;2;3;2;11
Nord Est;Emilia-Romagna;FO;F668;0;2;5,5;1;2,22;10,72
Nord Ovest;Piemonte;CN;F669;0;3;3,67;3;7;16,67
Nord Ovest;Lombardia;PV;F670;0;0;0;0;2;2
Nord Est;Emilia-Romagna;PC;F671;0;2;4,5;11,5;12,55;30,55
Nord Ovest;Lombardia;BS;F672;2,17;9;12;8;17,17;48,34
Nord Ovest;Lombardia;LC;F674;4,83;16;18,3;8;15,5;62,63
Nord Est;Veneto;VI;F675;7;18;34,45;24,5;21,47;105,42
Centro;Toscana;SI;F676;0;4;8,5;3,5;1,5;17,5
Centro;Toscana;GR;F677;4,5;9;5,5;0;4,5;23,5
Centro;Toscana;MS;F679;6,5;19,49;42;21,17;14,83;103,99
Nord Ovest;Lombardia;BS;F680;0;8,28;20,5;6,5;14,58;49,86
Nord Ovest;Lombardia;CR;F681;0;2,5;6,5;0;3;12
Nord Ovest;Liguria;GE;F682;2;13;7;0,5;4,33;26,83
Centro;Umbria;PG;F685;0;1;3,5;2;2,17;8,67
Centro;Toscana;PI;F686;3,5;15,67;27,67;21,33;33,2;101,37
Centro;Lazio;RI;F687;0,93;13,83;12,37;5,11;6;38,24
Nord Ovest;Lombardia;CO;F688;0;7,01;7;3;1,5;18,51
Sud;Molise;CB;F689;1,33;0,33;0;0;0;1,66
Sud;Abruzzo;TE;F690;1,67;8;9;12,5;5;36,17
Centro;Lazio;RM;F692;3;2;0;1;1;7
Nord Est;Veneto;VI;F696;2;9,11;10,5;2;2;25,61
Centro;Marche;AP;F697;0;1;1;0;2;4
Isole;Sardegna;NU;F698;0;1;3;1;0,89;5,89
Nord Ovest;Lombardia;PV;F701;0;0;1;3;10,33;14,33
Nord Ovest;Lombardia;VA;F703;2;4;7,5;2;5;20,5
Nord Ovest;Lombardia;MI;F704;194,01;704,82;580,1;281,87;184,95;1945,75
Nord Ovest;Lombardia;MN;F705;0;7;14;10;13,39;44,39
Nord Est;Emilia-Romagna;BO;F706;1;19,2;24;6,65;25,17;76,02
Nord Ovest;Piemonte;AL;F707;1;1;1;3;6;12
Sud;Calabria;CS;F708;4;5,5;3,5;4;2;19
Nord Ovest;Piemonte;AT;F709;0;0;2;1;4,5;7,5
Nord Ovest;Lombardia;VA;F711;0;6;6;7;6,85;25,85
Nord Ovest;Lombardia;SO;F712;7,5;36,5;26,44;15,19;7,5;93,13
Nord Ovest;Piemonte;AL;F713;2;3;2;1;0;8
Nord Est;Emilia-Romagna;RN;F715;5,17;17,67;25,5;10,33;8,66;67,33
Sud;Puglia;LE;F716;3;11;8,75;5;5,25;33
Sud;Campania;BN;F717;0;3;2,5;2,5;6,5;14,5
Nord Est;Emilia-Romagna;BO;F718;0;6,5;8,33;7,5;12;34,33
Nord Ovest;Lombardia;BG;F720;1;3;8;5;1,5;18,5
Isole;Sardegna;SS;F721;1,75;1;1;3,5;3,75;11
Centro;Marche;AP;F722;0;0;0;1;1;2
Nord Ovest;Piemonte;CN;F723;0;8;15,5;5,5;11;40
Nord Est;Emilia-Romagna;PC;F724;1;2,24;3;2;2,5;10,74
Nord Est;Veneto;TV;F725;2;12;15;11;7;47
Nord Ovest;Valle d'Aosta;AO;F726;14,17;26,25;4;2;1;47,42
Isole;Sardegna;OR;F727;0;0;0;0;1,8;1,8
Nord Est;Veneto;TV;F729;0;1;3;1;10,44;15,44
Centro;Lazio;RM;F730;0;8;2;0;1;11
Sud;Campania;SA;F731;0;1;0;0;0;1
Sud;Abruzzo;AQ;F732;0;4;2;0;0;6
Nord Ovest;Piemonte;TO;F733;0;1;2;1;6,2;10,2
Centro;Lazio;RM;F734;6,28;25,84;18,17;11,5;19,17;80,96
Sud;Calabria;CS;F735;0;2;2,75;3;2,5;10,25
Nord Ovest;Lombardia;VA;F736;2,5;5;12,5;6;9;35
Nord Ovest;Piemonte;AL;F737;0;0;1;0;0;1
Nord Ovest;Lombardia;BG;F738;4;9;12;6,89;14;45,89
Nord Ovest;Lombardia;PV;F739;0;2;0;2;7;11
Centro;Lazio;FR;F740;2;6;4;5,5;8;25,5
Nord Ovest;Piemonte;CN;F743;2,33;1;2;3;3;11,33
Sud;Campania;AV;F744;0,13;0,26;0;0;0,13;0,52
Centro;Marche;AN;F745;0;2;4,12;2,67;6;14,79
Centro;Lazio;RI;F746;0;0;0;0;0;0
Sud;Abruzzo;TE;F747;0;1;2,5;6,5;5,33;15,33
Sud;Molise;CB;F748;2,25;3,78;3;1,75;1,25;12,03
Centro;Marche;MC;F749;1;10;16;16,5;13,33;56,83
Nord Est;Friuli- Venezia Giulia;PN;F750;0;5;6;4;7,67;22,67
Nord Ovest;Piemonte;AL;F751;0;1;0;0;2,5;3,5
Nord Ovest;Lombardia;PV;F754;19;70,58;46;29;36,5;201,08
Nord Est;Friuli- Venezia Giulia;UD;F756;2;9;20,67;12,5;26,67;70,84
Nord Ovest;Lombardia;LC;F758;0;1;0;0;0;1
Nord Est;Friuli- Venezia Giulia;UD;F760;0;1;0;3;10,5;14,5
Nord Ovest;Lombardia;CR;F761;0;0;2;0;3;5
Sud;Campania;AV;F762;0;1;1;1,81;5,88;9,69
Sud;Abruzzo;TE;F764;1;7,83;44;15,5;15;83,33
Sud;Abruzzo;PE;F765;0;2;2;2;5;11
Nord Est;Veneto;TV;F770;12;20,17;29,5;20,75;28,4;110,82
Nord Ovest;Lombardia;CR;F771;0;0;0;2;6;8
Isole;Sicilia;ME;F772;0;2;1;1;2;6
Isole;Sicilia;ME;F773;0;4;1;1;0;6
Nord Ovest;Piemonte;VC;F774;0;0;0;1;0;1
Sud;Calabria;CS;F775;0;2;0;1;0;3
Nord Ovest;Piemonte;BI;F776;0;0;1;1;8;10
Sud;Puglia;FG;F777;1;3,5;3;0;0,56;8,06
Sud;Calabria;RC;F779;5,4;8,5;6;5;4,5;29,4
Sud;Calabria;CZ;F780;0;0;0;0;1;1
Isole;Sicilia;CT;F781;9;20,5;25,33;11;16;81,83
Nord Ovest;Lombardia;MI;F783;2;32,5;32;15,5;20,5;102,5
Sud;Puglia;TA;F784;23;29;25,78;11,49;12,07;101,34
Sud;Abruzzo;CH;F785;2;4;4;0;6;16
Nord Ovest;Lombardia;BG;F786;3;15,04;12;5,07;8,05;43,16
Nord Ovest;Lombardia;CO;F788;3;35,64;36,45;11;13,07;99,16
Nord Est;Veneto;VR;F789;2;32,5;36;29;31;130,5
Nord Ovest;Lombardia;BG;F791;1;23;25,5;22,5;17,5;89,5
Centro;Marche;MC;F793;0;0;0;0;1;1
Nord Ovest;Lombardia;MI;F797;15;129,77;122,22;33,67;27,5;328,16
Sud;Campania;AV;F798;1,5;5;8;10;8,63;33,13
