AREA;Regione;prov;2018_CodCom;NTN fino a 50 mq;NTN 50 -| 85 mq;NTN  85 -| 115 mq;NTN 115 -| 145 mq;NTN  oltre 145 mq;NTN 2018
Sud;Calabria;VV;F207;8,84;5,75;2;3;2,83;22,42
Isole;Sardegna;OR;F208;0;0;2;1;0,5;3,5
Isole;Sicilia;CT;F209;8;12,25;7,22;6;3;36,47
Isole;Sicilia;ME;F210;0;1;1;1;0;3
Nord Ovest;Liguria;SV;F213;1;7,33;4,15;2;9;23,48
Isole;Sicilia;CT;F214;3;3;3;1;3,67;13,67
Nord Ovest;Lombardia;BS;F216;0;1;3;2;5;11
Isole;Sicilia;CT;F217;4;6;16;3,67;9,5;39,17
Nord Est;Veneto;VR;F218;0;2;5;6;18,92;31,92
Nord Est;Emilia-Romagna;BO;F219;5;50,75;31,33;17,33;24,5;128,91
Sud;Puglia;BA;F220;19,28;26,92;16,33;20,08;6,83;89,44
Sud;Puglia;LE;F221;4;3,5;2,86;5;4;19,36
Sud;Campania;SA;F223;4;6,31;3,24;3;1,22;17,77
Centro;Lazio;LT;F224;33,6;75,47;49,84;18;25,4;202,31
Centro;Toscana;LU;F225;1;2,67;3;1;4,78;12,45
Nord Ovest;Liguria;SV;F226;0;1;1;0;3;5
Nord Est;Veneto;VE;F229;17,5;133,4;153,01;64,13;65,21;433,25
Sud;Campania;AV;F230;0;1;5,84;6,17;17,17;30,18
Isole;Sicilia;CT;F231;1,83;7;4,42;5;8;26,25
Nord Ovest;Piemonte;AL;F232;0;0;0;1;2,96;3,96
Sud;Molise;CB;F233;1;3;7;5;1;17
Nord Ovest;Lombardia;PV;F238;1;7;7;5,5;7,17;27,67
Sud;Molise;IS;F239;1;0;0;0;1;2
Nord Est;Emilia-Romagna;MO;F240;9,02;53,67;88,53;56,98;63,83;272,03
Nord Est;Veneto;VE;F241;7,5;72;94;50,86;59,63;283,99
Isole;Sicilia;ME;F242;0;1,05;1,05;0;0;2,1
Nord Ovest;Lombardia;BG;F243;1;9;5;8,78;3;26,78
Nord Est;Emilia-Romagna;RN;F244;34,57;100,49;61,1;16,52;16,4;229,08
Isole;Sicilia;PA;F246;16,5;35,21;39,5;26,46;25,08;142,75
Nord Ovest;Lombardia;MI;F247;1;25,5;21,33;7,5;17,5;72,83
Nord Ovest;Lombardia;LC;F248;4;37,9;28,5;16,33;21,17;107,9
Sud;Basilicata;PZ;F249;0;0;0;0;0;0
Isole;Sicilia;CT;F250;13;59,15;94,83;75,97;46,06;289,01
Isole;Sicilia;ME;F251;5,93;5,34;7;7,54;5,1;30,91
Nord Ovest;Piemonte;AT;F254;0;0;0;2;1;3
Nord Ovest;Liguria;GE;F256;2;6;2;1;4,46;15,46
Nord Est;Emilia-Romagna;MO;F257;166,23;639,05;779,88;403,95;297,56;2286,67
Isole;Sicilia;RG;F258;51,98;98,65;91,87;91,58;74,24;408,32
Nord Est;Emilia-Romagna;FO;F259;1;12;10,5;5,83;6;35,33
Nord Ovest;Lombardia;LO;F260;1;17,5;27;11;3;59,5
Isole;Sardegna;NU;F261;0;0;1;0;1;2
Sud;Puglia;BA;F262;9;65,78;111,88;42,55;27,75;256,96
Nord Ovest;Lombardia;LC;F265;2,59;21,86;1;0;1;26,45
Nord Est;Friuli- Venezia Giulia;UD;F266;0;1,5;2;0;1;4,5
Nord Ovest;Lombardia;MN;F267;0;2;13,5;10,5;14;40
Centro;Marche;MC;F268;0;1,5;4;1,17;11,5;18,17
Nord Est;Veneto;TV;F269;20;106,5;95,82;56,17;75,04;353,53
Isole;Sardegna;OR;F270;1,67;0;1;0;2,84;5,51
Isole;Sardegna;OR;F271;4;1;0;2;2;9
Isole;Sardegna;OR;F272;1,76;0;1;6,8;8,67;18,23
Sud;Campania;BN;F274;8;2;3;3;8;24
Nord Est;Friuli- Venezia Giulia;UD;F275;0;0;2;3;5;10
Nord Ovest;Lombardia;BG;F276;0,25;1;2;0;0,5;3,75
Isole;Sicilia;ME;F277;0;3;1;0;0;4
Sud;Campania;SA;F278;1,25;1;1;0;2;5,25
Nord Ovest;Piemonte;CN;F279;1;2;0;1;3;7
Sud;Puglia;BA;F280;25;65,06;73,46;45,78;27,03;236,33
Nord Ovest;Piemonte;AL;F281;3;5;3,5;4;8,5;24
Centro;Toscana;LU;F283;1;2;5;0;4;12
Sud;Puglia;BA;F284;72,73;183,7;164,74;102,36;31,28;554,81
Sud;Campania;BN;F287;3;0;2,5;5;0;10,5
Nord Est;Emilia-Romagna;BO;F288;3,7;49,17;52,83;22,5;33,5;161,7
Nord Ovest;Liguria;IM;F290;5;4;1;0;1;11
Nord Ovest;Piemonte;AL;F293;0;0;0;0;1;1
Sud;Molise;CB;F294;0;0;0;0;0;0
Sud;Basilicata;PZ;F295;0;3;3,5;2,22;3;11,72
Nord Ovest;Piemonte;VC;F297;2;4;1;0;0;7
Isole;Sicilia;AG;F299;11,4;23,5;39,86;59,5;9,7;143,96
Sud;Calabria;RC;F301;0;0;0,67;1;2;3,67
Nord Ovest;Lombardia;LC;F304;0;5;10;2;5;22
Nord Ovest;Lombardia;CO;F305;1,5;4;2;0,5;11;19
Nord Est;Veneto;VI;F306;0;4;5;3;4;16
Nord Ovest;Piemonte;AT;F308;0;0;0;2;1;3
Nord Ovest;Piemonte;CN;F309;0;0,66;0;2;2,33;4,99
Centro;Marche;PS;F310;1;3,5;2;1,5;4,5;12,5
Nord Ovest;Piemonte;AT;F311;1;2;2;2,5;12,12;19,62
Nord Ovest;Piemonte;CN;F312;2;1;0;1;2;6
Nord Ovest;Piemonte;AL;F313;0;0;0;2;6;8
Nord Ovest;Piemonte;TO;F315;0;0;0;0;2;2
Nord Ovest;Piemonte;AT;F316;0;3;4,67;4;14;25,67
Nord Ovest;Piemonte;NO;F317;0;2,5;2;3;9,17;16,67
Nord Ovest;Piemonte;TO;F318;1;1;1;0;4;7
Centro;Lazio;RI;F319;0;0;0;0,33;2;2,33
Nord Ovest;Piemonte;AL;F320;0;0;0;0;0;0
Sud;Molise;CB;F322;0,5;1,85;1;0;0;3,35
Nord Ovest;Piemonte;AT;F323;1;1;0;0;1;3
Sud;Calabria;RC;F324;3;7;1;1;3;15
Nord Ovest;Piemonte;AT;F325;0;1;0,5;0;3;4,5
Nord Ovest;Piemonte;CN;F326;0;0;0;0;5;5
Nord Ovest;Piemonte;TO;F327;1;0;0;1;0;2
Nord Ovest;Lombardia;BG;F328;1;8,83;3,4;0;1;14,23
Nord Ovest;Piemonte;CN;F329;0;1;0;1;0;2
Nord Ovest;Piemonte;CN;F330;0;2;1;5;4;12
Nord Est;Veneto;TV;F332;0;12,5;16;7,43;9;44,93
Isole;Sardegna;CA;F333;0;2,5;1;1;3,3;7,8
Nord Ovest;Piemonte;TO;F335;38,5;275,83;230,82;65,55;117,96;728,66
Nord Ovest;Piemonte;AT;F336;0;8;10;3;14;35
Nord Ovest;Piemonte;AL;F337;0;2;0;0;2;4
Nord Ovest;Piemonte;CN;F338;0;1;0;1;4;6
Nord Est;Emilia-Romagna;PR;F340;4;3;2;2;4,77;15,77
Nord Ovest;Piemonte;VC;F342;1;1;1;3;13;19
Nord Ovest;Piemonte;AT;F343;0;2;1;3,33;8,83;15,16
Nord Est;Emilia-Romagna;RN;F346;3;2;3,17;3,33;2,34;13,84
Centro;Marche;PS;F347;0;1,33;2,33;3;5;11,66
Centro;Marche;PS;F348;14;50,36;37,45;20,5;11,17;133,48
Nord Ovest;Piemonte;CN;F351;14;64,19;71,17;40;51,55;240,91
Sud;Campania;CE;F352;21,67;54,25;55,67;26,75;36;194,34
Nord Ovest;Liguria;GE;F354;18;24,5;11,5;4,2;4;62,2
Nord Ovest;Piemonte;CN;F355;0;5;2;3,41;3;13,41
Nord Est;Emilia-Romagna;MO;F357;10,28;26,9;27;16,5;26,2;106,88
Nord Ovest;Piemonte;CN;F358;0;4;6;2;7;19
Isole;Sicilia;ME;F359;0;3;6;5,16;1;15,16
Nord Est;Veneto;TV;F360;0;9;12;4;7;32
Nord Ovest;Piemonte;AT;F361;0;0;1;1;3;5
Nord Est;Emilia-Romagna;BO;F363;0;15,86;11;10;10,5;47,36
Sud;Calabria;VV;F364;1;4;0;0;0;5
Nord Ovest;Piemonte;AL;F365;0;1;2;0;1;4
Nord Ovest;Valle d'Aosta;AO;F367;2;3;3,5;1;1;10,5
Isole;Sicilia;ME;F368;1;1,33;1,67;0;0;4
Nord Ovest;Piemonte;BI;F369;3;9;8,5;5,67;8,33;34,5
Sud;Calabria;CS;F370;0;0;2;3,67;1;6,67
Nord Ovest;Lombardia;CO;F372;0;6;5;4;5,5;20,5
Nord Ovest;Lombardia;BS;F373;4;28;14;7;12;65
Nord Ovest;Piemonte;AL;F374;0;0;0;0;7;7
Nord Ovest;Lombardia;BS;F375;3;2;1;2;1;9
Sud;Puglia;BA;F376;29,5;192,06;206,49;108,67;70,83;607,55
Isole;Sicilia;PA;F377;47,5;63,6;68,17;49,78;35,28;264,33
Centro;Marche;AP;F379;0;0;0;0;2;2
Centro;Marche;AP;F380;1;3;8,5;7,89;1,5;21,89
Centro;Marche;AN;F381;0;2,67;4,5;12;4,33;23,5
Nord Est;Veneto;PD;F382;2;44,5;41,33;21,5;47,64;156,97
Isole;Sardegna;CA;F383;2;25;29,68;16,42;21,35;94,45
Centro;Toscana;PT;F384;5;44,5;35,64;27,75;25,67;138,56
Nord Ovest;Piemonte;CN;F385;0;8;5,67;9;9;31,67
Nord Ovest;Piemonte;AT;F386;0;1;0;1;4;6
Nord Ovest;Piemonte;AL;F387;1;1;0,67;0;0,67;3,34
Nord Ovest;Piemonte;AT;F390;0;2;2;1;8;13
Sud;Molise;CB;F391;0;4;1;1;2;8
Nord Ovest;Lombardia;SO;F393;3,94;10;2,5;2;2,83;21,27
Nord Est;Veneto;PD;F394;3;13,25;15,08;17,25;23,53;72,11
Isole;Sicilia;ME;F395;0;0;2;2;1;5
Sud;Campania;AV;F397;0;0;1;0;0;1
Centro;Toscana;FI;F398;5;22,13;13;7,5;6;53,63
Sud;Basilicata;MT;F399;2;12,39;4;5;3;26,39
Isole;Sicilia;ME;F400;1;1;3,5;4,05;6,5;16,05
Centro;Marche;AN;F401;2;7,5;11,95;7;5;33,45
Nord Ovest;Piemonte;AL;F403;0;0;0;0;2,5;2,5
Nord Ovest;Piemonte;AL;F404;0;0;0;1;3;4
Nord Ovest;Piemonte;CN;F405;12;10,5;0;2;4;28,5
Nord Ovest;Piemonte;TO;F407;0;2;0;1;2;5
Nord Ovest;Piemonte;CN;F408;0;1;0;0;4;5
Nord Ovest;Piemonte;AT;F409;0;0;1;1;1,5;3,5
Centro;Toscana;PT;F410;0;20,17;22,67;19,5;22,1;84,44
Nord Ovest;Piemonte;TO;F411;0;1;1;1;5;8
Isole;Sicilia;AG;F414;4;3;2;2,33;0;11,33
Centro;Marche;AP;F415;0;2;1,36;2,83;2,38;8,57
Sud;Calabria;CS;F416;5,89;38;72;37,67;35,5;189,06
Nord Ovest;Lombardia;PV;F417;0;0;1;4;8;13
Centro;Lazio;VT;F419;31,59;79,81;33,17;20,5;11;176,07
Nord Ovest;Piemonte;TO;F420;0;5;6;6;9,85;26,85
Nord Ovest;Piemonte;TO;F422;2;10,67;7,5;7,67;17,5;45,34
Nord Ovest;Lombardia;LO;F423;0;3;15,1;8;6,1;32,2
Nord Ovest;Piemonte;CN;F424;0;0;0;0;2;2
Sud;Campania;SA;F426;2;0;1,92;0;1,25;5,17
Nord Ovest;Lombardia;CO;F427;3;13;28;8,5;4,25;56,75
Centro;Marche;AP;F428;0;3,5;0;2;3;8,5
Sud;Molise;IS;F429;4;3;1;0;4;12
Centro;Lazio;RI;F430;0;0,5;0;1;0;1,5
Sud;Calabria;CZ;F432;3;28,5;11,8;1;5,33;49,63
Sud;Abruzzo ;CH;F433;0;1;1;0;1;3
Nord Ovest;Lombardia;CR;F434;0;4;6,5;6;4,5;21
Centro;Toscana;GR;F437;32,38;85,08;51,91;10,33;12,63;192,33
Nord Ovest;Lombardia;PV;F440;0;0;4;2;5;11
Sud;Abruzzo ;PE;F441;0,5;0;0;0;2;2,5
Nord Est;Veneto;VI;F442;1;10;17;18;18,03;64,03
Nord Est;Veneto;TV;F443;21;70;62,01;43,92;86,57;283,5
Nord Ovest;Liguria;GE;F445;1;1;0;1,6;1;4,6
Centro;Lazio;RI;F446;0;0;2,33;1,33;4,5;8,16
Sud;Campania;AV;F448;0;2,5;7,89;3;5;18,39
Nord Ovest;Lombardia;PV;F449;1;1;0,5;1;3;6,5
Centro;Marche;PS;F450;0;5,33;1;4,2;3,67;14,2
Centro;Toscana;LU;F452;0;9,5;6;5,17;13,33;34
Centro;Marche;AN;F453;0;1;6,83;3,5;2,46;13,79
Centro;Marche;MC;F454;0;2,67;8;10,51;10,59;31,77
Nord Ovest;Piemonte;AL;F455;0;0;1;2;0;3
Centro;Umbria;PG;F456;0;2;2;0;5,83;9,83
Centro;Umbria;TR;F457;1;4,22;2;8,5;12,19;27,91
Centro;Toscana;PI;F458;2;0;2,5;3,17;5;12,67
Centro;Marche;MC;F460;0;0;0;0;0;0
Nord Est;Veneto;VR;F461;0;8,5;8;8,17;8,5;33,17
Centro;Umbria;TR;F462;1;2;0,5;1;0;4,5
Nord Est;Emilia-Romagna;RE;F463;0;21,5;31,42;12,67;20,67;86,26
Nord Est;Veneto;VI;F464;18;73,58;80,41;51,1;50,33;273,42
Nord Est;Veneto;VI;F465;2;4,67;9;5,17;17,48;38,32
Centro;Marche;PS;F467;0;0;0,33;1;2;3,33
Nord Ovest;Piemonte;AT;F468;1;1;1;0;7,5;10,5
Nord Ovest;Piemonte;AL;F469;0;5;1;0;0;6
Nord Ovest;Lombardia;BS;F471;7;93,66;70,5;56,92;75,55;303,63
Nord Est;Emilia-Romagna;PR;F473;5;33,38;33;16;27;114,38
Centro;Marche;PS;F474;1;7,33;3;3;4;18,33
Sud;Molise;CB;F475;2;0;4,5;4;4;14,5
Centro;Lazio;RM;F477;13;48,75;33,75;12;8;115,5
Centro;Marche;PS;F478;1;2;4,33;1;5;13,33
Sud;Campania;SA;F479;3;19,66;3;2;5;32,66
Sud;Campania;SA;F480;2;17,5;32,61;23,17;11;86,28
Sud;Campania;SA;F481;3;11;23;22,25;11;70,25
Centro;Marche;MC;F482;2,8;13,66;23,67;12,83;7,79;60,75
Nord Ovest;Piemonte;VB;F483;0;0,5;0;1;3,27;4,77
Nord Est;Emilia-Romagna;MO;F484;1;11,17;4;0;2,7;18,87
Nord Est;Veneto;VI;F486;0;4;4;4;7,45;19,45
Centro;Marche;AP;F487;0;0;0;0;2;2
Sud;Campania;NA;F488;4;10,5;10;10;8;42,5
Isole;Sicilia;CL;F489;4;3,5;3;6;2;18,5
Sud;Campania;AV;F491;0;1;4,5;3,33;4,97;13,8
Centro;Umbria;PG;F492;2;7;7;7,5;11;34,5
Centro;Marche;AP;F493;0;0;1;0;1,94;2,94
Sud;Campania;BN;F494;1;3,39;1;1,83;1;8,22
Sud;Molise;CB;F495;1;3;4;0;0;8
Centro;Marche;MC;F496;0;2;2;3;2,25;9,25
Centro;Marche;PS;F497;1;4;1;0;5;11
Sud;Abruzzo ;CH;F498;0;0;0;0;0;0
Centro;Lazio;VT;F499;11;27;31,5;24,17;34,17;127,84
Sud;Abruzzo ;TE;F500;0;2;2;0;0;4
Centro;Marche;AP;F501;0;1,33;1;1;3,5;6,83
Nord Est;Emilia-Romagna;RN;F502;0;2;4;2;1;9
Nord Est;Emilia-Romagna;MO;F503;0,5;5;3,5;2,43;5,83;17,26
Centro;Lazio;RM;F504;4;1;0;2;0;7
Sud;Campania;AV;F506;2;22,9;18,5;19,33;26,92;89,65
Sud;Campania;SA;F507;0;0;0;0;0;0
Nord Est;Veneto;VR;F508;3,75;18,5;23;14,33;37,26;96,84
Centro;Marche;AP;F509;0;0,75;2,58;1,36;1,83;6,52
Centro;Umbria;TR;F510;2;4;3;6,5;4;19,5
Sud;Campania;AV;F511;1;1;0;1;5;8
Sud;Campania;AV;F512;0;1;1,04;3;0,5;5,54
Centro;Umbria;TR;F513;0;2,5;3;1;4;10,5
Nord Est;Veneto;VI;F514;0;1;3;4;7,49;15,49
Nord Est;Veneto;VI;F515;0;5;5,5;3,67;3,67;17,84
Centro;Marche;AP;F516;1,13;1;1,13;0,77;0;4,03
Centro;Marche;AP;F517;0;0;1;0,33;2;3,33
Nord Ovest;Piemonte;AL;F518;0;0;0;0;0;0
Sud;Calabria;CS;F519;10;3,5;4;0,5;1;19
Centro;Marche;AP;F520;1;0;4;5,5;5,25;15,75
Centro;Marche;AP;F522;2;5;9;8,95;14,6;39,55
Nord Est;Emilia-Romagna;RN;F523;0;1;1;0;0;2
Centro;Marche;PS;F524;0;2;1;0;1,5;4,5
Nord Ovest;Lombardia;VA;F526;0;2;3,17;2,17;6,04;13,38
Nord Ovest;Piemonte;AT;F527;1;4;7,5;0;11,4;23,9
Nord Ovest;Liguria;IM;F528;0;0;0;0;0;0
Nord Est;Veneto;PD;F529;5,5;27,5;33,02;34;43,92;143,94
Sud;Puglia;TA;F531;1;7;9,98;9;3;29,98
Nord Ovest;Lombardia;BS;F532;4,5;13;3,35;3;5;28,85
Centro;Marche;PS;F533;1;10;15,5;8,33;4;38,83
Centro;Lazio;RM;F534;0;6;5,5;1;1,8;14,3
Sud;Abruzzo ;CH;F535;0;1,88;0;0;0;1,88
Centro;Marche;AP;F536;0;0;0;0;0;0
Sud;Calabria;VV;F537;8,83;46,49;44,54;53,5;49,33;202,69
Sud;Puglia;FG;F538;3,57;3;0;1;4;11,57
Centro;Umbria;PG;F540;1,16;0,33;0;1;0,67;3,16
Centro;Lazio;RI;F541;1,75;3;0,5;0;4;9,25
Isole;Sardegna;SS;F542;0;0;0;0;0;0
Centro;Umbria;TR;F543;1;2;3,67;0;8;14,67
Isole;Sicilia;PA;F544;5;1;8;5;4;23
Centro;Lazio;RM;F545;2,5;11,33;5;4;3,83;26,66
Sud;Campania;AV;F546;0,01;8,43;5,82;9,5;9,5;33,26
Nord Ovest;Lombardia;BG;F547;2;4,11;13;4,5;1;24,61
Sud;Molise;CB;F548;2,5;1;0;1;0,67;5,17
Centro;Marche;AP;F549;1;0;0;0;4,67;5,67
Nord Ovest;Piemonte;CN;F550;0;0;0;2;7;9
Centro;Toscana;FI;F551;12;44,75;47,42;28,75;20,66;153,58
Centro;Marche;MC;F552;0;3;3;4;7;17
Isole;Sicilia;PA;F553;2;2;1,73;3;3;11,73
Nord Ovest;Piemonte;AT;F556;1;2;3;3;6;15
Sud;Campania;BN;F557;3;3;2;1;1,67;10,67
Nord Ovest;Piemonte;CN;F558;0;0;1;1;1;3
Sud;Campania;AV;F559;2;1;3;3;3;12
Centro;Marche;AN;F560;5;37,5;21,5;11,23;16,25;91,48
Nord Ovest;Lombardia;LC;F561;0;1;1;2;3,25;7,25
Nord Ovest;Piemonte;AL;F562;1;3;2;1;1;8
Sud;Puglia;TA;F563;4;2,67;5,75;3;1,75;17,17
Nord Ovest;Lombardia;CO;F564;0;0;0;1,33;0;1,33
Centro;Toscana;AR;F565;1,67;3;0;1;2;7,67
Sud;Campania;AV;F566;0;2;3;6;6;17
Centro;Marche;MC;F567;0;7;17;6;14,31;44,31
Sud;Basilicata;PZ;F568;7;6,67;2,67;1,86;1;19,2
Sud;Molise;CB;F569;1;2;0;0;1;4
Centro;Marche;AP;F570;2;3;0;0,25;0;5,25
Centro;Toscana;PO;F572;4;31,67;42,42;36,91;30,63;145,63
Sud;Basilicata;PZ;F573;1,66;2;0;0;1;4,66
Nord Est;Friuli- Venezia Giulia;UD;F574;1;0;1;0;2;4
Sud;Molise;CB;F576;3;26,5;7;7,56;9,86;53,92
Sud;Abruzzo ;CH;F578;0;2;0;0;0;2
Centro;Lazio;RI;F579;1,5;0,5;0;1;1;4
Sud;Molise;IS;F580;0;1;0;1;0;2
Centro;Marche;AN;F581;0;1,2;1;4;1;7,2
Sud;Abruzzo ;CH;F582;2;2;2;0;2;8
Sud;Abruzzo ;TE;F585;12,67;95,06;50,5;51;39,72;248,95
Sud;Calabria;CZ;F586;2;19;29;12,3;12,5;74,8
Sud;Puglia;TA;F587;1,34;4;2;3;3;13,34
Centro;Marche;PS;F589;0;2;1;2;6;11
Centro;Lazio;RM;F590;1;18;17,39;23,22;10,65;70,26
Centro;Marche;AP;F591;4;25,49;47,5;24;19,67;120,66
Centro;Toscana;SI;F592;7;26,3;32,25;25;38,6;129,15
Centro;Toscana;AR;F594;0;4;5;1;1,83;11,83
Sud;Abruzzo ;AQ;F595;0;1,17;2;3,33;2,66;9,16
Nord Est;Friuli- Venezia Giulia;PN;F596;2;1;3,67;7;12,25;25,92
Nord Est;Emilia-Romagna;BO;F597;8;28;15;13,5;26,8;91,3
Centro;Toscana;SI;F598;5;20,5;37,95;11;18,5;92,95
Centro;Marche;AP;F599;0;0;0;0;0;0
Centro;Marche;AN;F600;0;1;8,5;4;5;18,5
Sud;Molise;IS;F601;1;0;1;1;1;4
Centro;Lazio;VT;F603;1,5;3,83;4;1;3;13,33
Sud;Puglia;LE;F604;1,5;12,11;18,71;22,67;14,89;69,88
Centro;Toscana;SI;F605;5,5;22,34;29,67;20,92;17,17;95,6
Centro;Lazio;VT;F606;9;8,83;3,33;5,5;9,33;35,99
Sud;Calabria;VV;F607;0;1;2,17;0;1;4,17
Nord Ovest;Piemonte;CN;F608;2;9,3;2;2;0;15,3
Nord Ovest;Liguria;SP;F609;8;8;7;0;1;24
Isole;Sicilia;RG;F610;1,96;5;5;4;4,79;20,75
Centro;Lazio;RM;F611;48,05;225,73;146,91;47,95;29,84;498,48
Centro;Toscana;GR;F612;3;7;8,5;2,5;2,67;23,67
Centro;Marche;AP;F614;0;0,5;5;0,83;5,34;11,67
Centro;Lazio;LT;F616;3;6;6;6;15;36
Sud;Campania;SA;F618;1;1;2;1;2;7
Centro;Lazio;RI;F619;0;0,33;3,5;0;1;4,83
Centro;Lazio;FR;F620;5,93;3;4,5;6,17;19,33;38,93
Centro;Marche;MC;F621;0;3;12;8;8,12;31,12
Centro;Marche;MC;F622;0;1;3;1;0,33;5,33
Sud;Puglia;LE;F623;1;0;0,67;0;1,67;3,34
Sud;Campania;SA;F625;0;1;3,11;1;7,17;12,28
Centro;Marche;AP;F626;0;0;1;0;0,33;1,33
Nord Est;Emilia-Romagna;BO;F627;4;34,5;32,83;13,38;24,34;109,05
Centro;Toscana;AR;F628;1;12,25;17,5;20;24,42;75,17
Centro;Umbria;PG;F629;0;0;3;0;6,57;9,57
Sud;Puglia;FG;F631;15,43;28,57;25,31;15,17;4;88,48
Centro;Marche;MC;F632;7;45,33;34,39;15,2;28;129,92
Centro;Marche;AN;F634;0;12,67;30,5;16,67;10,06;69,9
Sud;Campania;BN;F636;11;8;19;19;24,17;81,17
Sud;Basilicata;MT;F637;7;23,94;11;9,5;7,25;58,69
Nord Ovest;Lombardia;PV;F638;0;0;0;0;1;1
Nord Ovest;Piemonte;VB;F639;1;2,5;3;0;0;6,5
Centro;Toscana;PI;F640;7;23;9,5;2,5;10;52
Nord Est;Emilia-Romagna;MO;F642;6,82;9;9,76;9,5;7,4;42,48
Nord Ovest;Lombardia;PV;F644;0;0;0;1;1,33;2,33
Sud;Abruzzo ;PE;F646;64,45;249,5;147,01;74,7;79,5;615,16
Centro;Toscana;FI;F648;5,67;34,5;39,16;20;22,11;121,44
Nord Ovest;Piemonte;TO;F651;1;0,66;0;1,5;5,33;8,49
Centro;Marche;AP;F653;0;4,33;5,11;8;3,16;20,6
Nord Ovest;Piemonte;CN;F654;0;1;1;1;9;12
Isole;Sicilia;AG;F655;0;4,5;0;4,5;5;14
Centro;Toscana;AR;F656;19;46,02;74,83;52,06;38;229,91
Nord Ovest;Lombardia;LC;F657;2;8;13;4;12,67;39,67
Sud;Campania;AV;F660;1;3;1;0;0;5
Centro;Toscana;PI;F661;2;8;8;2;0;20
Nord Est;Veneto;VI;F662;0,5;9;9;6;14,83;39,33
Centro;Marche;AP;F664;0;0;0;2;0,33;2,33
Centro;Marche;AP;F665;0;1;0;0;1;2
Nord Ovest;Piemonte;CN;F666;0;2;2;0;3;7
Isole;Sardegna;SS;F667;1;3;5,34;2;5;16,34
Nord Est;Emilia-Romagna;FO;F668;0;2;6;2;3,25;13,25
Nord Ovest;Piemonte;CN;F669;1;2;2;4;11;20
Nord Ovest;Lombardia;PV;F670;0;0;0;0;4,5;4,5
Nord Est;Emilia-Romagna;PC;F671;0;4;6,5;9;16,58;36,08
Nord Ovest;Lombardia;BS;F672;1;15,5;16,17;6;14,7;53,37
Nord Ovest;Lombardia;LC;F674;1;8;12;6;7,05;34,05
Nord Est;Veneto;VI;F675;4;23;32,51;15,67;29,93;105,11
Centro;Toscana;SI;F676;3;2;1;4;6,17;16,17
Centro;Toscana;GR;F677;1;2,5;6;4;1;14,5
Centro;Toscana;MS;F679;2,33;37,5;44,34;14,67;18,5;117,34
Nord Ovest;Lombardia;BS;F680;1;6,1;14,3;17;10,5;48,9
Nord Ovest;Lombardia;CR;F681;1;6,33;4,5;4,33;6,83;22,99
Nord Ovest;Liguria;GE;F682;0;5;5,5;6,5;5;22
Centro;Umbria;PG;F685;0,8;1;0;1;8;10,8
Centro;Toscana;PI;F686;2;21;28,25;22,99;16,83;91,07
Centro;Lazio;RI;F687;2;12;7,39;6,89;2;30,28
Nord Ovest;Lombardia;CO;F688;0;4,01;2;6;4,95;16,96
Sud;Molise;CB;F689;0;1;0;1;0;2
Sud;Abruzzo ;TE;F690;2;2;5;3,3;9;21,3
Centro;Lazio;RM;F692;2;4;1;0;1;8
Nord Est;Veneto;VI;F696;0;5;3;1;5,88;14,88
Centro;Marche;AP;F697;0;0;0;2;0;2
Isole;Sardegna;NU;F698;0;1;0;0;3;4
Nord Ovest;Lombardia;PV;F701;0;5;5;3,5;12,5;26
Nord Ovest;Lombardia;VA;F703;1;4,5;3;4;6;18,5
Nord Ovest;Lombardia;MI;F704;162,81;604,26;549,27;236,85;168,24;1721,43
Nord Ovest;Lombardia;MN;F705;0;12;7,33;11,39;17,08;47,8
Nord Est;Emilia-Romagna;BO;F706;4;28,67;21;13;13;79,67
Nord Ovest;Piemonte;AL;F707;2;1,5;0;1;8,75;13,25
Sud;Calabria;CS;F708;2;3;1;2;4;12
Nord Ovest;Piemonte;AT;F709;0;0;0;1;0,5;1,5
Nord Ovest;Lombardia;VA;F711;2;14;10,5;5,92;12;44,42
Nord Ovest;Lombardia;SO;F712;14,33;28,42;37;19;8,4;107,15
Nord Ovest;Piemonte;AL;F713;0;3;1,78;1;4;9,78
Nord Est;Emilia-Romagna;RN;F715;3;17,5;18;14;7,67;60,17
Sud;Puglia;LE;F716;2,25;19;3;1;2,75;28
Sud;Campania;BN;F717;0;2,17;4;1;6,34;13,51
Nord Est;Emilia-Romagna;BO;F718;2;9;13,97;8,94;8,83;42,74
Nord Ovest;Lombardia;BG;F720;2;7,5;6,5;4;3,5;23,5
Isole;Sardegna;SS;F721;0;0;2;1;1,89;4,89
Centro;Marche;AP;F722;0;0;1;1;1,67;3,67
Nord Ovest;Piemonte;CN;F723;2,75;8,5;5;7,25;16;39,5
Nord Est;Emilia-Romagna;PC;F724;4,27;3;2,67;3,17;4,97;18,08
Nord Est;Veneto;TV;F725;0;8;9,33;11;8,8;37,13
Nord Ovest;Valle d'Aosta;AO;F726;11;19,5;3,25;2;1;36,75
Isole;Sardegna;OR;F727;0;1;0,92;0;4;5,92
Nord Est;Veneto;TV;F729;0;1;4;3;6;14
Centro;Lazio;RM;F730;1;2;2;0;2;7
Sud;Campania;SA;F731;1;0;0;2;0;3
Sud;Abruzzo ;AQ;F732;0;5;1,67;0;1;7,67
Nord Ovest;Piemonte;TO;F733;0;0;0;1;3;4
