AREA;Regione;prov;2018_CodCom;NTN_2018_Uffici;NTN_2018_Negozi_Lab;NTN_2018_Depositi_Comm_Autorimesse;NTN_2018_TCO_B04;NTN_2018_TCO_D02;NTN_2018_TCO_D05;NTN_2018_TCO_D08;NTN_2018_PRO;NTN_2018_AGR
Sud;Campania;NA;B924;0;1;2;0;0;0;0;0;0
Sud;Campania;NA;B925;0;5,17;5,57;0;0;0;3;0;0
Nord Ovest;Liguria;SV;B927;0;0;3;0;0;0;0;0;0
Nord Ovest;Piemonte;VC;B928;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;B929;0;0;0;0;0;0;1;1;0
Centro;Lazio;RM;B932;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;BI;B933;0;0;3,67;0;0;0;0;0;0
Centro;Lazio;RI;B934;0;0;1;0;0;0;0;0;0
Sud;Campania;CE;B935;0;1;7,39;0;0;0;0;3;0
Sud;Puglia;LE;B936;1;10;15,5;0;1;0;0;8;0
Nord Ovest;Lombardia;LC;B937;1;0;2,5;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;B938;0;0;0,75;0;0;0;0;2;0
Nord Ovest;Liguria;GE;B939;0;2;3;0;0;0;0;0;1
Nord Est;Friuli- Venezia Giulia;PN;B940;0;1;2,42;0;0;0;0;0;1
Nord Ovest;Piemonte;AL;B941;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;LC;B943;0;3;8,02;0;0;0;1;0,1;0
Nord Ovest;Lombardia;PV;B945;0;0;0;0;0;0;0;0;0
Sud;Campania;NA;B946;3;14,38;7,14;0;0;0;0;5;0
Nord Ovest;Lombardia;BG;B947;0;1;2;0;0;0;1;1,04;0
Centro;Umbria;PG;B948;0;1;7;0;0;0;0;0;2
Nord Ovest;Lombardia;VA;B949;0;2;5;0;0;0;0;0;0
Centro;Toscana;PI;B950;8;37,34;36,98;0;0;0;4;11,02;0
Nord Ovest;Piemonte;VC;B952;0;0;2;0;0;0;0;0;1,5
Nord Ovest;Piemonte;TO;B953;0;1;1;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;B954;0;0;1;0;0;0;1;1;0,5
Nord Ovest;Piemonte;TO;B955;0;1;2,9;0;0;0;0;2;0
Nord Ovest;Liguria;GE;B956;0;0;8;0;0;0;0;2;0
Nord Ovest;Lombardia;LO;B958;0;1;0,5;0;0;0;0;0;0
Sud;Campania;SA;B959;0;0;1;0;0;0;0;1;0
Nord Ovest;Piemonte;TO;B960;1;3;15,91;0;0;0;1;3;1
Nord Ovest;Lombardia;LO;B961;0;0;5;0;0;0;0;0;0
Centro;Toscana;FI;B962;12;51,1;24,98;1;1;0;1;15;0
Sud;Campania;CE;B963;11;34,94;48,23;0;0;1;0,5;12,3;0
Nord Est;Veneto;TV;B965;1;7,5;12;0;0;0;1;1;0
Sud;Calabria;RC;B966;0;0;0;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RE;B967;0;1;10,42;0;0;0;0;0;1
Sud;Calabria;KR;B968;0;0;2;0;0;0;0;0;0
Nord Est;Emilia-Romagna;BO;B969;0;0;3,5;0;0;0;0;1;0
Nord Ovest;Lombardia;BG;B971;0;1;2;0;0;0;0;5;0
Nord Ovest;Lombardia;CO;B974;0;0;1;0;0;0;0;5,15;0
Nord Ovest;Lombardia;CO;B977;0;1;6,7;0;0;0;0;3,03;0
Nord Ovest;Lombardia;BG;B978;0;0;2,5;0;0;0;1;3;2
Centro;Toscana;MS;B979;0;0;1;0;0;0;0;0;0
Sud;Campania;NA;B980;0;5;3;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RA;B982;0;1;9;0;0;0;0;1;0
Centro;Toscana;SI;B984;0;2;8,26;0;1,36;0;0;4;0
Sud;Abruzzo;CH;B985;2;3;6;0;0;0;0,5;0;0
Nord Ovest;Lombardia;VA;B987;0;3;2;0;0;0;0;8;0
Nord Ovest;Lombardia;PV;B988;1;3;2;0;0;0;2;2;0
Nord Ovest;Lombardia;MI;B989;1;1;0;0;0;0;0;2;0
Sud;Campania;NA;B990;12,75;39;40,8;0;1;1;1;4;0
Nord Ovest;Piemonte;AT;B991;0;0;1,17;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;B993;0;0;0;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;UD;B994;0;0;0;0;0;0;0;1;1
Nord Ovest;Lombardia;LC;B996;1;0;4;0;0;0;1;3;0
Sud;Campania;AV;B997;0;0;3,67;0;0;0;0;0;0
Sud;Puglia;BA;B998;2;3,67;25,12;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;B999;0;0;0;0;0;0;0;2;0
Sud;Calabria;CS;C002;1;3;19,39;0;1;0;0;2;1
Nord Ovest;Lombardia;MI;C003;0;14;14,11;0;0;0;0;5,11;1
Nord Ovest;Lombardia;VA;C004;0;8;7,5;0;0;0;2;6,53;3
Isole;Sicilia;SR;C006;0;0;2,5;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;C007;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;C013;4;6,5;11,83;0;0;0;5;9;0
Nord Ovest;Lombardia;MI;C014;1;7,5;8,5;0;0;0;1;3;0
Nord Ovest;Lombardia;CO;C020;2;2;0;0;0;0;0;1,44;0
Nord Ovest;Piemonte;AT;C022;0;1;1,08;0;0;0;0;0;0,04
Nord Ovest;Lombardia;LC;C024;0;1;0,25;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;C027;0;0;3,67;0;0;0;0;2;0
Nord Ovest;Piemonte;AL;C030;0;0;1;0;0;0;0;0;1
Nord Ovest;Lombardia;MI;C033;0;1;0;0;0;0;0;1;0
Centro;Lazio;FR;C034;7;26;13;0;0;0;0,5;3;1
Nord Est;Veneto;VI;C037;3;5;15,5;0;0;0;1;10;0
Nord Ovest;Lombardia;PV;C038;1;0,5;3,17;0;0;0;1;3;0
Sud;Abruzzo;TE;C040;0;0;0;0;0;0;0;0;0
Nord Est;Veneto;VR;C041;0;3,67;5,11;0;0;0;1;1;0
Centro;Toscana;LI;C044;3;7;22,67;0;0;0;3;2;6
Nord Ovest;Piemonte;TO;C045;0;0;3;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;C046;0;2;5;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;C047;0;0;6;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;C048;0;0;6;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;C049;1;2;6,5;0;0;0;0;0;1
Nord Ovest;Lombardia;PV;C050;0;0,5;4;0;0;0;0;0;0
Isole;Sicilia;ME;C051;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;C052;1;7,5;9;0;0;0;1;3;0
Nord Ovest;Lombardia;PV;C053;2;4,5;7,5;0;0;0;1;2;0
Nord Ovest;Lombardia;BS;C055;4;0,45;8,5;0;0;0;0;3,3;0
Nord Est;Veneto;VI;C056;0;0;2;0;0;0;0;1;0
Nord Est;Veneto;PD;C057;0;0;4;0;0;0;0;1;0
Sud;Campania;AV;C058;0;0;3,5;0;0;0;1;0;0
Nord Ovest;Lombardia;MN;C059;0;2;0;0;0;0;0;3;1
Centro;Marche;AN;C060;0;1;5,13;0;0;1;0;6;1
Nord Ovest;Liguria;SV;C063;0;0;1,64;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;C064;0;0;1,33;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RA;C065;4;9;7,5;0;0;0;0;4;4,83
Sud;Molise;CB;C066;0;0;1;0;0;0;0;0;0
Isole;Sicilia;PA;C067;0;7;6;0;0;0;0;0;0
Sud;Campania;SA;C069;0;0;1;0;0;0;0;0;0
Centro;Marche;AP;C070;1;1;0;0;0;0;0;1;0
Nord Ovest;Lombardia;BS;C072;4;0;3,01;0;0;0;0;0;0
Nord Est;Veneto;TV;C073;0;0;0;0;0;0;0;1;0
Isole;Sicilia;PA;C074;1;1,75;11,25;0;0;0;0;0;0
Nord Est;Emilia-Romagna;BO;C075;0;2;3;0;0;0;0;0;2
Nord Ovest;Lombardia;MN;C076;0;2;0,98;0;0;0;0;3;0
Nord Est;Veneto;VR;C078;5;6;10,42;0;0;0;0;2,06;0
Nord Ovest;Lombardia;BG;C079;0;4,89;7,22;0;0;0;1;8,5;0
Nord Est;Emilia-Romagna;RN;C080;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;C081;0;0;3,25;0;0;0;0;0;0
Sud;Molise;IS;C082;0;0;0;0;0;0;0;0;0
Sud;Abruzzo;AQ;C083;0;0;0;0;1;0;0;0;0
Centro;Toscana;GR;C085;0;4;12;0;0;0;1;1;3,78
Nord Est;Emilia-Romagna;BO;C086;0;0;2,02;0;0;0;0;0;2
Nord Ovest;Lombardia;CR;C089;0;0;1;0;0;0;0;0;0
Sud;Abruzzo;AQ;C090;0;0;0;0;0;0;0;0;0
Isole;Sicilia;CT;C091;0;0;6,93;0;0;0;0;0;0
Centro;Marche;AP;C093;0;4,67;3;0;0;0;0;0;0
Isole;Sicilia;ME;C094;0;0;5;0;0;0;0;0;0
Sud;Abruzzo;AQ;C096;0;4,04;7,72;0;0;0;0;5;0
Sud;Campania;CE;C097;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;C098;0;0;0;0;0;0;0;0;0
Centro;Marche;AN;C100;1;4,67;19,33;0;0;0;3;13;0
Centro;Toscana;FI;C101;4;16;24,34;0;0;0;1;1;0
Centro;Toscana;AR;C102;0;4;1,08;0;0;0;0;0;0
Centro;Lazio;LT;C104;1;1,5;1;0;0;0;0;0;0
Sud;Campania;AV;C105;0;0;1,86;0;0;0;0;1;0
Sud;Campania;BN;C106;0;0;0;0;0;0;0;0;0,75
Nord Est;Emilia-Romagna;MO;C107;10;11;22,33;0;0;0;10;16;1,34
Sud;Calabria;CS;C108;1;5,16;2;0;0;0;0;0;0
Nord Ovest;Liguria;IM;C110;0;0;1;0;0;0;0;0;0
Nord Est;Veneto;TV;C111;11;24,58;22,38;0;1;0;4;21;0
Centro;Toscana;PI;C113;0;7;13,25;0;0;0;3;8;0
Sud;Abruzzo;CH;C114;1;4;1;0;0;0;0;0;0
Nord Ovest;Lombardia;CR;C115;0;0;0;0;0;0;0;0;0
Centro;Lazio;RM;C116;0;2,5;10,05;0;0;0;0;0;0
Centro;Umbria;TR;C117;0;1;6,75;0;0;0;0;1;0
Nord Ovest;Lombardia;MN;C118;1;3;6,66;0;0;0;0;4,67;0
Nord Est;Veneto;VI;C119;1;1;8,16;0;0;0;0;11;0
Sud;Basilicata;PZ;C120;0;0;0;0;0;0;0;0;0
Nord Est;Emilia-Romagna;BO;C121;5;0;3,67;0;0;0;1;5;2,6
Nord Est;Veneto;RO;C122;1;1;2,5;0;0;0;1;3;0
Sud;Abruzzo;CH;C123;0;0;0;0;0;0;0;0;0
Sud;Campania;SA;C125;1;1;7,44;0;0,05;0;0;0;0
Sud;Abruzzo;AQ;C126;0;0;2;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;C127;0;0;7;0;0;0;0;1;0
Sud;Abruzzo;TE;C128;0,5;4,5;12,38;0;0;0;0;7;0
Sud;Campania;NA;C129;9;28,76;38,47;0;0;0;1;6;0
Isole;Sicilia;TP;C130;1;8,67;35,28;0;0,5;0;0;0;0
Nord Ovest;Piemonte;TO;C133;0;4;20;0;0;0;0;4;0
Sud;Puglia;BA;C134;2;16;29,19;0;1;0;0;5,5;0
Isole;Sicilia;PA;C135;0;0;0,5;0;0;0;0;0;0
Sud;Puglia;TA;C136;3;17,67;31,85;0;0;0;0;2;4,83
Nord Ovest;Piemonte;AL;C137;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;C139;3;10,5;9;0;0;0;4;9,08;0
Nord Ovest;Piemonte;CN;C140;0;0;0;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RE;C141;0,5;5;8,55;0;0;0;1;7;0
Nord Ovest;Piemonte;AL;C142;0;0;1;0;0;0;0;0;0
Nord Ovest;Liguria;IM;C143;0;0;1;0;0;0;0;0;0
Nord Est;Emilia-Romagna;PC;C145;0;1;8,66;0;0,08;0;0;0;7,75
Centro;Toscana;GR;C147;0;1;9;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;C148;1;2;4;0;0;0;2;1,5;1
Nord Ovest;Piemonte;NO;C149;0;0;3;0;0;0;0;1;0
Centro;Marche;AN;C152;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;CR;C153;1;9;12,25;0;0;0;2;3;1
Nord Ovest;Piemonte;AT;C154;0;0;2;0;0;0;0;0;0
Nord Ovest;Piemonte;BI;C155;0;0;4;0;0;0;1;0;0
Nord Ovest;Piemonte;AL;C156;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;C157;0;0,5;1,5;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;C158;0;1;3;0;0;0;0;3;0
Nord Ovest;Piemonte;AL;C160;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;C161;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;C162;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;C165;0;0;4;0;0;0;0;1;0
Nord Ovest;Piemonte;NO;C166;0;3;12,5;0;1;0;2;0;0
Nord Ovest;Piemonte;CN;C167;0;0;0;0;0;0;0;1;0
Sud;Abruzzo;TE;C169;0;1;0;0;0;0;0;0;0
Centro;Toscana;SI;C172;1;4;7;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;C173;0;0;6;0;0;0;0;0;0
Centro;Toscana;PI;C174;0;0;7;0;0;0;1;0;0
Sud;Molise;CB;C175;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;C176;0;0;1;0;0;0;0;0;0
Centro;Lazio;FR;C177;0;0;5,89;0;0;0;0;0;0
Sud;Campania;CE;C178;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;C181;0;0;5;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;C184;0;0;0;0;0;0;0;0;1
Nord Est;Emilia-Romagna;BO;C185;0;0;7;0;0;0;0;4;0
Nord Ovest;Lombardia;SO;C186;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;LC;C187;0;1;3,5;0;0;0;0;1,04;0
Sud;Campania;NA;C188;1;1,75;11,77;0;0;0;0;0;0
Nord Est;Veneto;TV;C190;0;0,5;7,13;0;0;0;0;1;0
Nord Ovest;Lombardia;MN;C195;0;0;7;0;0;0;0;2;0
Sud;Molise;CB;C197;0;0;1;0;0;0;0;0;0
Sud;Puglia;FG;C198;0;0;5;0;0;0;0;0;1
Sud;Basilicata;PZ;C199;0;0;1;0;0;0;0;0;0
Sud;Molise;IS;C200;0;0;0;0;0;0;0;0;0
Sud;Basilicata;PZ;C201;0;0;0;0;0;0;0;0;0
Sud;Puglia;FG;C202;0;0;0;0;0;0;0;0;0
Centro;Lazio;RM;C203;0;4;13,5;0;0;0;0;0;0
Nord Est;Emilia-Romagna;BO;C204;15;9;10,34;0;0;0;3;20,01;0
Nord Ovest;Piemonte;CN;C205;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;C206;0;1;1;0;0;0;3;0;0
Nord Est;Veneto;RO;C207;1,5;3;3,5;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;C208;3;14,2;11,54;0;0;0;2,17;5,31;1
Sud;Basilicata;PZ;C209;0;0;1;0;0;0;0;0;0
Isole;Sicilia;ME;C210;0;0;4;0;0;0;0;0;0
Sud;Campania;CE;C211;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;C213;0;0;1;0;0;0;0;0;1
Nord Ovest;Piemonte;CN;C214;0;0;1;0;0;0;0;0;0
Nord Est;Veneto;RO;C215;0;1;0,57;0;0;0;0;0,64;2,2
Nord Est;Friuli- Venezia Giulia;PN;C217;0;0;2;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RE;C218;0;1;4;0;0;0;2;5;0
Nord Est;Emilia-Romagna;RE;C219;1;6,5;9,06;0;0;0;0;1;1,9
Nord Ovest;Lombardia;CO;C220;0;1;1;0;0;0;0;0;0
Sud;Puglia;FG;C222;0;0;4,47;0;0;0;0;0;0
Centro;Lazio;FR;C223;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;C224;0;0;0;0;0;0;0;0;0
Nord Est;Veneto;VR;C225;1;12,5;12,67;0;59;0;2;6;0
Nord Ovest;Piemonte;AT;C226;0;0;0,5;0;0;0;0;0;0
Centro;Toscana;SI;C227;0;2,33;20;0;0;0;0;0;1
Nord Ovest;Lombardia;LO;C228;0;0;2;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;C229;0;0;1;0;0;0;0;0;1
Nord Ovest;Piemonte;AT;C230;0;0;0,44;0;0;0;0;0;1
Sud;Campania;SA;C231;0;6;4;0;0;0;1;0;0
Nord Ovest;Piemonte;AT;C232;0;2;3;0;0;0;0;1;0
Sud;Campania;SA;C235;0;2;0;0;0;0;0;0;0
Centro;Toscana;LU;C236;1;7;5,17;0;1;0;0;0;0
Centro;Lazio;RM;C237;1;1;7;0;0;0;0;1;0
Nord Ovest;Liguria;SP;C240;4;6;3,38;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;C241;0;0;2;0;0;0;0;0;0
Nord Est;Emilia-Romagna;MO;C242;1;8,33;15,1;0;0;0;2;17,5;6,17
Nord Ovest;Piemonte;AL;C243;0;2;4,33;0;0;0;0;2;2
Centro;Toscana;PI;C244;0;0;0,5;0;0;0;0;1;0
Sud;Campania;BN;C245;0;1;0;0;0;0;0;5;0
Sud;Molise;IS;C246;0;2;1;0;0;0;0;0;0
Sud;Molise;IS;C247;0;0;0;0;0;0;0;0;0
Centro;Marche;AN;C248;0;1;4;0;0;0;1;1;0
Sud;Campania;BN;C250;0;0;0;0;0;0;0;0;0
Centro;Marche;MC;C251;0;0;9;0;0;0;0;3;0
Centro;Umbria;PG;C252;0;2;3,45;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;C253;0;0;1,5;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;C255;1;1;6,73;0;0;0;0;4;0
Sud;Campania;SA;C259;2;4,9;10,67;0;0;0;2;1;0
Nord Est;Emilia-Romagna;PC;C261;1;17;17,17;0;0;0;2;15;2,2
Sud;Campania;SA;C262;0;1;1;0;0;0;0;1;0
Centro;Toscana;AR;C263;1;0;5;0;0;0;0;0;0
Nord Est;Emilia-Romagna;BO;C265;4;8,24;21,68;0;0;0;1;20;6,17
Centro;Lazio;RM;C266;0;0;0;0;0;0;0;0;0
Centro;Marche;MC;C267;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;C268;0;0;0;0;0;0;0;0;0
Centro;Lazio;VT;C269;0;0;4;0;0;0;0;3;0
Sud;Molise;IS;C270;0;1;0;0;0;0;0;0;0
Sud;Basilicata;PZ;C271;0;0;0;0;0;0;0;0;0
Isole;Sardegna;SS;C272;0;0;11,84;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;C273;0;0;1;0;0;0;0;1;0
Nord Ovest;Piemonte;AL;C274;0;0;1;0;0;0;0;0;0
Isole;Sicilia;AG;C275;0;2;14,5;0;0;0;0;0;0
Nord Ovest;Liguria;SV;C276;0;0;1;0;0;0;0;0;0
Sud;Abruzzo;AQ;C278;0;0;0;0;0;0;0;0;0
Sud;Abruzzo;AQ;C279;0;0;0;0;0;0;0;0;0
Sud;Campania;BN;C280;0;0;3;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;C282;0;2;2;0;0;0;1;1;0
Sud;Campania;AV;C283;0;1;4;0;0;0;0;0;0
Sud;Campania;BN;C284;0;0;0;0;0;0;0;1;0
Sud;Calabria;RC;C285;1;2;4;0;0;0;0;0;0
Isole;Sicilia;TP;C286;1;10;57,66;0;0;0;0;1;0
Nord Est;Emilia-Romagna;MO;C287;2;4;28,09;0;0;0;1;1;1
Nord Est;Emilia-Romagna;PC;C288;2;1;3;0;0;0;0;0;0
Centro;Umbria;TR;C289;0;2;5;0;0;0;0;1;0
Nord Ovest;Lombardia;CR;C290;0;0;1;0;0;0;0;0;0
Sud;Campania;CE;C291;0;6,2;19;0;2;0;6;2;1
Nord Est;Emilia-Romagna;BO;C292;3;5;8;0;0;0;0;8;1,08
Nord Ovest;Lombardia;BS;C293;1;6;21,42;0;0;0;2;11,67;1
Nord Ovest;Valle d'Aosta;AO;C294;0,25;2;3,5;0;0;0;0;1;1
Nord Est;Emilia-Romagna;BO;C296;0;2;1,5;0;0;0;0;0;8,12
Isole;Sicilia;CT;C297;0;4;22,81;0;0;0;0;0;0,5
Sud;Abruzzo;CH;C298;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;C300;0;2;9,88;0;0;0;0;3;0
Sud;Calabria;CS;C301;0;0;0,1;0;0;0;0;2;0
Nord Ovest;Liguria;GE;C302;0;0;0,4;0;0;0;0;0;0
Centro;Toscana;LU;C303;0;0;0;0;0;0;0;2;0
Nord Ovest;Lombardia;LO;C304;0;4;3,34;0;0;0;0;1;1
Sud;Campania;SA;C306;0;0;2;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;C307;1;3;14,75;0;0;0;0;0;0
Sud;Abruzzo;PE;C308;0;0;1;0;0;0;0;0;0
Centro;Umbria;PG;C309;1;3;29,96;0;0;0;0;0;2
Centro;Toscana;GR;C310;2;9,02;13,05;0;3,02;0;0;0,04;2
Sud;Abruzzo;TE;C311;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;MN;C312;4,2;13;16,14;0;0;0;0;9,2;0,5
Centro;Toscana;SI;C313;1;1;13;0;0;0;0;0;1
Nord Ovest;Piemonte;CN;C314;0;0;0;0;0;0;0;0;0
Centro;Lazio;VT;C315;0;1;1;0;0;0;0;0;0
Sud;Abruzzo;TE;C316;0;2,33;3;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;C317;0;0,33;1;0;0;0;0;0;1
Centro;Toscana;AR;C318;1;1;1,17;0;0;0;0;0;0
Centro;Toscana;AR;C319;1;7;9;0;0;0;2;5;0
Centro;Marche;AP;C321;0;0;2;0;0;0;0;0;0
Sud;Abruzzo;TE;C322;0;0;2;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;C323;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;C324;0;0;8,07;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;C325;0;0;5,25;0;0;0;0;2;0
Nord Est;Friuli- Venezia Giulia;UD;C327;0;1;3;0;0;0;0;1;0
Nord Ovest;Lombardia;LO;C329;0;2;1;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;C330;0;0;1,33;0;0;0;0;1;0
Centro;Marche;AP;C331;1;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;C332;2;1;22,5;0;0;0;0;1;1
Sud;Puglia;LE;C334;0;1;1;0;0;0;0;0;0
Sud;Puglia;LE;C335;0;1;4;0;0;0;0;0;0
Sud;Puglia;LE;C336;0;0;9,61;0;0,44;0;0;0;0
Nord Ovest;Lombardia;BG;C337;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;C338;0;1;7;0;0;0;0;0;0
Nord Est;Emilia-Romagna;FO;C339;1;1;2,86;0;1;0;0;2,03;3
Centro;Lazio;FR;C340;0;0;0,5;0;0;0;0;0;0
Isole;Sicilia;AG;C341;0;1;6;0;0;0;0;0;0
Isole;Sicilia;EN;C342;4;12,23;23,89;0;0;0;1,99;0;0,89
Nord Ovest;Lombardia;VA;C343;1;0;5;0;0;0;3;2;0
Isole;Sicilia;PA;C344;0;0;15,5;0;0;0;0;0;0
Sud;Basilicata;PZ;C345;0;1;5;0;0;0;0;0;0
Sud;Molise;CB;C346;0;0;0;0;0;0;0;0;0
Isole;Sicilia;ME;C347;0;0;2,67;0;0;0;0;0;0
Sud;Calabria;CS;C348;0;0;0;0;0;0;0;0;0
Sud;Calabria;CS;C349;2;9,5;19,5;0;0;0;1;2;0
Isole;Sicilia;CT;C351;35,95;189,9;140,1;0;1;1;13;9;1
Sud;Calabria;CZ;C352;52,33;52,83;83,25;0;0;0,46;12;15,02;0
Isole;Sicilia;EN;C353;1;2;1;0;0;0;0;0;0
Sud;Abruzzo;PE;C354;0;0;0,5;0;0;0;0;0;0
Isole;Sicilia;AG;C356;0;5;13;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RN;C357;3;10,39;5,02;0;2;0;0;4,09;0
Sud;Campania;BN;C359;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;C360;0;1;6,14;0;0;0;0;2;0
Sud;Campania;SA;C361;2;27,75;25,2;0;0;0;2;2;0
Nord Ovest;Piemonte;BI;C363;0;5;9;0;0;0;0;1;2
Nord Ovest;Piemonte;NO;C364;0;0;1;0;0;0;0;0;0,17
Nord Ovest;Piemonte;NO;C365;0;0;4;0;0;0;0;0;0
Nord Ovest;Piemonte;VB;C367;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;C369;0;0;9;0;0;0;0;1;0
Nord Est;Veneto;VR;C370;0;6;19;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;C375;0;2;2;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;C376;0;2,25;15,75;0;0;0;0;4;0
Sud;Puglia;LE;C377;0;8,14;10,68;2;0;0;0;2;0
Nord Ovest;Piemonte;NO;C378;0;0;2;0;0;0;0;1;0
Nord Ovest;Lombardia;CO;C381;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;C382;0;4;3;0;0;0;0;3;0
Nord Est;Veneto;VE;C383;0;11,28;14,83;0;0;0;0;1;6
Nord Est;Veneto;TV;C384;0,02;0;4,94;0;0;0;0;5;0
Nord Est;Friuli- Venezia Giulia;PN;C385;0;0;4,34;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;C387;0;0;0,75;0;0;0;0;0;0
Nord Est;Veneto;VE;C388;10,5;50,56;27,62;0;2,75;0,5;10;9,18;1
Nord Est;Friuli- Venezia Giulia;UD;C389;0;0;2,5;0;0;0;0;0;0
Centro;Lazio;RM;C390;0;1;10,38;0;0;0;0;1;0
Nord Ovest;Lombardia;LO;C394;0;0;2;0;0;0;0;0;1
Nord Ovest;Lombardia;MI;C395;0;2;3;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;C396;0;2;4;0;0;0;0;0;0
Nord Est;Emilia-Romagna;MO;C398;0;1;8,83;0;0;0;1;0,07;3,92
Nord Ovest;Piemonte;TO;C404;1;0;14;0;0;0;0;3;4
Nord Est;Emilia-Romagna;RE;C405;0;1;5;0;0;0;2;4;1,5
Nord Ovest;Lombardia;MN;C406;0;0;2,85;0;0;0;2;4;1
Centro;Toscana;AR;C407;0;5;2,8;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;C408;6;3;7,22;0;0;1;0;4;2
Nord Ovest;Lombardia;VA;C409;0;0;2;0;0;0;0;1;0
Nord Ovest;Lombardia;BG;C410;0;0;1,11;0;0;0;0;0;0
Nord Est;Veneto;VR;C412;0;0;7,34;0;0;0;0;1;2,5
Centro;Lazio;FR;C413;1;14;2,6;0;0;0;1;2;0
Nord Ovest;Lombardia;PV;C414;0;0;2;0;0;0;0;0;1,5
Centro;Toscana;LI;C415;1;15,5;22,25;0;1;0;30;1;1,34
Nord Ovest;Lombardia;BS;C417;0;3;7;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;C418;0;0;2;0;0;0;0;0;0
Isole;Sicilia;PA;C420;0;0;1;0;0;0;0;0;0
Isole;Sicilia;PA;C421;1;6,16;13,53;0;0,25;0;0;1;0
Nord Est;Veneto;VE;C422;0;1;7,75;0;0;0;0;3;0
Sud;Puglia;BR;C424;0;9,5;18,5;0;0;0;0;0;0
